[2230, 1704]
[sidebar, [621.0, 119.0, 608.0, 36.0], O2wDppcbyy, 5654306]
[sidebar, [621.0, 155.0, 608.0, 36.0], O2wDppcbyy, 5654306]
[sidebar, [621.0, 191.0, 608.0, 36.0], O2wDppcbyy, 5654306]
[sidebar, [621.0, 227.0, 608.0, 36.0], O2wDppcbyy, 5654306]
[sidebar, [621.0, 263.0, 608.0, 36.0], O2wDppcbyy, 5654306]
[sidebar, [621.0, 299.0, 608.0, 36.0], O2wDppcbyy, 5654306]
[sidebar, [621.0, 335.0, 608.0, 36.0], O2wDppcbyy, 5654306]
[sidebar, [621.0, 371.0, 608.0, 36.0], O2wDppcbyy, 5654306]
[sidebar, [621.0, 407.0, 608.0, 36.0], O2wDppcbyy, 5654306]
[sidebar, [621.0, 443.0, 608.0, 36.0], O2wDppcbyy, 5654306]
[sidebar, [621.0, 479.0, 608.0, 36.0], O2wDppcbyy, 5654306]
[sidebar, [621.0, 515.0, 608.0, 36.0], O2wDppcbyy, 5654306]
[sidebar, [621.0, 551.0, 608.0, 36.0], O2wDppcbyy, 5654306]
[sidebar, [621.0, 587.0, 608.0, 36.0], O2wDppcbyy, 5654306]
[sidebar, [621.0, 623.0, 608.0, 36.0], O2wDppcbyy, 5654306]
[sidebar, [621.0, 659.0, 608.0, 36.0], O2wDppcbyy, 5654306]
[sidebar, [621.0, 695.0, 608.0, 36.0], O2wDppcbyy, 5654306]
[paragraph, [141.0, 131.0, 471.0, 36.0], shoonya_6sUD4H1PULM2AJ, 5654306]
[paragraph, [141.0, 167.0, 471.0, 36.0], shoonya_6sUD4H1PULM2AJ, 5654306]
[paragraph, [141.0, 203.0, 471.0, 36.0], shoonya_6sUD4H1PULM2AJ, 5654306]
[paragraph, [141.0, 239.0, 471.0, 36.0], shoonya_6sUD4H1PULM2AJ, 5654306]
[paragraph, [141.0, 275.0, 471.0, 36.0], shoonya_6sUD4H1PULM2AJ, 5654306]
[paragraph, [141.0, 311.0, 471.0, 36.0], shoonya_6sUD4H1PULM2AJ, 5654306]
[paragraph, [141.0, 347.0, 471.0, 36.0], shoonya_6sUD4H1PULM2AJ, 5654306]
[paragraph, [141.0, 383.0, 471.0, 36.0], shoonya_6sUD4H1PULM2AJ, 5654306]
[paragraph, [141.0, 419.0, 471.0, 36.0], shoonya_6sUD4H1PULM2AJ, 5654306]
[paragraph, [141.0, 455.0, 471.0, 36.0], shoonya_6sUD4H1PULM2AJ, 5654306]
[paragraph, [141.0, 491.0, 471.0, 36.0], shoonya_6sUD4H1PULM2AJ, 5654306]
[paragraph, [141.0, 527.0, 471.0, 36.0], shoonya_6sUD4H1PULM2AJ, 5654306]
[paragraph, [141.0, 563.0, 471.0, 36.0], shoonya_6sUD4H1PULM2AJ, 5654306]
[paragraph, [141.0, 599.0, 471.0, 36.0], shoonya_6sUD4H1PULM2AJ, 5654306]
[paragraph, [141.0, 635.0, 471.0, 36.0], shoonya_6sUD4H1PULM2AJ, 5654306]
[paragraph, [141.0, 671.0, 471.0, 36.0], shoonya_6sUD4H1PULM2AJ, 5654306]
[paragraph, [141.0, 707.0, 471.0, 36.0], shoonya_6sUD4H1PULM2AJ, 5654306]
[paragraph, [1245.0, 151.0, 443.0, 36.0], shoonya_5sDIT766CPHI79, 5654306]
[paragraph, [1245.0, 187.0, 443.0, 36.0], shoonya_5sDIT766CPHI79, 5654306]
[paragraph, [1245.0, 223.0, 443.0, 36.0], shoonya_5sDIT766CPHI79, 5654306]
[paragraph, [1245.0, 259.0, 443.0, 36.0], shoonya_5sDIT766CPHI79, 5654306]
[paragraph, [1245.0, 295.0, 443.0, 36.0], shoonya_5sDIT766CPHI79, 5654306]
[paragraph, [1245.0, 331.0, 443.0, 36.0], shoonya_5sDIT766CPHI79, 5654306]
[paragraph, [1245.0, 367.0, 443.0, 36.0], shoonya_5sDIT766CPHI79, 5654306]
[paragraph, [1245.0, 403.0, 443.0, 36.0], shoonya_5sDIT766CPHI79, 5654306]
[paragraph, [1245.0, 439.0, 443.0, 36.0], shoonya_5sDIT766CPHI79, 5654306]
[paragraph, [1245.0, 475.0, 443.0, 36.0], shoonya_5sDIT766CPHI79, 5654306]
[paragraph, [1245.0, 511.0, 443.0, 36.0], shoonya_5sDIT766CPHI79, 5654306]
[paragraph, [1245.0, 547.0, 443.0, 36.0], shoonya_5sDIT766CPHI79, 5654306]
[paragraph, [1245.0, 583.0, 443.0, 36.0], shoonya_5sDIT766CPHI79, 5654306]
[paragraph, [1245.0, 619.0, 443.0, 36.0], shoonya_5sDIT766CPHI79, 5654306]
[paragraph, [1245.0, 655.0, 443.0, 36.0], shoonya_5sDIT766CPHI79, 5654306]
[paragraph, [1245.0, 691.0, 443.0, 36.0], shoonya_5sDIT766CPHI79, 5654306]
[paragraph, [1245.0, 727.0, 443.0, 36.0], shoonya_5sDIT766CPHI79, 5654306]
[paragraph, [128.0, 758.0, 764.0, 36.0], shoonya_1sD5RKJXMHQ16I, 5654306]
[paragraph, [128.0, 794.0, 764.0, 36.0], shoonya_1sD5RKJXMHQ16I, 5654306]
[paragraph, [128.0, 830.0, 764.0, 36.0], shoonya_1sD5RKJXMHQ16I, 5654306]
[paragraph, [128.0, 866.0, 764.0, 36.0], shoonya_1sD5RKJXMHQ16I, 5654306]
[paragraph, [128.0, 902.0, 764.0, 36.0], shoonya_1sD5RKJXMHQ16I, 5654306]
[paragraph, [128.0, 938.0, 764.0, 36.0], shoonya_1sD5RKJXMHQ16I, 5654306]
[paragraph, [128.0, 974.0, 764.0, 36.0], shoonya_1sD5RKJXMHQ16I, 5654306]
[paragraph, [128.0, 1010.0, 764.0, 36.0], shoonya_1sD5RKJXMHQ16I, 5654306]
[paragraph, [128.0, 1046.0, 764.0, 36.0], shoonya_1sD5RKJXMHQ16I, 5654306]
[paragraph, [128.0, 1082.0, 764.0, 36.0], shoonya_1sD5RKJXMHQ16I, 5654306]
[paragraph, [933.0, 774.0, 752.0, 36.0], shoonya_7s36ZCC84KZSFU, 5654306]
[paragraph, [933.0, 810.0, 752.0, 36.0], shoonya_7s36ZCC84KZSFU, 5654306]
[paragraph, [918.0, 857.0, 785.0, 36.0], shoonya_4s7K5ABDOTELHN, 5654306]
[paragraph, [918.0, 893.0, 785.0, 36.0], shoonya_4s7K5ABDOTELHN, 5654306]
[paragraph, [918.0, 929.0, 785.0, 36.0], shoonya_4s7K5ABDOTELHN, 5654306]
[paragraph, [918.0, 965.0, 785.0, 36.0], shoonya_4s7K5ABDOTELHN, 5654306]
[paragraph, [918.0, 1001.0, 785.0, 36.0], shoonya_4s7K5ABDOTELHN, 5654306]
[paragraph, [918.0, 1037.0, 785.0, 36.0], shoonya_4s7K5ABDOTELHN, 5654306]
[paragraph, [918.0, 1073.0, 785.0, 36.0], shoonya_4s7K5ABDOTELHN, 5654306]
[paragraph, [918.0, 1109.0, 785.0, 36.0], shoonya_4s7K5ABDOTELHN, 5654306]
[paragraph, [918.0, 1145.0, 785.0, 36.0], shoonya_4s7K5ABDOTELHN, 5654306]
[paragraph, [918.0, 1181.0, 785.0, 36.0], shoonya_4s7K5ABDOTELHN, 5654306]
[paragraph, [918.0, 1217.0, 785.0, 36.0], shoonya_4s7K5ABDOTELHN, 5654306]
[paragraph, [918.0, 1253.0, 785.0, 36.0], shoonya_4s7K5ABDOTELHN, 5654306]
[paragraph, [918.0, 1289.0, 785.0, 36.0], shoonya_4s7K5ABDOTELHN, 5654306]
[paragraph, [918.0, 1325.0, 785.0, 36.0], shoonya_4s7K5ABDOTELHN, 5654306]
[paragraph, [918.0, 1361.0, 785.0, 36.0], shoonya_4s7K5ABDOTELHN, 5654306]
[paragraph, [918.0, 1397.0, 785.0, 36.0], shoonya_4s7K5ABDOTELHN, 5654306]
[paragraph, [918.0, 1433.0, 785.0, 36.0], shoonya_4s7K5ABDOTELHN, 5654306]
