[1951, 1219]
[folio, [735.0, 131.0, 182.0, 36.0], shoonya_0sWIKGIUVRQLZJ, 5682504]
[paragraph, [117.0, 202.0, 310.0, 36.0], SHJwvB1lzw, 5682504]
[paragraph, [117.0, 277.0, 908.0, 36.0], -pkl66Ex76, 5682504]
[paragraph, [117.0, 313.0, 908.0, 36.0], -pkl66Ex76, 5682504]
[paragraph, [117.0, 349.0, 908.0, 36.0], -pkl66Ex76, 5682504]
[paragraph, [117.0, 385.0, 908.0, 36.0], -pkl66Ex76, 5682504]
[paragraph, [117.0, 421.0, 908.0, 36.0], -pkl66Ex76, 5682504]
[paragraph, [117.0, 457.0, 908.0, 36.0], -pkl66Ex76, 5682504]
[paragraph, [117.0, 493.0, 908.0, 36.0], -pkl66Ex76, 5682504]
[paragraph, [117.0, 529.0, 908.0, 36.0], -pkl66Ex76, 5682504]
[paragraph, [117.0, 565.0, 908.0, 36.0], -pkl66Ex76, 5682504]
[paragraph, [117.0, 601.0, 908.0, 36.0], -pkl66Ex76, 5682504]
[paragraph, [117.0, 637.0, 908.0, 36.0], -pkl66Ex76, 5682504]
[paragraph, [117.0, 673.0, 908.0, 36.0], -pkl66Ex76, 5682504]
[paragraph, [115.0, 746.0, 910.0, 36.0], 7ljgHdHksT, 5682504]
[paragraph, [115.0, 782.0, 910.0, 36.0], 7ljgHdHksT, 5682504]
[paragraph, [115.0, 818.0, 910.0, 36.0], 7ljgHdHksT, 5682504]
[paragraph, [115.0, 854.0, 910.0, 36.0], 7ljgHdHksT, 5682504]
[paragraph, [115.0, 890.0, 910.0, 36.0], 7ljgHdHksT, 5682504]
[paragraph, [115.0, 926.0, 910.0, 36.0], 7ljgHdHksT, 5682504]
[paragraph, [114.0, 975.0, 911.0, 36.0], ym6a4YsRMQ, 5682504]
[paragraph, [114.0, 1011.0, 911.0, 36.0], ym6a4YsRMQ, 5682504]
[paragraph, [114.0, 1047.0, 911.0, 36.0], ym6a4YsRMQ, 5682504]
[paragraph, [113.0, 1088.0, 910.0, 36.0], tp8_1zeuRM, 5682504]
[paragraph, [113.0, 1124.0, 910.0, 36.0], tp8_1zeuRM, 5682504]
[paragraph, [113.0, 1160.0, 910.0, 36.0], tp8_1zeuRM, 5682504]
[paragraph, [113.0, 1205.0, 912.0, 36.0], ly3p7Q6j5B, 5682504]
[paragraph, [113.0, 1241.0, 912.0, 36.0], ly3p7Q6j5B, 5682504]
[paragraph, [114.0, 1321.0, 911.0, 36.0], cLgEp3jPDT, 5682504]
[paragraph, [114.0, 1357.0, 911.0, 36.0], cLgEp3jPDT, 5682504]
[paragraph, [114.0, 1393.0, 911.0, 36.0], cLgEp3jPDT, 5682504]
[paragraph, [114.0, 1429.0, 911.0, 36.0], cLgEp3jPDT, 5682504]
[paragraph, [114.0, 1465.0, 911.0, 36.0], cLgEp3jPDT, 5682504]
[paragraph, [114.0, 1501.0, 911.0, 36.0], cLgEp3jPDT, 5682504]
[paragraph, [114.0, 1537.0, 911.0, 36.0], cLgEp3jPDT, 5682504]
[paragraph, [114.0, 1573.0, 911.0, 36.0], cLgEp3jPDT, 5682504]
[paragraph, [114.0, 1609.0, 911.0, 36.0], cLgEp3jPDT, 5682504]
[paragraph, [114.0, 1645.0, 911.0, 36.0], cLgEp3jPDT, 5682504]
[paragraph, [112.0, 1720.0, 914.0, 36.0], PYk1X5hyiE, 5682504]
[paragraph, [112.0, 1756.0, 914.0, 36.0], PYk1X5hyiE, 5682504]
[paragraph, [112.0, 1792.0, 914.0, 36.0], PYk1X5hyiE, 5682504]
