[591, 402]
[section-title, [72.0, 146.0, 242.0, 30.0], UFsj1Du_2V, 6495851]
[paragraph, [28.0, 195.0, 324.0, 18.0], shoonya_0s8TLNI9XW8FMY, 6495851]
[paragraph, [28.0, 213.0, 324.0, 18.0], shoonya_0s8TLNI9XW8FMY, 6495851]
[paragraph, [28.0, 231.0, 324.0, 18.0], shoonya_0s8TLNI9XW8FMY, 6495851]
[paragraph, [28.0, 249.0, 324.0, 18.0], shoonya_0s8TLNI9XW8FMY, 6495851]
[paragraph, [28.0, 267.0, 324.0, 18.0], shoonya_0s8TLNI9XW8FMY, 6495851]
[paragraph, [28.0, 285.0, 324.0, 18.0], shoonya_0s8TLNI9XW8FMY, 6495851]
[paragraph, [28.0, 303.0, 324.0, 18.0], shoonya_0s8TLNI9XW8FMY, 6495851]
[paragraph, [28.0, 321.0, 324.0, 18.0], shoonya_0s8TLNI9XW8FMY, 6495851]
[paragraph, [28.0, 339.0, 324.0, 18.0], shoonya_0s8TLNI9XW8FMY, 6495851]
[paragraph, [28.0, 357.0, 324.0, 18.0], shoonya_0s8TLNI9XW8FMY, 6495851]
[paragraph, [28.0, 375.0, 324.0, 18.0], shoonya_0s8TLNI9XW8FMY, 6495851]
[paragraph, [28.0, 393.0, 324.0, 18.0], shoonya_0s8TLNI9XW8FMY, 6495851]
[paragraph, [28.0, 411.0, 324.0, 18.0], shoonya_0s8TLNI9XW8FMY, 6495851]
[paragraph, [28.0, 429.0, 324.0, 18.0], shoonya_0s8TLNI9XW8FMY, 6495851]
[paragraph, [28.0, 447.0, 324.0, 18.0], shoonya_0s8TLNI9XW8FMY, 6495851]
[paragraph, [28.0, 465.0, 324.0, 18.0], shoonya_0s8TLNI9XW8FMY, 6495851]
[paragraph, [28.0, 483.0, 324.0, 18.0], shoonya_0s8TLNI9XW8FMY, 6495851]
[paragraph, [28.0, 501.0, 324.0, 18.0], shoonya_0s8TLNI9XW8FMY, 6495851]
[paragraph, [28.0, 519.0, 324.0, 18.0], shoonya_0s8TLNI9XW8FMY, 6495851]
