[842, 596]
[section-title, [50.0, 45.0, 499.0, 30.0], lAxeBPjTb4, 5766401]
[paragraph, [35.0, 123.0, 528.0, 18.0], shoonya_5sXSHV1U26WVSC, 5766401]
[paragraph, [35.0, 141.0, 528.0, 18.0], shoonya_5sXSHV1U26WVSC, 5766401]
[paragraph, [35.0, 159.0, 528.0, 18.0], shoonya_5sXSHV1U26WVSC, 5766401]
[paragraph, [35.0, 177.0, 528.0, 18.0], shoonya_5sXSHV1U26WVSC, 5766401]
[paragraph, [35.0, 195.0, 528.0, 18.0], shoonya_5sXSHV1U26WVSC, 5766401]
[paragraph, [39.0, 246.0, 526.0, 18.0], L5I2hchwkP, 5766401]
[paragraph, [39.0, 264.0, 526.0, 18.0], L5I2hchwkP, 5766401]
[paragraph, [39.0, 282.0, 526.0, 18.0], L5I2hchwkP, 5766401]
[paragraph, [39.0, 300.0, 526.0, 18.0], L5I2hchwkP, 5766401]
[paragraph, [39.0, 318.0, 526.0, 18.0], L5I2hchwkP, 5766401]
[paragraph, [39.0, 336.0, 526.0, 18.0], L5I2hchwkP, 5766401]
[paragraph, [31.0, 376.0, 527.0, 18.0], shoonya_2sRV0KBPDNOGHJ, 5766401]
[paragraph, [31.0, 394.0, 527.0, 18.0], shoonya_2sRV0KBPDNOGHJ, 5766401]
[paragraph, [31.0, 412.0, 527.0, 18.0], shoonya_2sRV0KBPDNOGHJ, 5766401]
[paragraph, [31.0, 430.0, 527.0, 18.0], shoonya_2sRV0KBPDNOGHJ, 5766401]
[unordered-list, [52.0, 484.0, 288.0, 18.0], shoonya_1s03AMVV4U6V2O, 5766401]
[unordered-list, [52.0, 502.0, 288.0, 18.0], shoonya_1s03AMVV4U6V2O, 5766401]
[unordered-list, [52.0, 520.0, 288.0, 18.0], shoonya_1s03AMVV4U6V2O, 5766401]
[unordered-list, [52.0, 538.0, 288.0, 18.0], shoonya_1s03AMVV4U6V2O, 5766401]
[unordered-list, [52.0, 556.0, 288.0, 18.0], shoonya_1s03AMVV4U6V2O, 5766401]
[unordered-list, [52.0, 574.0, 288.0, 18.0], shoonya_1s03AMVV4U6V2O, 5766401]
[unordered-list, [52.0, 592.0, 288.0, 18.0], shoonya_1s03AMVV4U6V2O, 5766401]
[unordered-list, [52.0, 610.0, 288.0, 18.0], shoonya_1s03AMVV4U6V2O, 5766401]
[ordered-list, [60.0, 665.0, 309.0, 18.0], shoonya_0sZ7BW056GG3NW, 5766401]
[ordered-list, [60.0, 683.0, 309.0, 18.0], shoonya_0sZ7BW056GG3NW, 5766401]
[ordered-list, [60.0, 701.0, 309.0, 18.0], shoonya_0sZ7BW056GG3NW, 5766401]
[ordered-list, [60.0, 719.0, 309.0, 18.0], shoonya_0sZ7BW056GG3NW, 5766401]
[ordered-list, [60.0, 737.0, 309.0, 18.0], shoonya_0sZ7BW056GG3NW, 5766401]
[ordered-list, [60.0, 755.0, 309.0, 18.0], shoonya_0sZ7BW056GG3NW, 5766401]
