[842, 596]
[section-title, [63.0, 98.0, 406.0, 30.0], 63xDNIf2aD, 6461111]
[ordered-list, [103.0, 134.0, 308.0, 18.0], fDcyVKlCPI, 6461111]
[ordered-list, [103.0, 152.0, 308.0, 18.0], fDcyVKlCPI, 6461111]
[ordered-list, [103.0, 170.0, 308.0, 18.0], fDcyVKlCPI, 6461111]
[ordered-list, [103.0, 188.0, 308.0, 18.0], fDcyVKlCPI, 6461111]
[ordered-list, [107.0, 243.0, 294.0, 18.0], qoXEZLd1C2, 6461111]
[ordered-list, [107.0, 261.0, 294.0, 18.0], qoXEZLd1C2, 6461111]
[ordered-list, [107.0, 279.0, 294.0, 18.0], qoXEZLd1C2, 6461111]
[reference, [64.0, 314.0, 467.0, 18.0], shoonya_0sMGFY4YJAHK5S, 6461111]
[reference, [64.0, 332.0, 467.0, 18.0], shoonya_0sMGFY4YJAHK5S, 6461111]
[reference, [64.0, 350.0, 467.0, 18.0], shoonya_0sMGFY4YJAHK5S, 6461111]
[reference, [64.0, 368.0, 467.0, 18.0], shoonya_0sMGFY4YJAHK5S, 6461111]
[reference, [64.0, 386.0, 467.0, 18.0], shoonya_0sMGFY4YJAHK5S, 6461111]
[reference, [64.0, 404.0, 467.0, 18.0], shoonya_0sMGFY4YJAHK5S, 6461111]
[reference, [64.0, 422.0, 467.0, 18.0], shoonya_0sMGFY4YJAHK5S, 6461111]
[reference, [64.0, 440.0, 467.0, 18.0], shoonya_0sMGFY4YJAHK5S, 6461111]
[reference, [64.0, 458.0, 467.0, 18.0], shoonya_0sMGFY4YJAHK5S, 6461111]
[reference, [64.0, 476.0, 467.0, 18.0], shoonya_0sMGFY4YJAHK5S, 6461111]
[reference, [64.0, 494.0, 467.0, 18.0], shoonya_0sMGFY4YJAHK5S, 6461111]
[reference, [64.0, 512.0, 467.0, 18.0], shoonya_0sMGFY4YJAHK5S, 6461111]
[reference, [64.0, 530.0, 467.0, 18.0], shoonya_0sMGFY4YJAHK5S, 6461111]
[reference, [64.0, 548.0, 467.0, 18.0], shoonya_0sMGFY4YJAHK5S, 6461111]
[reference, [64.0, 566.0, 467.0, 18.0], shoonya_0sMGFY4YJAHK5S, 6461111]
[reference, [64.0, 584.0, 467.0, 18.0], shoonya_0sMGFY4YJAHK5S, 6461111]
[reference, [64.0, 602.0, 467.0, 18.0], shoonya_0sMGFY4YJAHK5S, 6461111]
[reference, [64.0, 620.0, 467.0, 18.0], shoonya_0sMGFY4YJAHK5S, 6461111]
