[792, 612]
[paragraph, [45.0, 35.0, 224.0, 18.0], shoonya_0s4N1QEM935Y5S, 6461318]
[paragraph, [51.0, 57.0, 342.0, 18.0], 3b4_aWK5hn, 6461318]
[paragraph, [51.0, 75.0, 342.0, 18.0], 3b4_aWK5hn, 6461318]
[paragraph, [51.0, 93.0, 342.0, 18.0], 3b4_aWK5hn, 6461318]
[ordered-list, [44.0, 118.0, 371.0, 18.0], Dx3B8rKD70, 6461318]
[ordered-list, [44.0, 136.0, 371.0, 18.0], Dx3B8rKD70, 6461318]
[ordered-list, [44.0, 154.0, 371.0, 18.0], Dx3B8rKD70, 6461318]
[ordered-list, [44.0, 172.0, 371.0, 18.0], Dx3B8rKD70, 6461318]
[ordered-list, [44.0, 190.0, 371.0, 18.0], Dx3B8rKD70, 6461318]
[ordered-list, [44.0, 208.0, 371.0, 18.0], Dx3B8rKD70, 6461318]
[ordered-list, [44.0, 226.0, 371.0, 18.0], Dx3B8rKD70, 6461318]
[ordered-list, [44.0, 244.0, 371.0, 18.0], Dx3B8rKD70, 6461318]
[ordered-list, [44.0, 262.0, 371.0, 18.0], Dx3B8rKD70, 6461318]
[ordered-list, [44.0, 280.0, 371.0, 18.0], Dx3B8rKD70, 6461318]
[ordered-list, [44.0, 298.0, 371.0, 18.0], Dx3B8rKD70, 6461318]
[ordered-list, [44.0, 316.0, 371.0, 18.0], Dx3B8rKD70, 6461318]
[ordered-list, [44.0, 334.0, 371.0, 18.0], Dx3B8rKD70, 6461318]
[ordered-list, [44.0, 352.0, 371.0, 18.0], Dx3B8rKD70, 6461318]
[ordered-list, [44.0, 370.0, 371.0, 18.0], Dx3B8rKD70, 6461318]
[ordered-list, [44.0, 388.0, 371.0, 18.0], Dx3B8rKD70, 6461318]
[ordered-list, [44.0, 406.0, 371.0, 18.0], Dx3B8rKD70, 6461318]
[ordered-list, [44.0, 424.0, 371.0, 18.0], Dx3B8rKD70, 6461318]
[ordered-list, [44.0, 442.0, 371.0, 18.0], Dx3B8rKD70, 6461318]
[ordered-list, [44.0, 460.0, 371.0, 18.0], Dx3B8rKD70, 6461318]
[ordered-list, [44.0, 478.0, 371.0, 18.0], Dx3B8rKD70, 6461318]
[ordered-list, [44.0, 496.0, 371.0, 18.0], Dx3B8rKD70, 6461318]
[ordered-list, [44.0, 514.0, 371.0, 18.0], Dx3B8rKD70, 6461318]
[ordered-list, [44.0, 532.0, 371.0, 18.0], Dx3B8rKD70, 6461318]
[ordered-list, [44.0, 550.0, 371.0, 18.0], Dx3B8rKD70, 6461318]
[ordered-list, [44.0, 568.0, 371.0, 18.0], Dx3B8rKD70, 6461318]
[ordered-list, [44.0, 586.0, 371.0, 18.0], Dx3B8rKD70, 6461318]
[ordered-list, [44.0, 604.0, 371.0, 18.0], Dx3B8rKD70, 6461318]
[ordered-list, [44.0, 622.0, 371.0, 18.0], Dx3B8rKD70, 6461318]
[ordered-list, [44.0, 640.0, 371.0, 18.0], Dx3B8rKD70, 6461318]
[sub-ordered-list, [50.0, 297.0, 365.0, 18.0], Cl_fwsENns, 6461318]
[sub-ordered-list, [50.0, 315.0, 365.0, 18.0], Cl_fwsENns, 6461318]
[sub-ordered-list, [50.0, 333.0, 365.0, 18.0], Cl_fwsENns, 6461318]
[sub-ordered-list, [50.0, 351.0, 365.0, 18.0], Cl_fwsENns, 6461318]
[sub-ordered-list, [50.0, 369.0, 365.0, 18.0], Cl_fwsENns, 6461318]
[sub-ordered-list, [50.0, 387.0, 365.0, 18.0], Cl_fwsENns, 6461318]
[sub-ordered-list, [50.0, 405.0, 365.0, 18.0], Cl_fwsENns, 6461318]
[sub-ordered-list, [50.0, 423.0, 365.0, 18.0], Cl_fwsENns, 6461318]
[sub-ordered-list, [50.0, 441.0, 365.0, 18.0], Cl_fwsENns, 6461318]
[sub-ordered-list, [50.0, 459.0, 365.0, 18.0], Cl_fwsENns, 6461318]
[sub-ordered-list, [50.0, 477.0, 365.0, 18.0], Cl_fwsENns, 6461318]
[sub-ordered-list, [50.0, 495.0, 365.0, 18.0], Cl_fwsENns, 6461318]
[sub-ordered-list, [50.0, 513.0, 365.0, 18.0], Cl_fwsENns, 6461318]
[sub-ordered-list, [50.0, 531.0, 365.0, 18.0], Cl_fwsENns, 6461318]
[sub-ordered-list, [50.0, 549.0, 365.0, 18.0], Cl_fwsENns, 6461318]
[sub-ordered-list, [50.0, 567.0, 365.0, 18.0], Cl_fwsENns, 6461318]
[sub-ordered-list, [50.0, 585.0, 365.0, 18.0], Cl_fwsENns, 6461318]
[sub-ordered-list, [50.0, 603.0, 365.0, 18.0], Cl_fwsENns, 6461318]
[sub-ordered-list, [50.0, 621.0, 365.0, 18.0], Cl_fwsENns, 6461318]
[folio, [47.0, 713.0, 155.0, 18.0], OxhDAXEZ8M, 6461318]
