[1638, 1048]
[folio, [810.0, 102.0, 91.0, 36.0], o3zljtcVWz, 5680701]
[paragraph, [105.0, 161.0, 841.0, 36.0], shoonya_1sFG6XD5XSA24L, 5680701]
[paragraph, [105.0, 197.0, 841.0, 36.0], shoonya_1sFG6XD5XSA24L, 5680701]
[paragraph, [105.0, 233.0, 841.0, 36.0], shoonya_1sFG6XD5XSA24L, 5680701]
[paragraph, [105.0, 269.0, 841.0, 36.0], shoonya_1sFG6XD5XSA24L, 5680701]
[paragraph, [105.0, 305.0, 841.0, 36.0], shoonya_1sFG6XD5XSA24L, 5680701]
[paragraph, [105.0, 341.0, 841.0, 36.0], shoonya_1sFG6XD5XSA24L, 5680701]
[paragraph, [105.0, 377.0, 841.0, 36.0], shoonya_1sFG6XD5XSA24L, 5680701]
[paragraph, [107.0, 419.0, 841.0, 36.0], shoonya_4sP0DUJO0SN0MH, 5680701]
[paragraph, [107.0, 455.0, 841.0, 36.0], shoonya_4sP0DUJO0SN0MH, 5680701]
[paragraph, [107.0, 491.0, 841.0, 36.0], shoonya_4sP0DUJO0SN0MH, 5680701]
[paragraph, [107.0, 527.0, 841.0, 36.0], shoonya_4sP0DUJO0SN0MH, 5680701]
[paragraph, [107.0, 563.0, 841.0, 36.0], shoonya_4sP0DUJO0SN0MH, 5680701]
[paragraph, [107.0, 599.0, 841.0, 36.0], shoonya_4sP0DUJO0SN0MH, 5680701]
[paragraph, [107.0, 635.0, 841.0, 36.0], shoonya_4sP0DUJO0SN0MH, 5680701]
[paragraph, [107.0, 671.0, 841.0, 36.0], shoonya_4sP0DUJO0SN0MH, 5680701]
[paragraph, [104.0, 721.0, 838.0, 36.0], shoonya_3sV4F3ELD8ZIMC, 5680701]
[paragraph, [104.0, 757.0, 838.0, 36.0], shoonya_3sV4F3ELD8ZIMC, 5680701]
[paragraph, [106.0, 809.0, 840.0, 36.0], shoonya_0sH0WUL88P89UZ, 5680701]
[paragraph, [106.0, 845.0, 840.0, 36.0], shoonya_0sH0WUL88P89UZ, 5680701]
[paragraph, [106.0, 881.0, 840.0, 36.0], shoonya_0sH0WUL88P89UZ, 5680701]
[paragraph, [103.0, 937.0, 842.0, 36.0], shoonya_6sOQBFO33BMBFY, 5680701]
[paragraph, [103.0, 973.0, 842.0, 36.0], shoonya_6sOQBFO33BMBFY, 5680701]
[paragraph, [103.0, 1009.0, 842.0, 36.0], shoonya_6sOQBFO33BMBFY, 5680701]
[paragraph, [103.0, 1045.0, 842.0, 36.0], shoonya_6sOQBFO33BMBFY, 5680701]
[paragraph, [103.0, 1081.0, 842.0, 36.0], shoonya_6sOQBFO33BMBFY, 5680701]
[paragraph, [103.0, 1117.0, 842.0, 36.0], shoonya_6sOQBFO33BMBFY, 5680701]
[paragraph, [103.0, 1153.0, 842.0, 36.0], shoonya_6sOQBFO33BMBFY, 5680701]
[paragraph, [103.0, 1189.0, 842.0, 36.0], shoonya_6sOQBFO33BMBFY, 5680701]
[paragraph, [103.0, 1225.0, 842.0, 36.0], shoonya_6sOQBFO33BMBFY, 5680701]
[paragraph, [103.0, 1261.0, 842.0, 36.0], shoonya_6sOQBFO33BMBFY, 5680701]
[paragraph, [103.0, 1329.0, 842.0, 36.0], shoonya_2s97YEV5OG7PS8, 5680701]
[paragraph, [103.0, 1365.0, 842.0, 36.0], shoonya_2s97YEV5OG7PS8, 5680701]
[paragraph, [103.0, 1401.0, 842.0, 36.0], shoonya_2s97YEV5OG7PS8, 5680701]
[paragraph, [103.0, 1437.0, 842.0, 36.0], shoonya_2s97YEV5OG7PS8, 5680701]
[paragraph, [103.0, 1473.0, 842.0, 36.0], shoonya_2s97YEV5OG7PS8, 5680701]
