[1818, 1374]
[folio, [481.0, 219.0, 416.0, 36.0], shoonya_1s3CC33LDD9JMX, 5682634]
[paragraph, [699.0, 307.0, 573.0, 36.0], eztC7nxClM, 5682634]
[paragraph, [699.0, 343.0, 573.0, 36.0], eztC7nxClM, 5682634]
[paragraph, [699.0, 379.0, 573.0, 36.0], eztC7nxClM, 5682634]
[paragraph, [699.0, 415.0, 573.0, 36.0], eztC7nxClM, 5682634]
[paragraph, [699.0, 451.0, 573.0, 36.0], eztC7nxClM, 5682634]
[paragraph, [110.0, 356.0, 571.0, 36.0], shoonya_4sOTWSMOD2CNPN, 5682634]
[paragraph, [110.0, 392.0, 571.0, 36.0], shoonya_4sOTWSMOD2CNPN, 5682634]
[paragraph, [110.0, 428.0, 571.0, 36.0], shoonya_4sOTWSMOD2CNPN, 5682634]
[paragraph, [110.0, 464.0, 571.0, 36.0], shoonya_4sOTWSMOD2CNPN, 5682634]
[paragraph, [108.0, 515.0, 574.0, 36.0], shoonya_5sB0H2X63R4Z2R, 5682634]
[paragraph, [702.0, 516.0, 568.0, 36.0], heqY_loLlP, 5682634]
[paragraph, [702.0, 552.0, 568.0, 36.0], heqY_loLlP, 5682634]
[paragraph, [702.0, 588.0, 568.0, 36.0], heqY_loLlP, 5682634]
[paragraph, [104.0, 593.0, 577.0, 36.0], shoonya_6sY9CW5QNF3RRZ, 5682634]
[paragraph, [104.0, 629.0, 577.0, 36.0], shoonya_6sY9CW5QNF3RRZ, 5682634]
[paragraph, [104.0, 665.0, 577.0, 36.0], shoonya_6sY9CW5QNF3RRZ, 5682634]
[paragraph, [104.0, 701.0, 577.0, 36.0], shoonya_6sY9CW5QNF3RRZ, 5682634]
[paragraph, [104.0, 737.0, 577.0, 36.0], shoonya_6sY9CW5QNF3RRZ, 5682634]
[paragraph, [104.0, 773.0, 577.0, 36.0], shoonya_6sY9CW5QNF3RRZ, 5682634]
[paragraph, [104.0, 809.0, 577.0, 36.0], shoonya_6sY9CW5QNF3RRZ, 5682634]
[paragraph, [704.0, 635.0, 566.0, 36.0], RvomRRK1f5, 5682634]
[paragraph, [704.0, 671.0, 566.0, 36.0], RvomRRK1f5, 5682634]
[paragraph, [700.0, 719.0, 570.0, 36.0], QTbYCajaLY, 5682634]
[paragraph, [700.0, 796.0, 566.0, 36.0], cFFQ9ljzfq, 5682634]
[paragraph, [700.0, 832.0, 566.0, 36.0], cFFQ9ljzfq, 5682634]
[paragraph, [702.0, 916.0, 559.0, 36.0], 7llpMvKqjA, 5682634]
[paragraph, [105.0, 950.0, 571.0, 36.0], shoonya_9sQIOY1UFWMUM8, 5682634]
[paragraph, [105.0, 986.0, 571.0, 36.0], shoonya_9sQIOY1UFWMUM8, 5682634]
[paragraph, [702.0, 995.0, 566.0, 36.0], v-vCZx3kIN, 5682634]
[paragraph, [702.0, 1031.0, 566.0, 36.0], v-vCZx3kIN, 5682634]
[paragraph, [702.0, 1067.0, 566.0, 36.0], v-vCZx3kIN, 5682634]
[paragraph, [702.0, 1103.0, 566.0, 36.0], v-vCZx3kIN, 5682634]
[paragraph, [702.0, 1139.0, 566.0, 36.0], v-vCZx3kIN, 5682634]
[paragraph, [104.0, 1035.0, 575.0, 36.0], shoonya_10sY6B7MHKAW5M, 5682634]
[paragraph, [104.0, 1071.0, 575.0, 36.0], shoonya_10sY6B7MHKAW5M, 5682634]
[paragraph, [104.0, 1107.0, 575.0, 36.0], shoonya_10sY6B7MHKAW5M, 5682634]
[paragraph, [104.0, 1143.0, 575.0, 36.0], shoonya_10sY6B7MHKAW5M, 5682634]
[paragraph, [104.0, 1179.0, 575.0, 36.0], shoonya_10sY6B7MHKAW5M, 5682634]
[paragraph, [700.0, 1198.0, 565.0, 36.0], 5e8-J70hS2, 5682634]
[paragraph, [108.0, 1235.0, 575.0, 36.0], shoonya_11sLGTL4UW6UIQ, 5682634]
[paragraph, [108.0, 1271.0, 575.0, 36.0], shoonya_11sLGTL4UW6UIQ, 5682634]
[paragraph, [699.0, 1275.0, 568.0, 36.0], cmuKGr61_4, 5682634]
[paragraph, [699.0, 1311.0, 568.0, 36.0], cmuKGr61_4, 5682634]
[paragraph, [699.0, 1347.0, 568.0, 36.0], cmuKGr61_4, 5682634]
[paragraph, [699.0, 1383.0, 568.0, 36.0], cmuKGr61_4, 5682634]
[paragraph, [699.0, 1419.0, 568.0, 36.0], cmuKGr61_4, 5682634]
[paragraph, [699.0, 1455.0, 568.0, 36.0], cmuKGr61_4, 5682634]
[paragraph, [699.0, 1491.0, 568.0, 36.0], cmuKGr61_4, 5682634]
[paragraph, [172.0, 1318.0, 240.0, 36.0], shoonya_12sDUO9F9ZDIET, 5682634]
[paragraph, [106.0, 1474.0, 575.0, 36.0], Dy2yhVDXVs, 5682634]
[paragraph, [106.0, 1510.0, 575.0, 36.0], Dy2yhVDXVs, 5682634]
[paragraph, [106.0, 1546.0, 575.0, 36.0], Dy2yhVDXVs, 5682634]
[paragraph, [106.0, 1582.0, 575.0, 36.0], Dy2yhVDXVs, 5682634]
[paragraph, [106.0, 1618.0, 575.0, 36.0], Dy2yhVDXVs, 5682634]
[paragraph, [106.0, 1654.0, 575.0, 36.0], Dy2yhVDXVs, 5682634]
[paragraph, [702.0, 1557.0, 566.0, 36.0], -C_F84PzOG, 5682634]
[paragraph, [702.0, 1593.0, 566.0, 36.0], -C_F84PzOG, 5682634]
[paragraph, [702.0, 1629.0, 566.0, 36.0], -C_F84PzOG, 5682634]
[paragraph, [702.0, 1665.0, 566.0, 36.0], -C_F84PzOG, 5682634]
