[2329, 1739]
[paragraph, [379.0, 205.0, 1184.0, 36.0], shoonya_2sXMLZHA4CIKR1, 5734053]
[paragraph, [379.0, 241.0, 1184.0, 36.0], shoonya_2sXMLZHA4CIKR1, 5734053]
[paragraph, [379.0, 277.0, 1184.0, 36.0], shoonya_2sXMLZHA4CIKR1, 5734053]
[paragraph, [379.0, 313.0, 1184.0, 36.0], shoonya_2sXMLZHA4CIKR1, 5734053]
[paragraph, [379.0, 349.0, 1184.0, 36.0], shoonya_2sXMLZHA4CIKR1, 5734053]
[paragraph, [379.0, 385.0, 1184.0, 36.0], shoonya_2sXMLZHA4CIKR1, 5734053]
[paragraph, [379.0, 421.0, 1184.0, 36.0], shoonya_2sXMLZHA4CIKR1, 5734053]
[paragraph, [379.0, 457.0, 1184.0, 36.0], shoonya_2sXMLZHA4CIKR1, 5734053]
[paragraph, [380.0, 535.0, 1176.0, 36.0], shoonya_5sEZWXTYEY9C30, 5734053]
[paragraph, [380.0, 571.0, 1176.0, 36.0], shoonya_5sEZWXTYEY9C30, 5734053]
[paragraph, [380.0, 607.0, 1176.0, 36.0], shoonya_5sEZWXTYEY9C30, 5734053]
[section-title, [382.0, 679.0, 1177.0, 52.5], shoonya_7sLURCXIKBMMOR, 5734053]
[section-title, [382.0, 731.5, 1177.0, 52.5], shoonya_7sLURCXIKBMMOR, 5734053]
[paragraph, [375.0, 845.0, 1182.0, 36.0], shoonya_3sZB3Q5R3ASJRJ, 5734053]
[paragraph, [375.0, 881.0, 1182.0, 36.0], shoonya_3sZB3Q5R3ASJRJ, 5734053]
[paragraph, [375.0, 917.0, 1182.0, 36.0], shoonya_3sZB3Q5R3ASJRJ, 5734053]
[paragraph, [375.0, 953.0, 1182.0, 36.0], shoonya_3sZB3Q5R3ASJRJ, 5734053]
[paragraph, [375.0, 989.0, 1182.0, 36.0], shoonya_3sZB3Q5R3ASJRJ, 5734053]
[paragraph, [375.0, 1025.0, 1182.0, 36.0], shoonya_3sZB3Q5R3ASJRJ, 5734053]
[paragraph, [371.0, 1113.0, 1183.0, 36.0], shoonya_6sZC6ZZOOEUFBC, 5734053]
[paragraph, [371.0, 1149.0, 1183.0, 36.0], shoonya_6sZC6ZZOOEUFBC, 5734053]
[paragraph, [371.0, 1185.0, 1183.0, 36.0], shoonya_6sZC6ZZOOEUFBC, 5734053]
[paragraph, [371.0, 1221.0, 1183.0, 36.0], shoonya_6sZC6ZZOOEUFBC, 5734053]
[paragraph, [371.0, 1257.0, 1183.0, 36.0], shoonya_6sZC6ZZOOEUFBC, 5734053]
[paragraph, [371.0, 1293.0, 1183.0, 36.0], shoonya_6sZC6ZZOOEUFBC, 5734053]
[paragraph, [370.0, 1388.0, 1182.0, 36.0], shoonya_0sNQKM0T621TN9, 5734053]
[paragraph, [370.0, 1424.0, 1182.0, 36.0], shoonya_0sNQKM0T621TN9, 5734053]
[paragraph, [370.0, 1460.0, 1182.0, 36.0], shoonya_0sNQKM0T621TN9, 5734053]
[paragraph, [370.0, 1496.0, 1182.0, 36.0], shoonya_0sNQKM0T621TN9, 5734053]
[paragraph, [370.0, 1532.0, 1182.0, 36.0], shoonya_0sNQKM0T621TN9, 5734053]
[paragraph, [370.0, 1568.0, 1182.0, 36.0], shoonya_0sNQKM0T621TN9, 5734053]
[paragraph, [370.0, 1604.0, 1182.0, 36.0], shoonya_0sNQKM0T621TN9, 5734053]
[paragraph, [370.0, 1640.0, 1182.0, 36.0], shoonya_0sNQKM0T621TN9, 5734053]
[paragraph, [365.0, 1719.0, 1190.0, 36.0], shoonya_1sKHPRDASRVQFF, 5734053]
[paragraph, [365.0, 1755.0, 1190.0, 36.0], shoonya_1sKHPRDASRVQFF, 5734053]
[paragraph, [365.0, 1791.0, 1190.0, 36.0], shoonya_1sKHPRDASRVQFF, 5734053]
[paragraph, [365.0, 1827.0, 1190.0, 36.0], shoonya_1sKHPRDASRVQFF, 5734053]
[paragraph, [365.0, 1863.0, 1190.0, 36.0], shoonya_1sKHPRDASRVQFF, 5734053]
[paragraph, [365.0, 1899.0, 1190.0, 36.0], shoonya_1sKHPRDASRVQFF, 5734053]
[paragraph, [365.0, 1935.0, 1190.0, 36.0], shoonya_1sKHPRDASRVQFF, 5734053]
[paragraph, [365.0, 1971.0, 1190.0, 36.0], shoonya_1sKHPRDASRVQFF, 5734053]
