[1275, 1650]
[folio, [216.0, 146.0, 558.0, 18.0], lsVH5wf8Hh, 5764618]
[folio, [216.0, 164.0, 558.0, 18.0], lsVH5wf8Hh, 5764618]
[folio, [216.0, 182.0, 558.0, 18.0], lsVH5wf8Hh, 5764618]
[folio, [216.0, 200.0, 558.0, 18.0], lsVH5wf8Hh, 5764618]
[folio, [216.0, 218.0, 558.0, 18.0], lsVH5wf8Hh, 5764618]
[folio, [216.0, 236.0, 558.0, 18.0], lsVH5wf8Hh, 5764618]
[folio, [216.0, 254.0, 558.0, 18.0], lsVH5wf8Hh, 5764618]
[folio, [216.0, 272.0, 558.0, 18.0], lsVH5wf8Hh, 5764618]
[folio, [216.0, 290.0, 558.0, 18.0], lsVH5wf8Hh, 5764618]
[folio, [216.0, 308.0, 558.0, 18.0], lsVH5wf8Hh, 5764618]
[sidebar, [140.0, 321.0, 140.0, 18.0], TkCR789RBu, 5764618]
[sidebar, [140.0, 339.0, 140.0, 18.0], TkCR789RBu, 5764618]
[sidebar, [509.0, 330.0, 259.0, 18.0], K5k7LXH9Pq, 5764618]
[sidebar, [620.0, 381.0, 156.0, 18.0], iPGtHDT_jS, 5764618]
[second-level-question, [119.0, 418.0, 672.0, 18.0], me2x0zrw6T, 5764618]
[second-level-question, [119.0, 436.0, 672.0, 18.0], me2x0zrw6T, 5764618]
[second-level-question, [119.0, 454.0, 672.0, 18.0], me2x0zrw6T, 5764618]
[second-level-question, [119.0, 472.0, 672.0, 18.0], me2x0zrw6T, 5764618]
[second-level-question, [119.0, 490.0, 672.0, 18.0], me2x0zrw6T, 5764618]
[second-level-question, [119.0, 508.0, 672.0, 18.0], me2x0zrw6T, 5764618]
[second-level-question, [119.0, 526.0, 672.0, 18.0], me2x0zrw6T, 5764618]
[second-level-question, [119.0, 544.0, 672.0, 18.0], me2x0zrw6T, 5764618]
[second-level-question, [119.0, 562.0, 672.0, 18.0], me2x0zrw6T, 5764618]
[second-level-question, [119.0, 580.0, 672.0, 18.0], me2x0zrw6T, 5764618]
[second-level-question, [119.0, 598.0, 672.0, 18.0], me2x0zrw6T, 5764618]
[second-level-question, [119.0, 616.0, 672.0, 18.0], me2x0zrw6T, 5764618]
[second-level-question, [119.0, 634.0, 672.0, 18.0], me2x0zrw6T, 5764618]
[second-level-question, [119.0, 652.0, 672.0, 18.0], me2x0zrw6T, 5764618]
[second-level-question, [119.0, 670.0, 672.0, 18.0], me2x0zrw6T, 5764618]
[second-level-question, [119.0, 688.0, 672.0, 18.0], me2x0zrw6T, 5764618]
[second-level-question, [119.0, 706.0, 672.0, 18.0], me2x0zrw6T, 5764618]
[second-level-question, [119.0, 724.0, 672.0, 18.0], me2x0zrw6T, 5764618]
[second-level-question, [119.0, 742.0, 672.0, 18.0], me2x0zrw6T, 5764618]
[second-level-question, [119.0, 760.0, 672.0, 18.0], me2x0zrw6T, 5764618]
[second-level-question, [119.0, 778.0, 672.0, 18.0], me2x0zrw6T, 5764618]
[second-level-question, [119.0, 796.0, 672.0, 18.0], me2x0zrw6T, 5764618]
[second-level-question, [119.0, 814.0, 672.0, 18.0], me2x0zrw6T, 5764618]
[second-level-question, [119.0, 832.0, 672.0, 18.0], me2x0zrw6T, 5764618]
[second-level-question, [119.0, 850.0, 672.0, 18.0], me2x0zrw6T, 5764618]
[second-level-question, [119.0, 868.0, 672.0, 18.0], me2x0zrw6T, 5764618]
[second-level-question, [119.0, 886.0, 672.0, 18.0], me2x0zrw6T, 5764618]
[second-level-question, [119.0, 904.0, 672.0, 18.0], me2x0zrw6T, 5764618]
[second-level-question, [119.0, 922.0, 672.0, 18.0], me2x0zrw6T, 5764618]
[second-level-question, [119.0, 940.0, 672.0, 18.0], me2x0zrw6T, 5764618]
[second-level-question, [119.0, 958.0, 672.0, 18.0], me2x0zrw6T, 5764618]
[second-level-question, [119.0, 976.0, 672.0, 18.0], me2x0zrw6T, 5764618]
[second-level-question, [119.0, 994.0, 672.0, 18.0], me2x0zrw6T, 5764618]
[second-level-question, [119.0, 1012.0, 672.0, 18.0], me2x0zrw6T, 5764618]
[second-level-question, [119.0, 1030.0, 672.0, 18.0], me2x0zrw6T, 5764618]
[second-level-question, [119.0, 1048.0, 672.0, 18.0], me2x0zrw6T, 5764618]
[second-level-question, [119.0, 1066.0, 672.0, 18.0], me2x0zrw6T, 5764618]
[folio, [379.0, 1092.0, 251.0, 18.0], shoonya_0s5VHMCPN42D66, 5764618]
