[1654, 1615]
[section-title, [173.0, 285.0, 611.0, 49.5], shoonya_6s6PU84AJE5MR5, 5738928]
[unordered-list, [174.0, 355.0, 648.0, 36.0], shoonya_2s0022BLOKK9ZD, 5738928]
[unordered-list, [174.0, 391.0, 648.0, 36.0], shoonya_2s0022BLOKK9ZD, 5738928]
[unordered-list, [174.0, 427.0, 648.0, 36.0], shoonya_2s0022BLOKK9ZD, 5738928]
[unordered-list, [174.0, 463.0, 648.0, 36.0], shoonya_2s0022BLOKK9ZD, 5738928]
[unordered-list, [174.0, 499.0, 648.0, 36.0], shoonya_2s0022BLOKK9ZD, 5738928]
[unordered-list, [174.0, 535.0, 648.0, 36.0], shoonya_2s0022BLOKK9ZD, 5738928]
[unordered-list, [174.0, 571.0, 648.0, 36.0], shoonya_2s0022BLOKK9ZD, 5738928]
[unordered-list, [174.0, 607.0, 648.0, 36.0], shoonya_2s0022BLOKK9ZD, 5738928]
[unordered-list, [161.0, 659.0, 1142.0, 36.0], shoonya_11sWC62WNB5859, 5738928]
[unordered-list, [161.0, 695.0, 1142.0, 36.0], shoonya_11sWC62WNB5859, 5738928]
[unordered-list, [161.0, 731.0, 1142.0, 36.0], shoonya_11sWC62WNB5859, 5738928]
[unordered-list, [161.0, 767.0, 1142.0, 36.0], shoonya_11sWC62WNB5859, 5738928]
[unordered-list, [161.0, 803.0, 1142.0, 36.0], shoonya_11sWC62WNB5859, 5738928]
[headline, [171.0, 940.0, 291.0, 37.5], shoonya_7sC5EG6AES1R9R, 5738928]
[figure-caption, [193.0, 1263.0, 182.0, 36.0], shoonya_10s5APFZ10W5U3, 5738928]
[figure-caption, [193.0, 1299.0, 182.0, 36.0], shoonya_10s5APFZ10W5U3, 5738928]
[figure-caption, [193.0, 1335.0, 182.0, 36.0], shoonya_10s5APFZ10W5U3, 5738928]
[figure-caption, [455.0, 1264.0, 193.0, 36.0], X3wDObE6Gs, 5738928]
[figure-caption, [455.0, 1300.0, 193.0, 36.0], X3wDObE6Gs, 5738928]
[figure-caption, [455.0, 1336.0, 193.0, 36.0], X3wDObE6Gs, 5738928]
[figure-caption, [971.0, 1264.0, 201.0, 36.0], fcpwCb7GvE, 5738928]
[figure-caption, [971.0, 1300.0, 201.0, 36.0], fcpwCb7GvE, 5738928]
[figure-caption, [971.0, 1336.0, 201.0, 36.0], fcpwCb7GvE, 5738928]
[figure-caption, [719.0, 1268.0, 179.0, 36.0], bybFoTmDu_, 5738928]
[figure-caption, [719.0, 1304.0, 179.0, 36.0], bybFoTmDu_, 5738928]
[figure-caption, [719.0, 1340.0, 179.0, 36.0], bybFoTmDu_, 5738928]
[paragraph, [1237.0, 1268.0, 209.0, 36.0], Le087XPjnZ, 5738928]
[paragraph, [173.0, 1429.0, 1271.0, 36.0], shoonya_5sHDB0NDW7YERR, 5738928]
[paragraph, [173.0, 1465.0, 1271.0, 36.0], shoonya_5sHDB0NDW7YERR, 5738928]
