[1518, 1075]
[section-title, [379.0, 83.0, 341.0, 49.5], 43S_U6pFaz, 5722004]
[author, [358.0, 166.0, 389.0, 36.0], q04WUQQi_4, 5722004]
[headline, [314.0, 237.0, 471.0, 37.5], shoonya_4s7BPJY3SDSU5X, 5722004]
[paragraph, [589.0, 393.0, 395.0, 36.0], -ox3H2F6kY, 5722004]
[paragraph, [114.0, 399.0, 426.0, 36.0], shoonya_0sWG89JBD0LAP0, 5722004]
[paragraph, [114.0, 435.0, 426.0, 36.0], shoonya_0sWG89JBD0LAP0, 5722004]
[paragraph, [114.0, 471.0, 426.0, 36.0], shoonya_0sWG89JBD0LAP0, 5722004]
[paragraph, [114.0, 507.0, 426.0, 36.0], shoonya_0sWG89JBD0LAP0, 5722004]
[paragraph, [114.0, 543.0, 426.0, 36.0], shoonya_0sWG89JBD0LAP0, 5722004]
[paragraph, [114.0, 579.0, 426.0, 36.0], shoonya_0sWG89JBD0LAP0, 5722004]
[paragraph, [114.0, 615.0, 426.0, 36.0], shoonya_0sWG89JBD0LAP0, 5722004]
[paragraph, [114.0, 651.0, 426.0, 36.0], shoonya_0sWG89JBD0LAP0, 5722004]
[paragraph, [114.0, 687.0, 426.0, 36.0], shoonya_0sWG89JBD0LAP0, 5722004]
[paragraph, [114.0, 723.0, 426.0, 36.0], shoonya_0sWG89JBD0LAP0, 5722004]
[paragraph, [114.0, 759.0, 426.0, 36.0], shoonya_0sWG89JBD0LAP0, 5722004]
[paragraph, [114.0, 795.0, 426.0, 36.0], shoonya_0sWG89JBD0LAP0, 5722004]
[paragraph, [114.0, 831.0, 426.0, 36.0], shoonya_0sWG89JBD0LAP0, 5722004]
[paragraph, [114.0, 867.0, 426.0, 36.0], shoonya_0sWG89JBD0LAP0, 5722004]
[paragraph, [114.0, 903.0, 426.0, 36.0], shoonya_0sWG89JBD0LAP0, 5722004]
[paragraph, [114.0, 939.0, 426.0, 36.0], shoonya_0sWG89JBD0LAP0, 5722004]
[paragraph, [114.0, 975.0, 426.0, 36.0], shoonya_0sWG89JBD0LAP0, 5722004]
[paragraph, [114.0, 1011.0, 426.0, 36.0], shoonya_0sWG89JBD0LAP0, 5722004]
[paragraph, [558.0, 456.0, 428.0, 36.0], shoonya_5sMAW22KKYZT6U, 5722004]
[paragraph, [558.0, 492.0, 428.0, 36.0], shoonya_5sMAW22KKYZT6U, 5722004]
[paragraph, [558.0, 540.0, 427.0, 36.0], shoonya_2sB0EYFJUIPZDW, 5722004]
[paragraph, [558.0, 576.0, 427.0, 36.0], shoonya_2sB0EYFJUIPZDW, 5722004]
[paragraph, [558.0, 612.0, 427.0, 36.0], shoonya_2sB0EYFJUIPZDW, 5722004]
[paragraph, [558.0, 648.0, 427.0, 36.0], shoonya_2sB0EYFJUIPZDW, 5722004]
[paragraph, [558.0, 684.0, 427.0, 36.0], shoonya_2sB0EYFJUIPZDW, 5722004]
[paragraph, [558.0, 757.0, 427.0, 36.0], shoonya_3sP9OB6WH8WHMA, 5722004]
[paragraph, [558.0, 793.0, 427.0, 36.0], shoonya_3sP9OB6WH8WHMA, 5722004]
[paragraph, [558.0, 829.0, 427.0, 36.0], shoonya_3sP9OB6WH8WHMA, 5722004]
[paragraph, [547.0, 916.0, 438.0, 36.0], shoonya_1sRMEHWV2TPVXX, 5722004]
[paragraph, [547.0, 952.0, 438.0, 36.0], shoonya_1sRMEHWV2TPVXX, 5722004]
[paragraph, [547.0, 988.0, 438.0, 36.0], shoonya_1sRMEHWV2TPVXX, 5722004]
[paragraph, [547.0, 1024.0, 438.0, 36.0], shoonya_1sRMEHWV2TPVXX, 5722004]
[paragraph, [547.0, 1060.0, 438.0, 36.0], shoonya_1sRMEHWV2TPVXX, 5722004]
[paragraph, [547.0, 1096.0, 438.0, 36.0], shoonya_1sRMEHWV2TPVXX, 5722004]
[paragraph, [547.0, 1132.0, 438.0, 36.0], shoonya_1sRMEHWV2TPVXX, 5722004]
[paragraph, [547.0, 1168.0, 438.0, 36.0], shoonya_1sRMEHWV2TPVXX, 5722004]
[paragraph, [547.0, 1204.0, 438.0, 36.0], shoonya_1sRMEHWV2TPVXX, 5722004]
[paragraph, [547.0, 1240.0, 438.0, 36.0], shoonya_1sRMEHWV2TPVXX, 5722004]
[paragraph, [547.0, 1276.0, 438.0, 36.0], shoonya_1sRMEHWV2TPVXX, 5722004]
[paragraph, [119.0, 1106.0, 420.0, 36.0], ZVpPmRaNSe, 5722004]
[paragraph, [119.0, 1142.0, 420.0, 36.0], ZVpPmRaNSe, 5722004]
[paragraph, [119.0, 1178.0, 420.0, 36.0], ZVpPmRaNSe, 5722004]
[paragraph, [119.0, 1214.0, 420.0, 36.0], ZVpPmRaNSe, 5722004]
[paragraph, [119.0, 1250.0, 420.0, 36.0], ZVpPmRaNSe, 5722004]
[paragraph, [151.0, 1292.0, 301.0, 36.0], shoonya_9sYX4AJQW8CNXS, 5722004]
[folio, [192.0, 1386.0, 296.0, 36.0], Qe0fOHnOyI, 5722004]
