[2200, 1700]
[folio, [778.0, 399.0, 148.0, 36.0], shoonya_1sAOKMLJPF0R2H, 5732113]
[paragraph, [458.0, 488.0, 808.0, 36.0], shoonya_0sBA9Y69J6JIAX, 5732113]
[paragraph, [458.0, 524.0, 808.0, 36.0], shoonya_0sBA9Y69J6JIAX, 5732113]
[paragraph, [458.0, 560.0, 808.0, 36.0], shoonya_0sBA9Y69J6JIAX, 5732113]
[paragraph, [458.0, 596.0, 808.0, 36.0], shoonya_0sBA9Y69J6JIAX, 5732113]
[paragraph, [458.0, 632.0, 808.0, 36.0], shoonya_0sBA9Y69J6JIAX, 5732113]
[paragraph, [458.0, 668.0, 808.0, 36.0], shoonya_0sBA9Y69J6JIAX, 5732113]
[paragraph, [458.0, 704.0, 808.0, 36.0], shoonya_0sBA9Y69J6JIAX, 5732113]
[paragraph, [458.0, 740.0, 808.0, 36.0], shoonya_0sBA9Y69J6JIAX, 5732113]
[paragraph, [458.0, 776.0, 808.0, 36.0], shoonya_0sBA9Y69J6JIAX, 5732113]
[paragraph, [458.0, 812.0, 808.0, 36.0], shoonya_0sBA9Y69J6JIAX, 5732113]
[paragraph, [458.0, 848.0, 808.0, 36.0], shoonya_0sBA9Y69J6JIAX, 5732113]
[paragraph, [458.0, 884.0, 808.0, 36.0], shoonya_0sBA9Y69J6JIAX, 5732113]
[paragraph, [458.0, 920.0, 808.0, 36.0], shoonya_0sBA9Y69J6JIAX, 5732113]
[paragraph, [458.0, 956.0, 808.0, 36.0], shoonya_0sBA9Y69J6JIAX, 5732113]
[paragraph, [458.0, 992.0, 808.0, 36.0], shoonya_0sBA9Y69J6JIAX, 5732113]
[paragraph, [458.0, 1028.0, 808.0, 36.0], shoonya_0sBA9Y69J6JIAX, 5732113]
[paragraph, [458.0, 1064.0, 808.0, 36.0], shoonya_0sBA9Y69J6JIAX, 5732113]
[paragraph, [458.0, 1100.0, 808.0, 36.0], shoonya_0sBA9Y69J6JIAX, 5732113]
[paragraph, [458.0, 1136.0, 808.0, 36.0], shoonya_0sBA9Y69J6JIAX, 5732113]
[paragraph, [458.0, 1172.0, 808.0, 36.0], shoonya_0sBA9Y69J6JIAX, 5732113]
[paragraph, [458.0, 1208.0, 808.0, 36.0], shoonya_0sBA9Y69J6JIAX, 5732113]
[paragraph, [458.0, 1244.0, 808.0, 36.0], shoonya_0sBA9Y69J6JIAX, 5732113]
[paragraph, [458.0, 1280.0, 808.0, 36.0], shoonya_0sBA9Y69J6JIAX, 5732113]
[paragraph, [458.0, 1316.0, 808.0, 36.0], shoonya_0sBA9Y69J6JIAX, 5732113]
[paragraph, [458.0, 1352.0, 808.0, 36.0], shoonya_0sBA9Y69J6JIAX, 5732113]
[paragraph, [458.0, 1388.0, 808.0, 36.0], shoonya_0sBA9Y69J6JIAX, 5732113]
[paragraph, [458.0, 1424.0, 808.0, 36.0], shoonya_0sBA9Y69J6JIAX, 5732113]
[paragraph, [458.0, 1460.0, 808.0, 36.0], shoonya_0sBA9Y69J6JIAX, 5732113]
[paragraph, [458.0, 1496.0, 808.0, 36.0], shoonya_0sBA9Y69J6JIAX, 5732113]
[paragraph, [458.0, 1532.0, 808.0, 36.0], shoonya_0sBA9Y69J6JIAX, 5732113]
[paragraph, [458.0, 1568.0, 808.0, 36.0], shoonya_0sBA9Y69J6JIAX, 5732113]
[paragraph, [458.0, 1604.0, 808.0, 36.0], shoonya_0sBA9Y69J6JIAX, 5732113]
[paragraph, [458.0, 1640.0, 808.0, 36.0], shoonya_0sBA9Y69J6JIAX, 5732113]
[paragraph, [458.0, 1676.0, 808.0, 36.0], shoonya_0sBA9Y69J6JIAX, 5732113]
[paragraph, [458.0, 1712.0, 808.0, 36.0], shoonya_0sBA9Y69J6JIAX, 5732113]
[footnote, [1305.0, 2028.0, 218.0, 36.0], sqr4ZLyVhD, 5732113]
[footnote, [1305.0, 2064.0, 218.0, 36.0], sqr4ZLyVhD, 5732113]
[folio, [814.0, 2113.0, 161.0, 36.0], kJ2lkN4oHW, 5732113]
