[1004, 650]
[paragraph, [56.0, 94.0, 529.0, 18.0], CW4xJ_tRmd, 5741045]
[paragraph, [56.0, 112.0, 529.0, 18.0], CW4xJ_tRmd, 5741045]
[paragraph, [56.0, 130.0, 529.0, 18.0], CW4xJ_tRmd, 5741045]
[paragraph, [56.0, 148.0, 529.0, 18.0], CW4xJ_tRmd, 5741045]
[paragraph, [56.0, 176.0, 529.0, 18.0], dTiBU_ICuQ, 5741045]
[paragraph, [56.0, 194.0, 529.0, 18.0], dTiBU_ICuQ, 5741045]
[paragraph, [56.0, 212.0, 529.0, 18.0], dTiBU_ICuQ, 5741045]
[paragraph, [56.0, 230.0, 529.0, 18.0], dTiBU_ICuQ, 5741045]
[paragraph, [59.0, 251.0, 526.0, 18.0], TeLu-qhH9N, 5741045]
[paragraph, [59.0, 269.0, 526.0, 18.0], TeLu-qhH9N, 5741045]
[paragraph, [59.0, 287.0, 526.0, 18.0], TeLu-qhH9N, 5741045]
[paragraph, [59.0, 305.0, 526.0, 18.0], TeLu-qhH9N, 5741045]
[paragraph, [115.0, 325.0, 408.0, 18.0], HxRsoFOoZw, 5741045]
[paragraph, [115.0, 343.0, 408.0, 18.0], HxRsoFOoZw, 5741045]
[paragraph, [115.0, 365.0, 155.0, 18.0], CzeAv10bGT, 5741045]
[paragraph, [60.0, 392.0, 526.0, 18.0], Ov4q-Aaj4q, 5741045]
[paragraph, [60.0, 410.0, 526.0, 18.0], Ov4q-Aaj4q, 5741045]
[paragraph, [60.0, 428.0, 526.0, 18.0], Ov4q-Aaj4q, 5741045]
[paragraph, [60.0, 460.0, 529.0, 18.0], prpVBWbSKL, 5741045]
[paragraph, [60.0, 478.0, 529.0, 18.0], prpVBWbSKL, 5741045]
[paragraph, [60.0, 496.0, 529.0, 18.0], prpVBWbSKL, 5741045]
[paragraph, [60.0, 514.0, 529.0, 18.0], prpVBWbSKL, 5741045]
[paragraph, [113.0, 535.0, 228.0, 18.0], Zfoel6ymgC, 5741045]
[paragraph, [113.0, 553.0, 228.0, 18.0], Zfoel6ymgC, 5741045]
[paragraph, [57.0, 576.0, 542.0, 18.0], dG9mnaN5oD, 5741045]
[paragraph, [57.0, 594.0, 542.0, 18.0], dG9mnaN5oD, 5741045]
[paragraph, [57.0, 612.0, 542.0, 18.0], dG9mnaN5oD, 5741045]
[paragraph, [57.0, 630.0, 542.0, 18.0], dG9mnaN5oD, 5741045]
[paragraph, [57.0, 648.0, 542.0, 18.0], dG9mnaN5oD, 5741045]
[paragraph, [57.0, 666.0, 542.0, 18.0], dG9mnaN5oD, 5741045]
[paragraph, [57.0, 684.0, 542.0, 18.0], dG9mnaN5oD, 5741045]
[paragraph, [57.0, 702.0, 542.0, 18.0], dG9mnaN5oD, 5741045]
[paragraph, [57.0, 720.0, 542.0, 18.0], dG9mnaN5oD, 5741045]
[paragraph, [57.0, 738.0, 542.0, 18.0], dG9mnaN5oD, 5741045]
[paragraph, [57.0, 756.0, 542.0, 18.0], dG9mnaN5oD, 5741045]
[paragraph, [57.0, 774.0, 542.0, 18.0], dG9mnaN5oD, 5741045]
[paragraph, [57.0, 792.0, 542.0, 18.0], dG9mnaN5oD, 5741045]
[paragraph, [57.0, 810.0, 542.0, 18.0], dG9mnaN5oD, 5741045]
[paragraph, [57.0, 828.0, 542.0, 18.0], dG9mnaN5oD, 5741045]
[paragraph, [57.0, 846.0, 542.0, 18.0], dG9mnaN5oD, 5741045]
[paragraph, [57.0, 864.0, 542.0, 18.0], dG9mnaN5oD, 5741045]
[paragraph, [57.0, 882.0, 542.0, 18.0], dG9mnaN5oD, 5741045]
[paragraph, [57.0, 900.0, 542.0, 18.0], dG9mnaN5oD, 5741045]
[paragraph, [111.0, 922.0, 350.0, 18.0], -adB4jVFoL, 5741045]
[footnote, [352.0, 964.0, 235.0, 18.0], hFq13MmLsi, 5741045]
[footnote, [352.0, 982.0, 235.0, 18.0], hFq13MmLsi, 5741045]
