[842, 595]
[paragraph, [105.0, 87.0, 427.0, 18.0], ZTdxcvrQ9u, 6460047]
[paragraph, [105.0, 105.0, 427.0, 18.0], ZTdxcvrQ9u, 6460047]
[paragraph, [105.0, 123.0, 427.0, 18.0], ZTdxcvrQ9u, 6460047]
[paragraph, [105.0, 141.0, 427.0, 18.0], ZTdxcvrQ9u, 6460047]
[paragraph, [108.0, 167.0, 423.0, 18.0], shoonya_0sLGSMG5KEYK0T, 6460047]
[paragraph, [108.0, 185.0, 423.0, 18.0], shoonya_0sLGSMG5KEYK0T, 6460047]
[paragraph, [108.0, 203.0, 423.0, 18.0], shoonya_0sLGSMG5KEYK0T, 6460047]
[paragraph, [108.0, 221.0, 423.0, 18.0], shoonya_0sLGSMG5KEYK0T, 6460047]
[paragraph, [108.0, 239.0, 423.0, 18.0], shoonya_0sLGSMG5KEYK0T, 6460047]
[paragraph, [108.0, 257.0, 423.0, 18.0], shoonya_0sLGSMG5KEYK0T, 6460047]
[paragraph, [108.0, 275.0, 423.0, 18.0], shoonya_0sLGSMG5KEYK0T, 6460047]
[paragraph, [108.0, 293.0, 423.0, 18.0], shoonya_0sLGSMG5KEYK0T, 6460047]
[paragraph, [108.0, 311.0, 423.0, 18.0], shoonya_0sLGSMG5KEYK0T, 6460047]
[paragraph, [108.0, 329.0, 423.0, 18.0], shoonya_0sLGSMG5KEYK0T, 6460047]
[paragraph, [108.0, 347.0, 423.0, 18.0], shoonya_0sLGSMG5KEYK0T, 6460047]
[paragraph, [108.0, 365.0, 423.0, 18.0], shoonya_0sLGSMG5KEYK0T, 6460047]
[paragraph, [108.0, 383.0, 423.0, 18.0], shoonya_0sLGSMG5KEYK0T, 6460047]
[paragraph, [108.0, 401.0, 423.0, 18.0], shoonya_0sLGSMG5KEYK0T, 6460047]
[paragraph, [108.0, 419.0, 423.0, 18.0], shoonya_0sLGSMG5KEYK0T, 6460047]
[paragraph, [108.0, 437.0, 423.0, 18.0], shoonya_0sLGSMG5KEYK0T, 6460047]
[paragraph, [108.0, 455.0, 423.0, 18.0], shoonya_0sLGSMG5KEYK0T, 6460047]
[paragraph, [108.0, 473.0, 423.0, 18.0], shoonya_0sLGSMG5KEYK0T, 6460047]
[paragraph, [108.0, 491.0, 423.0, 18.0], shoonya_0sLGSMG5KEYK0T, 6460047]
[paragraph, [108.0, 509.0, 423.0, 18.0], shoonya_0sLGSMG5KEYK0T, 6460047]
[paragraph, [108.0, 527.0, 423.0, 18.0], shoonya_0sLGSMG5KEYK0T, 6460047]
[paragraph, [108.0, 545.0, 423.0, 18.0], shoonya_0sLGSMG5KEYK0T, 6460047]
[paragraph, [108.0, 563.0, 423.0, 18.0], shoonya_0sLGSMG5KEYK0T, 6460047]
[paragraph, [108.0, 581.0, 423.0, 18.0], shoonya_0sLGSMG5KEYK0T, 6460047]
[paragraph, [108.0, 599.0, 423.0, 18.0], shoonya_0sLGSMG5KEYK0T, 6460047]
[paragraph, [108.0, 617.0, 423.0, 18.0], shoonya_0sLGSMG5KEYK0T, 6460047]
[paragraph, [108.0, 635.0, 423.0, 18.0], shoonya_0sLGSMG5KEYK0T, 6460047]
[paragraph, [108.0, 653.0, 423.0, 18.0], shoonya_0sLGSMG5KEYK0T, 6460047]
[paragraph, [108.0, 671.0, 423.0, 18.0], shoonya_0sLGSMG5KEYK0T, 6460047]
[paragraph, [108.0, 689.0, 423.0, 18.0], shoonya_0sLGSMG5KEYK0T, 6460047]
[paragraph, [108.0, 707.0, 423.0, 18.0], shoonya_0sLGSMG5KEYK0T, 6460047]
