[1951, 1219]
[folio, [225.0, 124.0, 190.0, 36.0], nZhMw_psqf, 5683111]
[paragraph, [125.0, 212.0, 392.0, 36.0], shoonya_0sV7WAMROXYNG4, 5683111]
[paragraph, [120.0, 271.0, 969.0, 36.0], bfZLe7dwU1, 5683111]
[paragraph, [120.0, 307.0, 969.0, 36.0], bfZLe7dwU1, 5683111]
[paragraph, [120.0, 343.0, 969.0, 36.0], bfZLe7dwU1, 5683111]
[paragraph, [120.0, 379.0, 969.0, 36.0], bfZLe7dwU1, 5683111]
[paragraph, [120.0, 415.0, 969.0, 36.0], bfZLe7dwU1, 5683111]
[paragraph, [120.0, 451.0, 969.0, 36.0], bfZLe7dwU1, 5683111]
[paragraph, [118.0, 504.0, 970.0, 36.0], scJ3CHEFmx, 5683111]
[paragraph, [118.0, 540.0, 970.0, 36.0], scJ3CHEFmx, 5683111]
[paragraph, [118.0, 576.0, 970.0, 36.0], scJ3CHEFmx, 5683111]
[paragraph, [118.0, 612.0, 970.0, 36.0], scJ3CHEFmx, 5683111]
[paragraph, [118.0, 648.0, 970.0, 36.0], scJ3CHEFmx, 5683111]
[paragraph, [118.0, 684.0, 970.0, 36.0], scJ3CHEFmx, 5683111]
[paragraph, [114.0, 739.0, 979.0, 36.0], kNJ7gGAe5c, 5683111]
[paragraph, [114.0, 775.0, 979.0, 36.0], kNJ7gGAe5c, 5683111]
[paragraph, [114.0, 811.0, 979.0, 36.0], kNJ7gGAe5c, 5683111]
[paragraph, [114.0, 847.0, 979.0, 36.0], kNJ7gGAe5c, 5683111]
[paragraph, [114.0, 883.0, 979.0, 36.0], kNJ7gGAe5c, 5683111]
[paragraph, [114.0, 919.0, 979.0, 36.0], kNJ7gGAe5c, 5683111]
[paragraph, [199.0, 972.0, 833.0, 36.0], TkrOLaxBtZ, 5683111]
[paragraph, [114.0, 1030.0, 981.0, 36.0], t1wM0EJkH7, 5683111]
[paragraph, [114.0, 1066.0, 981.0, 36.0], t1wM0EJkH7, 5683111]
[paragraph, [114.0, 1102.0, 981.0, 36.0], t1wM0EJkH7, 5683111]
[paragraph, [114.0, 1138.0, 981.0, 36.0], t1wM0EJkH7, 5683111]
[paragraph, [114.0, 1174.0, 981.0, 36.0], t1wM0EJkH7, 5683111]
[paragraph, [114.0, 1210.0, 981.0, 36.0], t1wM0EJkH7, 5683111]
[paragraph, [202.0, 1257.0, 278.0, 36.0], UYW6kQRe3K, 5683111]
[paragraph, [204.0, 1318.0, 699.0, 36.0], aUj-y54qQv, 5683111]
[paragraph, [115.0, 1376.0, 982.0, 36.0], qluowAZIIh, 5683111]
[paragraph, [115.0, 1412.0, 982.0, 36.0], qluowAZIIh, 5683111]
[paragraph, [115.0, 1448.0, 982.0, 36.0], qluowAZIIh, 5683111]
[paragraph, [207.0, 1493.0, 318.0, 36.0], wHJYjSRhYm, 5683111]
[paragraph, [126.0, 1550.0, 969.0, 36.0], _OPVAat_Dz, 5683111]
[paragraph, [126.0, 1586.0, 969.0, 36.0], _OPVAat_Dz, 5683111]
[paragraph, [126.0, 1622.0, 969.0, 36.0], _OPVAat_Dz, 5683111]
[paragraph, [126.0, 1658.0, 969.0, 36.0], _OPVAat_Dz, 5683111]
[paragraph, [126.0, 1694.0, 969.0, 36.0], _OPVAat_Dz, 5683111]
[paragraph, [126.0, 1730.0, 969.0, 36.0], _OPVAat_Dz, 5683111]
[paragraph, [204.0, 1780.0, 874.0, 36.0], RIszyA4fvq, 5683111]
