[1755, 1240]
[paragraph, [180.0, 185.0, 880.0, 36.0], shoonya_3s790FH2YMAI6N, 5703578]
[paragraph, [180.0, 221.0, 880.0, 36.0], shoonya_3s790FH2YMAI6N, 5703578]
[paragraph, [180.0, 315.0, 879.0, 36.0], shoonya_0s5WZTI0UTF7B6, 5703578]
[paragraph, [180.0, 351.0, 879.0, 36.0], shoonya_0s5WZTI0UTF7B6, 5703578]
[paragraph, [180.0, 387.0, 879.0, 36.0], shoonya_0s5WZTI0UTF7B6, 5703578]
[paragraph, [180.0, 423.0, 879.0, 36.0], shoonya_0s5WZTI0UTF7B6, 5703578]
[paragraph, [180.0, 459.0, 879.0, 36.0], shoonya_0s5WZTI0UTF7B6, 5703578]
[paragraph, [180.0, 495.0, 879.0, 36.0], shoonya_0s5WZTI0UTF7B6, 5703578]
[paragraph, [180.0, 531.0, 879.0, 36.0], shoonya_0s5WZTI0UTF7B6, 5703578]
[paragraph, [180.0, 567.0, 879.0, 36.0], shoonya_0s5WZTI0UTF7B6, 5703578]
[paragraph, [180.0, 603.0, 879.0, 36.0], shoonya_0s5WZTI0UTF7B6, 5703578]
[paragraph, [180.0, 639.0, 879.0, 36.0], shoonya_0s5WZTI0UTF7B6, 5703578]
[paragraph, [180.0, 675.0, 879.0, 36.0], shoonya_0s5WZTI0UTF7B6, 5703578]
[paragraph, [180.0, 711.0, 879.0, 36.0], shoonya_0s5WZTI0UTF7B6, 5703578]
[paragraph, [179.0, 780.0, 879.0, 36.0], shoonya_2sMRW3N2F3RTNM, 5703578]
[paragraph, [179.0, 816.0, 879.0, 36.0], shoonya_2sMRW3N2F3RTNM, 5703578]
[paragraph, [179.0, 852.0, 879.0, 36.0], shoonya_2sMRW3N2F3RTNM, 5703578]
[paragraph, [179.0, 888.0, 879.0, 36.0], shoonya_2sMRW3N2F3RTNM, 5703578]
[paragraph, [179.0, 924.0, 879.0, 36.0], shoonya_2sMRW3N2F3RTNM, 5703578]
[paragraph, [179.0, 960.0, 879.0, 36.0], shoonya_2sMRW3N2F3RTNM, 5703578]
[paragraph, [179.0, 996.0, 879.0, 36.0], shoonya_2sMRW3N2F3RTNM, 5703578]
[paragraph, [179.0, 1078.0, 880.0, 36.0], shoonya_1sQE3W5O4RME25, 5703578]
[paragraph, [179.0, 1114.0, 880.0, 36.0], shoonya_1sQE3W5O4RME25, 5703578]
[paragraph, [179.0, 1150.0, 880.0, 36.0], shoonya_1sQE3W5O4RME25, 5703578]
[paragraph, [179.0, 1186.0, 880.0, 36.0], shoonya_1sQE3W5O4RME25, 5703578]
[paragraph, [179.0, 1222.0, 880.0, 36.0], shoonya_1sQE3W5O4RME25, 5703578]
[paragraph, [179.0, 1258.0, 880.0, 36.0], shoonya_1sQE3W5O4RME25, 5703578]
[paragraph, [179.0, 1294.0, 880.0, 36.0], shoonya_1sQE3W5O4RME25, 5703578]
[paragraph, [179.0, 1330.0, 880.0, 36.0], shoonya_1sQE3W5O4RME25, 5703578]
[paragraph, [179.0, 1366.0, 880.0, 36.0], shoonya_1sQE3W5O4RME25, 5703578]
[paragraph, [181.0, 1427.0, 881.0, 36.0], shoonya_4s1JUP3226OT84, 5703578]
[paragraph, [181.0, 1463.0, 881.0, 36.0], shoonya_4s1JUP3226OT84, 5703578]
