[720, 504]
[paragraph, [47.0, 103.0, 199.0, 18.0], shoonya_1s5HDL60NG2NCX, 5652096]
[paragraph, [47.0, 121.0, 199.0, 18.0], shoonya_1s5HDL60NG2NCX, 5652096]
[paragraph, [47.0, 139.0, 199.0, 18.0], shoonya_1s5HDL60NG2NCX, 5652096]
[paragraph, [47.0, 157.0, 199.0, 18.0], shoonya_1s5HDL60NG2NCX, 5652096]
[paragraph, [47.0, 175.0, 199.0, 18.0], shoonya_1s5HDL60NG2NCX, 5652096]
[paragraph, [47.0, 193.0, 199.0, 18.0], shoonya_1s5HDL60NG2NCX, 5652096]
[paragraph, [47.0, 211.0, 199.0, 18.0], shoonya_1s5HDL60NG2NCX, 5652096]
[paragraph, [47.0, 229.0, 199.0, 18.0], shoonya_1s5HDL60NG2NCX, 5652096]
[paragraph, [47.0, 247.0, 199.0, 18.0], shoonya_1s5HDL60NG2NCX, 5652096]
[paragraph, [47.0, 265.0, 199.0, 18.0], shoonya_1s5HDL60NG2NCX, 5652096]
[paragraph, [47.0, 283.0, 199.0, 18.0], shoonya_1s5HDL60NG2NCX, 5652096]
[paragraph, [47.0, 301.0, 199.0, 18.0], shoonya_1s5HDL60NG2NCX, 5652096]
[paragraph, [47.0, 319.0, 199.0, 18.0], shoonya_1s5HDL60NG2NCX, 5652096]
[paragraph, [47.0, 337.0, 199.0, 18.0], shoonya_1s5HDL60NG2NCX, 5652096]
[paragraph, [47.0, 355.0, 199.0, 18.0], shoonya_1s5HDL60NG2NCX, 5652096]
[paragraph, [47.0, 373.0, 199.0, 18.0], shoonya_1s5HDL60NG2NCX, 5652096]
[paragraph, [47.0, 391.0, 199.0, 18.0], shoonya_1s5HDL60NG2NCX, 5652096]
[paragraph, [47.0, 409.0, 199.0, 18.0], shoonya_1s5HDL60NG2NCX, 5652096]
[paragraph, [259.0, 106.0, 196.0, 18.0], shoonya_0sU04JTKKVCEOR, 5652096]
[paragraph, [259.0, 124.0, 196.0, 18.0], shoonya_0sU04JTKKVCEOR, 5652096]
[paragraph, [259.0, 142.0, 196.0, 18.0], shoonya_0sU04JTKKVCEOR, 5652096]
[paragraph, [259.0, 160.0, 196.0, 18.0], shoonya_0sU04JTKKVCEOR, 5652096]
[paragraph, [259.0, 178.0, 196.0, 18.0], shoonya_0sU04JTKKVCEOR, 5652096]
[paragraph, [259.0, 196.0, 196.0, 18.0], shoonya_0sU04JTKKVCEOR, 5652096]
[paragraph, [259.0, 214.0, 196.0, 18.0], shoonya_0sU04JTKKVCEOR, 5652096]
[paragraph, [259.0, 232.0, 196.0, 18.0], shoonya_0sU04JTKKVCEOR, 5652096]
[paragraph, [259.0, 250.0, 196.0, 18.0], shoonya_0sU04JTKKVCEOR, 5652096]
[paragraph, [259.0, 268.0, 196.0, 18.0], shoonya_0sU04JTKKVCEOR, 5652096]
[paragraph, [259.0, 286.0, 196.0, 18.0], shoonya_0sU04JTKKVCEOR, 5652096]
[paragraph, [259.0, 304.0, 196.0, 18.0], shoonya_0sU04JTKKVCEOR, 5652096]
[paragraph, [258.0, 357.0, 197.0, 18.0], shoonya_3s2YFTK1V7H5TA, 5652096]
[paragraph, [258.0, 375.0, 197.0, 18.0], shoonya_3s2YFTK1V7H5TA, 5652096]
[paragraph, [258.0, 393.0, 197.0, 18.0], shoonya_3s2YFTK1V7H5TA, 5652096]
[paragraph, [258.0, 411.0, 197.0, 18.0], shoonya_3s2YFTK1V7H5TA, 5652096]
[paragraph, [57.0, 473.0, 397.0, 18.0], shoonya_7s9Y5J8X0QP4Y2, 5652096]
[paragraph, [57.0, 491.0, 397.0, 18.0], shoonya_7s9Y5J8X0QP4Y2, 5652096]
[paragraph, [59.0, 521.0, 388.0, 18.0], G5I3v5v6-v, 5652096]
[paragraph, [58.0, 549.0, 389.0, 18.0], RStUWBqD9s, 5652096]
[paragraph, [58.0, 567.0, 389.0, 18.0], RStUWBqD9s, 5652096]
[paragraph, [56.0, 581.0, 392.0, 18.0], UxP43ZeCEd, 5652096]
[paragraph, [56.0, 599.0, 392.0, 18.0], UxP43ZeCEd, 5652096]
[footnote, [206.0, 680.0, 90.0, 18.0], tqalCxpLvk, 5652096]
