[1461, 1123]
[section-title, [137.0, 143.0, 715.0, 30.0], t1OmeZyj47, 5758787]
[section-title, [137.0, 173.0, 715.0, 30.0], t1OmeZyj47, 5758787]
[ordered-list, [120.0, 213.0, 839.0, 18.0], shoonya_1s4N0ZJP9NB9DV, 5758787]
[ordered-list, [120.0, 231.0, 839.0, 18.0], shoonya_1s4N0ZJP9NB9DV, 5758787]
[ordered-list, [120.0, 249.0, 839.0, 18.0], shoonya_1s4N0ZJP9NB9DV, 5758787]
[ordered-list, [120.0, 267.0, 839.0, 18.0], shoonya_1s4N0ZJP9NB9DV, 5758787]
[ordered-list, [120.0, 285.0, 839.0, 18.0], shoonya_1s4N0ZJP9NB9DV, 5758787]
[ordered-list, [120.0, 303.0, 839.0, 18.0], shoonya_1s4N0ZJP9NB9DV, 5758787]
[ordered-list, [120.0, 321.0, 839.0, 18.0], shoonya_1s4N0ZJP9NB9DV, 5758787]
[ordered-list, [120.0, 339.0, 839.0, 18.0], shoonya_1s4N0ZJP9NB9DV, 5758787]
[ordered-list, [120.0, 357.0, 839.0, 18.0], shoonya_1s4N0ZJP9NB9DV, 5758787]
[ordered-list, [120.0, 375.0, 839.0, 18.0], shoonya_1s4N0ZJP9NB9DV, 5758787]
[ordered-list, [120.0, 393.0, 839.0, 18.0], shoonya_1s4N0ZJP9NB9DV, 5758787]
[ordered-list, [120.0, 411.0, 839.0, 18.0], shoonya_1s4N0ZJP9NB9DV, 5758787]
[ordered-list, [120.0, 429.0, 839.0, 18.0], shoonya_1s4N0ZJP9NB9DV, 5758787]
[ordered-list, [120.0, 447.0, 839.0, 18.0], shoonya_1s4N0ZJP9NB9DV, 5758787]
[ordered-list, [120.0, 465.0, 839.0, 18.0], shoonya_1s4N0ZJP9NB9DV, 5758787]
[ordered-list, [120.0, 483.0, 839.0, 18.0], shoonya_1s4N0ZJP9NB9DV, 5758787]
[ordered-list, [120.0, 501.0, 839.0, 18.0], shoonya_1s4N0ZJP9NB9DV, 5758787]
[ordered-list, [120.0, 519.0, 839.0, 18.0], shoonya_1s4N0ZJP9NB9DV, 5758787]
[ordered-list, [120.0, 537.0, 839.0, 18.0], shoonya_1s4N0ZJP9NB9DV, 5758787]
[ordered-list, [120.0, 555.0, 839.0, 18.0], shoonya_1s4N0ZJP9NB9DV, 5758787]
[ordered-list, [120.0, 573.0, 839.0, 18.0], shoonya_1s4N0ZJP9NB9DV, 5758787]
[ordered-list, [120.0, 591.0, 839.0, 18.0], shoonya_1s4N0ZJP9NB9DV, 5758787]
[section-title, [126.0, 715.0, 179.0, 30.0], MkXEbbgOme, 5758787]
[unordered-list, [147.0, 779.0, 801.0, 18.0], 881ViUPRwh, 5758787]
[unordered-list, [147.0, 797.0, 801.0, 18.0], 881ViUPRwh, 5758787]
[unordered-list, [147.0, 815.0, 801.0, 18.0], 881ViUPRwh, 5758787]
[unordered-list, [147.0, 833.0, 801.0, 18.0], 881ViUPRwh, 5758787]
[unordered-list, [147.0, 851.0, 801.0, 18.0], 881ViUPRwh, 5758787]
[unordered-list, [147.0, 869.0, 801.0, 18.0], 881ViUPRwh, 5758787]
