[688, 400]
[folio, [162.0, 20.0, 81.0, 18.0], W--GoobY8B, 5748696]
[paragraph, [10.0, 52.0, 383.0, 18.0], shoonya_0sDR1MF6W6VEDP, 5748696]
[paragraph, [10.0, 70.0, 383.0, 18.0], shoonya_0sDR1MF6W6VEDP, 5748696]
[paragraph, [10.0, 88.0, 383.0, 18.0], shoonya_0sDR1MF6W6VEDP, 5748696]
[paragraph, [10.0, 106.0, 383.0, 18.0], shoonya_0sDR1MF6W6VEDP, 5748696]
[paragraph, [10.0, 124.0, 383.0, 18.0], shoonya_0sDR1MF6W6VEDP, 5748696]
[paragraph, [10.0, 152.0, 380.0, 18.0], eUSj5HBFH0, 5748696]
[paragraph, [10.0, 170.0, 380.0, 18.0], eUSj5HBFH0, 5748696]
[paragraph, [10.0, 188.0, 380.0, 18.0], eUSj5HBFH0, 5748696]
[paragraph, [10.0, 206.0, 380.0, 18.0], eUSj5HBFH0, 5748696]
[paragraph, [10.0, 224.0, 380.0, 18.0], eUSj5HBFH0, 5748696]
[paragraph, [10.0, 242.0, 380.0, 18.0], eUSj5HBFH0, 5748696]
[paragraph, [10.0, 260.0, 380.0, 18.0], eUSj5HBFH0, 5748696]
[paragraph, [10.0, 278.0, 380.0, 18.0], eUSj5HBFH0, 5748696]
[paragraph, [10.0, 296.0, 380.0, 18.0], eUSj5HBFH0, 5748696]
[paragraph, [10.0, 314.0, 380.0, 18.0], eUSj5HBFH0, 5748696]
[paragraph, [10.0, 332.0, 380.0, 18.0], eUSj5HBFH0, 5748696]
[paragraph, [10.0, 350.0, 380.0, 18.0], eUSj5HBFH0, 5748696]
[paragraph, [10.0, 368.0, 380.0, 18.0], eUSj5HBFH0, 5748696]
[paragraph, [10.0, 386.0, 380.0, 18.0], eUSj5HBFH0, 5748696]
[paragraph, [10.0, 404.0, 380.0, 18.0], eUSj5HBFH0, 5748696]
[paragraph, [10.0, 422.0, 380.0, 18.0], eUSj5HBFH0, 5748696]
[paragraph, [10.0, 440.0, 380.0, 18.0], eUSj5HBFH0, 5748696]
[paragraph, [10.0, 458.0, 380.0, 18.0], eUSj5HBFH0, 5748696]
[paragraph, [14.0, 485.0, 378.0, 18.0], 9JCi4xu2nD, 5748696]
[paragraph, [14.0, 503.0, 378.0, 18.0], 9JCi4xu2nD, 5748696]
[paragraph, [14.0, 521.0, 378.0, 18.0], 9JCi4xu2nD, 5748696]
[paragraph, [14.0, 539.0, 378.0, 18.0], 9JCi4xu2nD, 5748696]
[paragraph, [14.0, 557.0, 378.0, 18.0], 9JCi4xu2nD, 5748696]
[paragraph, [14.0, 575.0, 378.0, 18.0], 9JCi4xu2nD, 5748696]
[paragraph, [14.0, 593.0, 378.0, 18.0], 9JCi4xu2nD, 5748696]
[paragraph, [14.0, 611.0, 378.0, 18.0], 9JCi4xu2nD, 5748696]
[paragraph, [14.0, 629.0, 378.0, 18.0], 9JCi4xu2nD, 5748696]
