[1050, 693]
[paragraph, [80.0, 460.0, 530.0, 18.0], shoonya_0s9G8JIL2DJ6D4, 5701663]
[paragraph, [80.0, 478.0, 530.0, 18.0], shoonya_0s9G8JIL2DJ6D4, 5701663]
[paragraph, [80.0, 496.0, 530.0, 18.0], shoonya_0s9G8JIL2DJ6D4, 5701663]
[paragraph, [80.0, 514.0, 530.0, 18.0], shoonya_0s9G8JIL2DJ6D4, 5701663]
[paragraph, [80.0, 532.0, 530.0, 18.0], shoonya_0s9G8JIL2DJ6D4, 5701663]
[paragraph, [80.0, 550.0, 530.0, 18.0], shoonya_0s9G8JIL2DJ6D4, 5701663]
[paragraph, [80.0, 568.0, 530.0, 18.0], shoonya_0s9G8JIL2DJ6D4, 5701663]
[paragraph, [80.0, 586.0, 530.0, 18.0], shoonya_0s9G8JIL2DJ6D4, 5701663]
[paragraph, [80.0, 604.0, 530.0, 18.0], shoonya_0s9G8JIL2DJ6D4, 5701663]
[paragraph, [80.0, 622.0, 530.0, 18.0], shoonya_0s9G8JIL2DJ6D4, 5701663]
[paragraph, [80.0, 640.0, 530.0, 18.0], shoonya_0s9G8JIL2DJ6D4, 5701663]
[paragraph, [80.0, 658.0, 530.0, 18.0], shoonya_0s9G8JIL2DJ6D4, 5701663]
[paragraph, [80.0, 676.0, 530.0, 18.0], shoonya_0s9G8JIL2DJ6D4, 5701663]
[paragraph, [80.0, 694.0, 530.0, 18.0], shoonya_0s9G8JIL2DJ6D4, 5701663]
[paragraph, [80.0, 712.0, 530.0, 18.0], shoonya_0s9G8JIL2DJ6D4, 5701663]
[paragraph, [80.0, 730.0, 530.0, 18.0], shoonya_0s9G8JIL2DJ6D4, 5701663]
[paragraph, [80.0, 748.0, 530.0, 18.0], shoonya_0s9G8JIL2DJ6D4, 5701663]
[paragraph, [80.0, 766.0, 530.0, 18.0], shoonya_0s9G8JIL2DJ6D4, 5701663]
[paragraph, [83.0, 807.0, 530.0, 18.0], shoonya_1s8L6DLFQAISWM, 5701663]
[paragraph, [83.0, 825.0, 530.0, 18.0], shoonya_1s8L6DLFQAISWM, 5701663]
[paragraph, [83.0, 843.0, 530.0, 18.0], shoonya_1s8L6DLFQAISWM, 5701663]
[paragraph, [83.0, 861.0, 530.0, 18.0], shoonya_1s8L6DLFQAISWM, 5701663]
[paragraph, [83.0, 879.0, 530.0, 18.0], shoonya_1s8L6DLFQAISWM, 5701663]
[paragraph, [83.0, 897.0, 530.0, 18.0], shoonya_1s8L6DLFQAISWM, 5701663]
[paragraph, [83.0, 915.0, 530.0, 18.0], shoonya_1s8L6DLFQAISWM, 5701663]
[paragraph, [83.0, 933.0, 530.0, 18.0], shoonya_1s8L6DLFQAISWM, 5701663]
[paragraph, [83.0, 951.0, 530.0, 18.0], shoonya_1s8L6DLFQAISWM, 5701663]
