[1387, 987]
[paragraph, [45.0, 76.0, 811.0, 18.0], shoonya_1sLVO3WB0FMWSF, 5651857]
[paragraph, [45.0, 94.0, 811.0, 18.0], shoonya_1sLVO3WB0FMWSF, 5651857]
[paragraph, [45.0, 112.0, 811.0, 18.0], shoonya_1sLVO3WB0FMWSF, 5651857]
[paragraph, [45.0, 130.0, 811.0, 18.0], shoonya_1sLVO3WB0FMWSF, 5651857]
[paragraph, [45.0, 148.0, 811.0, 18.0], shoonya_1sLVO3WB0FMWSF, 5651857]
[paragraph, [45.0, 166.0, 811.0, 18.0], shoonya_1sLVO3WB0FMWSF, 5651857]
[paragraph, [45.0, 184.0, 811.0, 18.0], shoonya_1sLVO3WB0FMWSF, 5651857]
[paragraph, [60.0, 225.0, 835.0, 18.0], p8jbaecVBV, 5651857]
[paragraph, [60.0, 243.0, 835.0, 18.0], p8jbaecVBV, 5651857]
[paragraph, [60.0, 261.0, 835.0, 18.0], p8jbaecVBV, 5651857]
[paragraph, [60.0, 279.0, 835.0, 18.0], p8jbaecVBV, 5651857]
[paragraph, [60.0, 297.0, 835.0, 18.0], p8jbaecVBV, 5651857]
[paragraph, [60.0, 315.0, 835.0, 18.0], p8jbaecVBV, 5651857]
[paragraph, [60.0, 333.0, 835.0, 18.0], p8jbaecVBV, 5651857]
[paragraph, [60.0, 351.0, 835.0, 18.0], p8jbaecVBV, 5651857]
[paragraph, [60.0, 369.0, 835.0, 18.0], p8jbaecVBV, 5651857]
[paragraph, [60.0, 387.0, 835.0, 18.0], p8jbaecVBV, 5651857]
[paragraph, [60.0, 405.0, 835.0, 18.0], p8jbaecVBV, 5651857]
[paragraph, [60.0, 423.0, 835.0, 18.0], p8jbaecVBV, 5651857]
[paragraph, [70.0, 448.0, 545.0, 18.0], -oE2mqXhIx, 5651857]
[paragraph, [70.0, 466.0, 545.0, 18.0], -oE2mqXhIx, 5651857]
[paragraph, [70.0, 484.0, 545.0, 18.0], -oE2mqXhIx, 5651857]
[paragraph, [67.0, 512.0, 827.0, 18.0], shoonya_2sQ52SAOVRHGPR, 5651857]
[paragraph, [67.0, 530.0, 827.0, 18.0], shoonya_2sQ52SAOVRHGPR, 5651857]
[paragraph, [67.0, 548.0, 827.0, 18.0], shoonya_2sQ52SAOVRHGPR, 5651857]
[paragraph, [67.0, 566.0, 827.0, 18.0], shoonya_2sQ52SAOVRHGPR, 5651857]
[paragraph, [67.0, 584.0, 827.0, 18.0], shoonya_2sQ52SAOVRHGPR, 5651857]
[paragraph, [67.0, 602.0, 827.0, 18.0], shoonya_2sQ52SAOVRHGPR, 5651857]
[paragraph, [67.0, 620.0, 827.0, 18.0], shoonya_2sQ52SAOVRHGPR, 5651857]
[paragraph, [67.0, 638.0, 827.0, 18.0], shoonya_2sQ52SAOVRHGPR, 5651857]
[paragraph, [67.0, 656.0, 827.0, 18.0], shoonya_2sQ52SAOVRHGPR, 5651857]
[paragraph, [67.0, 674.0, 827.0, 18.0], shoonya_2sQ52SAOVRHGPR, 5651857]
[paragraph, [67.0, 692.0, 827.0, 18.0], shoonya_2sQ52SAOVRHGPR, 5651857]
[paragraph, [71.0, 714.0, 778.0, 18.0], shoonya_0sJP87WU381NPX, 5651857]
[paragraph, [71.0, 732.0, 778.0, 18.0], shoonya_0sJP87WU381NPX, 5651857]
[paragraph, [71.0, 750.0, 778.0, 18.0], shoonya_0sJP87WU381NPX, 5651857]
[paragraph, [71.0, 768.0, 778.0, 18.0], shoonya_0sJP87WU381NPX, 5651857]
[paragraph, [71.0, 786.0, 778.0, 18.0], shoonya_0sJP87WU381NPX, 5651857]
[paragraph, [71.0, 804.0, 778.0, 18.0], shoonya_0sJP87WU381NPX, 5651857]
[paragraph, [71.0, 822.0, 778.0, 18.0], shoonya_0sJP87WU381NPX, 5651857]
[paragraph, [32.0, 839.0, 867.0, 18.0], 0R8vEzP8Rd, 5651857]
[paragraph, [32.0, 857.0, 867.0, 18.0], 0R8vEzP8Rd, 5651857]
[paragraph, [32.0, 875.0, 867.0, 18.0], 0R8vEzP8Rd, 5651857]
[paragraph, [32.0, 893.0, 867.0, 18.0], 0R8vEzP8Rd, 5651857]
[paragraph, [32.0, 911.0, 867.0, 18.0], 0R8vEzP8Rd, 5651857]
[paragraph, [32.0, 929.0, 867.0, 18.0], 0R8vEzP8Rd, 5651857]
[paragraph, [32.0, 947.0, 867.0, 18.0], 0R8vEzP8Rd, 5651857]
[paragraph, [32.0, 965.0, 867.0, 18.0], 0R8vEzP8Rd, 5651857]
[paragraph, [32.0, 983.0, 867.0, 18.0], 0R8vEzP8Rd, 5651857]
[paragraph, [32.0, 1001.0, 867.0, 18.0], 0R8vEzP8Rd, 5651857]
