[517, 335]
[paragraph, [35.0, 55.0, 291.0, 18.0], shoonya_0sOI1MC273TPH2, 6533272]
[paragraph, [35.0, 73.0, 291.0, 18.0], shoonya_0sOI1MC273TPH2, 6533272]
[paragraph, [35.0, 91.0, 291.0, 18.0], shoonya_0sOI1MC273TPH2, 6533272]
[paragraph, [35.0, 109.0, 291.0, 18.0], shoonya_0sOI1MC273TPH2, 6533272]
[paragraph, [35.0, 127.0, 291.0, 18.0], shoonya_0sOI1MC273TPH2, 6533272]
[paragraph, [35.0, 145.0, 291.0, 18.0], shoonya_0sOI1MC273TPH2, 6533272]
[paragraph, [35.0, 163.0, 291.0, 18.0], shoonya_0sOI1MC273TPH2, 6533272]
[paragraph, [35.0, 181.0, 291.0, 18.0], shoonya_0sOI1MC273TPH2, 6533272]
[paragraph, [35.0, 199.0, 291.0, 18.0], shoonya_0sOI1MC273TPH2, 6533272]
[paragraph, [35.0, 217.0, 291.0, 18.0], shoonya_0sOI1MC273TPH2, 6533272]
[paragraph, [35.0, 235.0, 291.0, 18.0], shoonya_0sOI1MC273TPH2, 6533272]
[paragraph, [35.0, 253.0, 291.0, 18.0], shoonya_0sOI1MC273TPH2, 6533272]
[paragraph, [32.0, 280.0, 296.0, 18.0], ly3oMxng6w, 6533272]
[paragraph, [32.0, 298.0, 296.0, 18.0], ly3oMxng6w, 6533272]
[paragraph, [32.0, 316.0, 296.0, 18.0], ly3oMxng6w, 6533272]
[paragraph, [32.0, 334.0, 296.0, 18.0], ly3oMxng6w, 6533272]
[paragraph, [32.0, 352.0, 296.0, 18.0], ly3oMxng6w, 6533272]
[paragraph, [32.0, 370.0, 296.0, 18.0], ly3oMxng6w, 6533272]
[paragraph, [32.0, 388.0, 296.0, 18.0], ly3oMxng6w, 6533272]
[paragraph, [32.0, 406.0, 296.0, 18.0], ly3oMxng6w, 6533272]
[paragraph, [32.0, 424.0, 296.0, 18.0], ly3oMxng6w, 6533272]
[paragraph, [32.0, 442.0, 296.0, 18.0], ly3oMxng6w, 6533272]
