[1299, 3366]
[paragraph, [2615.0, 18.0, 629.0, 18.0], shoonya_0sOM0LT28WOA8O, 5726501]
[paragraph, [2615.0, 36.0, 629.0, 18.0], shoonya_0sOM0LT28WOA8O, 5726501]
[paragraph, [2615.0, 54.0, 629.0, 18.0], shoonya_0sOM0LT28WOA8O, 5726501]
[paragraph, [2615.0, 72.0, 629.0, 18.0], shoonya_0sOM0LT28WOA8O, 5726501]
[paragraph, [2615.0, 90.0, 629.0, 18.0], shoonya_0sOM0LT28WOA8O, 5726501]
[paragraph, [2615.0, 108.0, 629.0, 18.0], shoonya_0sOM0LT28WOA8O, 5726501]
[paragraph, [2615.0, 126.0, 629.0, 18.0], shoonya_0sOM0LT28WOA8O, 5726501]
[paragraph, [2615.0, 144.0, 629.0, 18.0], shoonya_0sOM0LT28WOA8O, 5726501]
[paragraph, [2615.0, 162.0, 629.0, 18.0], shoonya_0sOM0LT28WOA8O, 5726501]
[paragraph, [2615.0, 180.0, 629.0, 18.0], shoonya_0sOM0LT28WOA8O, 5726501]
[paragraph, [2615.0, 198.0, 629.0, 18.0], shoonya_0sOM0LT28WOA8O, 5726501]
[paragraph, [2615.0, 216.0, 629.0, 18.0], shoonya_0sOM0LT28WOA8O, 5726501]
[paragraph, [2615.0, 234.0, 629.0, 18.0], shoonya_0sOM0LT28WOA8O, 5726501]
[paragraph, [2615.0, 252.0, 629.0, 18.0], shoonya_0sOM0LT28WOA8O, 5726501]
[paragraph, [1848.0, 58.0, 386.0, 18.0], lWrNSkExIp, 5726501]
[paragraph, [1848.0, 76.0, 386.0, 18.0], lWrNSkExIp, 5726501]
[paragraph, [1848.0, 94.0, 386.0, 18.0], lWrNSkExIp, 5726501]
[paragraph, [1848.0, 112.0, 386.0, 18.0], lWrNSkExIp, 5726501]
[paragraph, [1848.0, 130.0, 386.0, 18.0], lWrNSkExIp, 5726501]
[paragraph, [1848.0, 148.0, 386.0, 18.0], lWrNSkExIp, 5726501]
[paragraph, [1848.0, 166.0, 386.0, 18.0], lWrNSkExIp, 5726501]
[paragraph, [1848.0, 184.0, 386.0, 18.0], lWrNSkExIp, 5726501]
[paragraph, [1848.0, 202.0, 386.0, 18.0], lWrNSkExIp, 5726501]
[paragraph, [1848.0, 220.0, 386.0, 18.0], lWrNSkExIp, 5726501]
[paragraph, [441.0, 121.0, 411.0, 18.0], RpYExHlYk2, 5726501]
[paragraph, [441.0, 139.0, 411.0, 18.0], RpYExHlYk2, 5726501]
[paragraph, [441.0, 157.0, 411.0, 18.0], RpYExHlYk2, 5726501]
[paragraph, [441.0, 175.0, 411.0, 18.0], RpYExHlYk2, 5726501]
[paragraph, [441.0, 193.0, 411.0, 18.0], RpYExHlYk2, 5726501]
[paragraph, [441.0, 211.0, 411.0, 18.0], RpYExHlYk2, 5726501]
[paragraph, [441.0, 229.0, 411.0, 18.0], RpYExHlYk2, 5726501]
[paragraph, [441.0, 247.0, 411.0, 18.0], RpYExHlYk2, 5726501]
[paragraph, [441.0, 265.0, 411.0, 18.0], RpYExHlYk2, 5726501]
[paragraph, [441.0, 283.0, 411.0, 18.0], RpYExHlYk2, 5726501]
[paragraph, [441.0, 301.0, 411.0, 18.0], RpYExHlYk2, 5726501]
[paragraph, [441.0, 319.0, 411.0, 18.0], RpYExHlYk2, 5726501]
[paragraph, [2195.0, 247.0, 382.0, 18.0], vgXlTSU9il, 5726501]
[paragraph, [2195.0, 265.0, 382.0, 18.0], vgXlTSU9il, 5726501]
[paragraph, [2195.0, 283.0, 382.0, 18.0], vgXlTSU9il, 5726501]
[paragraph, [2195.0, 301.0, 382.0, 18.0], vgXlTSU9il, 5726501]
[paragraph, [2195.0, 319.0, 382.0, 18.0], vgXlTSU9il, 5726501]
[paragraph, [2195.0, 337.0, 382.0, 18.0], vgXlTSU9il, 5726501]
[paragraph, [2195.0, 355.0, 382.0, 18.0], vgXlTSU9il, 5726501]
[paragraph, [2195.0, 373.0, 382.0, 18.0], vgXlTSU9il, 5726501]
[paragraph, [2195.0, 391.0, 382.0, 18.0], vgXlTSU9il, 5726501]
[paragraph, [2195.0, 409.0, 382.0, 18.0], vgXlTSU9il, 5726501]
[paragraph, [2195.0, 427.0, 382.0, 18.0], vgXlTSU9il, 5726501]
[paragraph, [1151.0, 298.0, 407.0, 18.0], edxCQnI8_R, 5726501]
[paragraph, [1151.0, 316.0, 407.0, 18.0], edxCQnI8_R, 5726501]
[paragraph, [1151.0, 334.0, 407.0, 18.0], edxCQnI8_R, 5726501]
[paragraph, [1151.0, 352.0, 407.0, 18.0], edxCQnI8_R, 5726501]
[paragraph, [1151.0, 370.0, 407.0, 18.0], edxCQnI8_R, 5726501]
[paragraph, [1151.0, 388.0, 407.0, 18.0], edxCQnI8_R, 5726501]
[paragraph, [1151.0, 406.0, 407.0, 18.0], edxCQnI8_R, 5726501]
[paragraph, [1151.0, 424.0, 407.0, 18.0], edxCQnI8_R, 5726501]
[paragraph, [1151.0, 442.0, 407.0, 18.0], edxCQnI8_R, 5726501]
[paragraph, [1151.0, 460.0, 407.0, 18.0], edxCQnI8_R, 5726501]
[paragraph, [1151.0, 478.0, 407.0, 18.0], edxCQnI8_R, 5726501]
