[1241, 798]
[folio, [572.0, 65.0, 132.0, 18.0], shoonya_4sQYWGR6DN3RWX, 5702347]
[paragraph, [83.0, 109.0, 628.0, 18.0], shoonya_2sDFSS8RWBGLUX, 5702347]
[paragraph, [83.0, 127.0, 628.0, 18.0], shoonya_2sDFSS8RWBGLUX, 5702347]
[paragraph, [83.0, 145.0, 628.0, 18.0], shoonya_2sDFSS8RWBGLUX, 5702347]
[paragraph, [83.0, 163.0, 628.0, 18.0], shoonya_2sDFSS8RWBGLUX, 5702347]
[paragraph, [83.0, 181.0, 628.0, 18.0], shoonya_2sDFSS8RWBGLUX, 5702347]
[paragraph, [83.0, 199.0, 628.0, 18.0], shoonya_2sDFSS8RWBGLUX, 5702347]
[paragraph, [83.0, 217.0, 628.0, 18.0], shoonya_2sDFSS8RWBGLUX, 5702347]
[paragraph, [83.0, 235.0, 628.0, 18.0], shoonya_2sDFSS8RWBGLUX, 5702347]
[paragraph, [83.0, 253.0, 628.0, 18.0], shoonya_2sDFSS8RWBGLUX, 5702347]
[paragraph, [83.0, 271.0, 628.0, 18.0], shoonya_2sDFSS8RWBGLUX, 5702347]
[paragraph, [83.0, 289.0, 628.0, 18.0], shoonya_2sDFSS8RWBGLUX, 5702347]
[paragraph, [83.0, 307.0, 628.0, 18.0], shoonya_2sDFSS8RWBGLUX, 5702347]
[paragraph, [83.0, 325.0, 628.0, 18.0], shoonya_2sDFSS8RWBGLUX, 5702347]
[paragraph, [84.0, 376.0, 621.0, 18.0], shoonya_5sPBT2EVP0L9OK, 5702347]
[paragraph, [84.0, 394.0, 621.0, 18.0], shoonya_5sPBT2EVP0L9OK, 5702347]
[paragraph, [84.0, 412.0, 621.0, 18.0], shoonya_5sPBT2EVP0L9OK, 5702347]
[paragraph, [84.0, 430.0, 621.0, 18.0], shoonya_5sPBT2EVP0L9OK, 5702347]
[paragraph, [84.0, 448.0, 621.0, 18.0], shoonya_5sPBT2EVP0L9OK, 5702347]
[paragraph, [84.0, 466.0, 621.0, 18.0], shoonya_5sPBT2EVP0L9OK, 5702347]
[paragraph, [84.0, 484.0, 621.0, 18.0], shoonya_5sPBT2EVP0L9OK, 5702347]
[paragraph, [84.0, 502.0, 621.0, 18.0], shoonya_5sPBT2EVP0L9OK, 5702347]
[paragraph, [84.0, 520.0, 621.0, 18.0], shoonya_5sPBT2EVP0L9OK, 5702347]
[paragraph, [84.0, 538.0, 621.0, 18.0], shoonya_5sPBT2EVP0L9OK, 5702347]
[paragraph, [85.0, 569.0, 620.0, 18.0], shoonya_0sDVB3GJFM0ZJT, 5702347]
[paragraph, [85.0, 587.0, 620.0, 18.0], shoonya_0sDVB3GJFM0ZJT, 5702347]
[paragraph, [85.0, 605.0, 620.0, 18.0], shoonya_0sDVB3GJFM0ZJT, 5702347]
[paragraph, [85.0, 623.0, 620.0, 18.0], shoonya_0sDVB3GJFM0ZJT, 5702347]
[paragraph, [85.0, 641.0, 620.0, 18.0], shoonya_0sDVB3GJFM0ZJT, 5702347]
[paragraph, [85.0, 659.0, 620.0, 18.0], shoonya_0sDVB3GJFM0ZJT, 5702347]
[paragraph, [85.0, 677.0, 620.0, 18.0], shoonya_0sDVB3GJFM0ZJT, 5702347]
[paragraph, [85.0, 695.0, 620.0, 18.0], shoonya_0sDVB3GJFM0ZJT, 5702347]
[paragraph, [85.0, 713.0, 620.0, 18.0], shoonya_0sDVB3GJFM0ZJT, 5702347]
[paragraph, [85.0, 731.0, 620.0, 18.0], shoonya_0sDVB3GJFM0ZJT, 5702347]
[paragraph, [85.0, 749.0, 620.0, 18.0], shoonya_0sDVB3GJFM0ZJT, 5702347]
[paragraph, [85.0, 796.0, 619.0, 18.0], shoonya_1sG0W92WIZR2WB, 5702347]
[paragraph, [85.0, 814.0, 619.0, 18.0], shoonya_1sG0W92WIZR2WB, 5702347]
[paragraph, [85.0, 832.0, 619.0, 18.0], shoonya_1sG0W92WIZR2WB, 5702347]
[paragraph, [85.0, 850.0, 619.0, 18.0], shoonya_1sG0W92WIZR2WB, 5702347]
[paragraph, [85.0, 868.0, 619.0, 18.0], shoonya_1sG0W92WIZR2WB, 5702347]
[paragraph, [85.0, 886.0, 619.0, 18.0], shoonya_1sG0W92WIZR2WB, 5702347]
[paragraph, [85.0, 904.0, 619.0, 18.0], shoonya_1sG0W92WIZR2WB, 5702347]
[paragraph, [85.0, 922.0, 619.0, 18.0], shoonya_1sG0W92WIZR2WB, 5702347]
[paragraph, [85.0, 940.0, 619.0, 18.0], shoonya_1sG0W92WIZR2WB, 5702347]
[paragraph, [85.0, 958.0, 619.0, 18.0], shoonya_1sG0W92WIZR2WB, 5702347]
[paragraph, [85.0, 976.0, 619.0, 18.0], shoonya_1sG0W92WIZR2WB, 5702347]
[paragraph, [85.0, 994.0, 619.0, 18.0], shoonya_1sG0W92WIZR2WB, 5702347]
