[2338, 1654]
[paragraph, [267.0, 235.0, 1200.0, 36.0], shoonya_2sA66F27LP3A50, 5753889]
[paragraph, [267.0, 271.0, 1200.0, 36.0], shoonya_2sA66F27LP3A50, 5753889]
[paragraph, [267.0, 307.0, 1200.0, 36.0], shoonya_2sA66F27LP3A50, 5753889]
[paragraph, [267.0, 343.0, 1200.0, 36.0], shoonya_2sA66F27LP3A50, 5753889]
[paragraph, [266.0, 409.0, 1197.0, 36.0], shoonya_1s93U35PTYU9SG, 5753889]
[paragraph, [266.0, 445.0, 1197.0, 36.0], shoonya_1s93U35PTYU9SG, 5753889]
[paragraph, [266.0, 481.0, 1197.0, 36.0], shoonya_1s93U35PTYU9SG, 5753889]
[paragraph, [266.0, 517.0, 1197.0, 36.0], shoonya_1s93U35PTYU9SG, 5753889]
[paragraph, [266.0, 553.0, 1197.0, 36.0], shoonya_1s93U35PTYU9SG, 5753889]
[paragraph, [266.0, 589.0, 1197.0, 36.0], shoonya_1s93U35PTYU9SG, 5753889]
[paragraph, [266.0, 625.0, 1197.0, 36.0], shoonya_1s93U35PTYU9SG, 5753889]
[paragraph, [266.0, 661.0, 1197.0, 36.0], shoonya_1s93U35PTYU9SG, 5753889]
[paragraph, [266.0, 697.0, 1197.0, 36.0], shoonya_1s93U35PTYU9SG, 5753889]
[paragraph, [266.0, 733.0, 1197.0, 36.0], shoonya_1s93U35PTYU9SG, 5753889]
[paragraph, [266.0, 769.0, 1197.0, 36.0], shoonya_1s93U35PTYU9SG, 5753889]
[paragraph, [266.0, 805.0, 1197.0, 36.0], shoonya_1s93U35PTYU9SG, 5753889]
[paragraph, [266.0, 841.0, 1197.0, 36.0], shoonya_1s93U35PTYU9SG, 5753889]
[paragraph, [266.0, 877.0, 1197.0, 36.0], shoonya_1s93U35PTYU9SG, 5753889]
[paragraph, [266.0, 913.0, 1197.0, 36.0], shoonya_1s93U35PTYU9SG, 5753889]
[paragraph, [266.0, 949.0, 1197.0, 36.0], shoonya_1s93U35PTYU9SG, 5753889]
[paragraph, [266.0, 985.0, 1197.0, 36.0], shoonya_1s93U35PTYU9SG, 5753889]
[paragraph, [266.0, 1021.0, 1197.0, 36.0], shoonya_1s93U35PTYU9SG, 5753889]
[paragraph, [266.0, 1057.0, 1197.0, 36.0], shoonya_1s93U35PTYU9SG, 5753889]
[paragraph, [266.0, 1093.0, 1197.0, 36.0], shoonya_1s93U35PTYU9SG, 5753889]
[paragraph, [266.0, 1129.0, 1197.0, 36.0], shoonya_1s93U35PTYU9SG, 5753889]
[paragraph, [266.0, 1165.0, 1197.0, 36.0], shoonya_1s93U35PTYU9SG, 5753889]
[paragraph, [266.0, 1201.0, 1197.0, 36.0], shoonya_1s93U35PTYU9SG, 5753889]
[paragraph, [266.0, 1265.0, 1206.0, 36.0], shoonya_0s2D5GB7P70U8F, 5753889]
[paragraph, [266.0, 1301.0, 1206.0, 36.0], shoonya_0s2D5GB7P70U8F, 5753889]
[paragraph, [266.0, 1337.0, 1206.0, 36.0], shoonya_0s2D5GB7P70U8F, 5753889]
[paragraph, [266.0, 1373.0, 1206.0, 36.0], shoonya_0s2D5GB7P70U8F, 5753889]
[paragraph, [266.0, 1409.0, 1206.0, 36.0], shoonya_0s2D5GB7P70U8F, 5753889]
[paragraph, [266.0, 1445.0, 1206.0, 36.0], shoonya_0s2D5GB7P70U8F, 5753889]
[paragraph, [266.0, 1481.0, 1206.0, 36.0], shoonya_0s2D5GB7P70U8F, 5753889]
[paragraph, [266.0, 1517.0, 1206.0, 36.0], shoonya_0s2D5GB7P70U8F, 5753889]
[paragraph, [266.0, 1553.0, 1206.0, 36.0], shoonya_0s2D5GB7P70U8F, 5753889]
[paragraph, [266.0, 1589.0, 1206.0, 36.0], shoonya_0s2D5GB7P70U8F, 5753889]
[paragraph, [266.0, 1625.0, 1206.0, 36.0], shoonya_0s2D5GB7P70U8F, 5753889]
[paragraph, [266.0, 1661.0, 1206.0, 36.0], shoonya_0s2D5GB7P70U8F, 5753889]
[paragraph, [266.0, 1697.0, 1206.0, 36.0], shoonya_0s2D5GB7P70U8F, 5753889]
[paragraph, [266.0, 1733.0, 1206.0, 36.0], shoonya_0s2D5GB7P70U8F, 5753889]
[paragraph, [266.0, 1769.0, 1206.0, 36.0], shoonya_0s2D5GB7P70U8F, 5753889]
[paragraph, [266.0, 1805.0, 1206.0, 36.0], shoonya_0s2D5GB7P70U8F, 5753889]
[paragraph, [266.0, 1841.0, 1206.0, 36.0], shoonya_0s2D5GB7P70U8F, 5753889]
[paragraph, [266.0, 1877.0, 1206.0, 36.0], shoonya_0s2D5GB7P70U8F, 5753889]
