[1601, 1158]
[headline, [387.0, 1052.0, 641.0, 37.5], 6EET3QjB9D, 5695671]
[headline, [387.0, 1089.5, 641.0, 37.5], 6EET3QjB9D, 5695671]
[headline, [387.0, 1127.0, 641.0, 37.5], 6EET3QjB9D, 5695671]
[headline, [387.0, 1164.5, 641.0, 37.5], 6EET3QjB9D, 5695671]
[headline, [387.0, 1202.0, 641.0, 37.5], 6EET3QjB9D, 5695671]
[headline, [387.0, 1239.5, 641.0, 37.5], 6EET3QjB9D, 5695671]
[headline, [387.0, 1277.0, 641.0, 37.5], 6EET3QjB9D, 5695671]
[headline, [387.0, 1314.5, 641.0, 37.5], 6EET3QjB9D, 5695671]
[headline, [387.0, 1352.0, 641.0, 37.5], 6EET3QjB9D, 5695671]
[headline, [387.0, 1389.5, 641.0, 37.5], 6EET3QjB9D, 5695671]
[headline, [387.0, 1427.0, 641.0, 37.5], 6EET3QjB9D, 5695671]
