[1754, 1241]
[paragraph, [213.0, 146.0, 894.0, 36.0], shoonya_1sXKYUWTZU7ND8, 6470343]
[paragraph, [213.0, 182.0, 894.0, 36.0], shoonya_1sXKYUWTZU7ND8, 6470343]
[paragraph, [213.0, 218.0, 894.0, 36.0], shoonya_1sXKYUWTZU7ND8, 6470343]
[paragraph, [213.0, 254.0, 894.0, 36.0], shoonya_1sXKYUWTZU7ND8, 6470343]
[paragraph, [213.0, 290.0, 894.0, 36.0], shoonya_1sXKYUWTZU7ND8, 6470343]
[paragraph, [213.0, 326.0, 894.0, 36.0], shoonya_1sXKYUWTZU7ND8, 6470343]
[paragraph, [213.0, 362.0, 894.0, 36.0], shoonya_1sXKYUWTZU7ND8, 6470343]
[paragraph, [213.0, 398.0, 894.0, 36.0], shoonya_1sXKYUWTZU7ND8, 6470343]
[paragraph, [213.0, 434.0, 894.0, 36.0], shoonya_1sXKYUWTZU7ND8, 6470343]
[paragraph, [213.0, 470.0, 894.0, 36.0], shoonya_1sXKYUWTZU7ND8, 6470343]
[paragraph, [213.0, 506.0, 894.0, 36.0], shoonya_1sXKYUWTZU7ND8, 6470343]
[paragraph, [212.0, 692.0, 887.0, 36.0], shoonya_0sU1HZ5XG4NJ5I, 6470343]
[paragraph, [212.0, 728.0, 887.0, 36.0], shoonya_0sU1HZ5XG4NJ5I, 6470343]
[paragraph, [212.0, 764.0, 887.0, 36.0], shoonya_0sU1HZ5XG4NJ5I, 6470343]
[paragraph, [212.0, 800.0, 887.0, 36.0], shoonya_0sU1HZ5XG4NJ5I, 6470343]
[paragraph, [212.0, 836.0, 887.0, 36.0], shoonya_0sU1HZ5XG4NJ5I, 6470343]
[paragraph, [212.0, 872.0, 887.0, 36.0], shoonya_0sU1HZ5XG4NJ5I, 6470343]
[paragraph, [212.0, 908.0, 887.0, 36.0], shoonya_0sU1HZ5XG4NJ5I, 6470343]
[paragraph, [212.0, 944.0, 887.0, 36.0], shoonya_0sU1HZ5XG4NJ5I, 6470343]
[paragraph, [206.0, 1022.0, 906.0, 36.0], B80JclwWlf, 6470343]
[paragraph, [206.0, 1058.0, 906.0, 36.0], B80JclwWlf, 6470343]
[paragraph, [206.0, 1094.0, 906.0, 36.0], B80JclwWlf, 6470343]
[paragraph, [206.0, 1130.0, 906.0, 36.0], B80JclwWlf, 6470343]
[paragraph, [206.0, 1166.0, 906.0, 36.0], B80JclwWlf, 6470343]
[paragraph, [206.0, 1202.0, 906.0, 36.0], B80JclwWlf, 6470343]
[paragraph, [206.0, 1238.0, 906.0, 36.0], B80JclwWlf, 6470343]
[paragraph, [206.0, 1274.0, 906.0, 36.0], B80JclwWlf, 6470343]
[paragraph, [206.0, 1310.0, 906.0, 36.0], B80JclwWlf, 6470343]
[paragraph, [206.0, 1346.0, 906.0, 36.0], B80JclwWlf, 6470343]
[paragraph, [206.0, 1382.0, 906.0, 36.0], B80JclwWlf, 6470343]
[paragraph, [206.0, 1418.0, 906.0, 36.0], B80JclwWlf, 6470343]
[paragraph, [206.0, 1454.0, 906.0, 36.0], B80JclwWlf, 6470343]
[paragraph, [206.0, 1490.0, 906.0, 36.0], B80JclwWlf, 6470343]
[paragraph, [206.0, 1526.0, 906.0, 36.0], B80JclwWlf, 6470343]
