[2339, 1654]
[ordered-list, [190.0, 250.0, 440.0, 36.0], kP61ewHEg_, 5686442]
[ordered-list, [190.0, 286.0, 440.0, 36.0], kP61ewHEg_, 5686442]
[ordered-list, [190.0, 322.0, 440.0, 36.0], kP61ewHEg_, 5686442]
[ordered-list, [190.0, 358.0, 440.0, 36.0], kP61ewHEg_, 5686442]
[ordered-list, [190.0, 394.0, 440.0, 36.0], kP61ewHEg_, 5686442]
[paragraph, [184.0, 499.0, 1274.0, 36.0], shoonya_4sICXX44MQTETA, 5686442]
[paragraph, [184.0, 535.0, 1274.0, 36.0], shoonya_4sICXX44MQTETA, 5686442]
[paragraph, [184.0, 571.0, 1274.0, 36.0], shoonya_4sICXX44MQTETA, 5686442]
[paragraph, [184.0, 607.0, 1274.0, 36.0], shoonya_4sICXX44MQTETA, 5686442]
[paragraph, [191.0, 719.0, 1269.0, 36.0], shoonya_3sRFNIZ538ATRU, 5686442]
[paragraph, [191.0, 755.0, 1269.0, 36.0], shoonya_3sRFNIZ538ATRU, 5686442]
[paragraph, [191.0, 791.0, 1269.0, 36.0], shoonya_3sRFNIZ538ATRU, 5686442]
[paragraph, [191.0, 827.0, 1269.0, 36.0], shoonya_3sRFNIZ538ATRU, 5686442]
[paragraph, [181.0, 945.0, 1282.0, 36.0], shoonya_0s3O2ZQ1IXXXWO, 5686442]
[paragraph, [181.0, 981.0, 1282.0, 36.0], shoonya_0s3O2ZQ1IXXXWO, 5686442]
[paragraph, [181.0, 1017.0, 1282.0, 36.0], shoonya_0s3O2ZQ1IXXXWO, 5686442]
[paragraph, [181.0, 1053.0, 1282.0, 36.0], shoonya_0s3O2ZQ1IXXXWO, 5686442]
[paragraph, [181.0, 1089.0, 1282.0, 36.0], shoonya_0s3O2ZQ1IXXXWO, 5686442]
[paragraph, [181.0, 1125.0, 1282.0, 36.0], shoonya_0s3O2ZQ1IXXXWO, 5686442]
[paragraph, [181.0, 1161.0, 1282.0, 36.0], shoonya_0s3O2ZQ1IXXXWO, 5686442]
[paragraph, [181.0, 1197.0, 1282.0, 36.0], shoonya_0s3O2ZQ1IXXXWO, 5686442]
[paragraph, [181.0, 1233.0, 1282.0, 36.0], shoonya_0s3O2ZQ1IXXXWO, 5686442]
[paragraph, [181.0, 1269.0, 1282.0, 36.0], shoonya_0s3O2ZQ1IXXXWO, 5686442]
[paragraph, [181.0, 1305.0, 1282.0, 36.0], shoonya_0s3O2ZQ1IXXXWO, 5686442]
[paragraph, [181.0, 1341.0, 1282.0, 36.0], shoonya_0s3O2ZQ1IXXXWO, 5686442]
[paragraph, [181.0, 1377.0, 1282.0, 36.0], shoonya_0s3O2ZQ1IXXXWO, 5686442]
[paragraph, [181.0, 1413.0, 1282.0, 36.0], shoonya_0s3O2ZQ1IXXXWO, 5686442]
[paragraph, [181.0, 1449.0, 1282.0, 36.0], shoonya_0s3O2ZQ1IXXXWO, 5686442]
[paragraph, [181.0, 1485.0, 1282.0, 36.0], shoonya_0s3O2ZQ1IXXXWO, 5686442]
[paragraph, [181.0, 1521.0, 1282.0, 36.0], shoonya_0s3O2ZQ1IXXXWO, 5686442]
[paragraph, [181.0, 1557.0, 1282.0, 36.0], shoonya_0s3O2ZQ1IXXXWO, 5686442]
[paragraph, [181.0, 1593.0, 1282.0, 36.0], shoonya_0s3O2ZQ1IXXXWO, 5686442]
[paragraph, [181.0, 1629.0, 1282.0, 36.0], shoonya_0s3O2ZQ1IXXXWO, 5686442]
[reference, [193.0, 1911.0, 696.0, 36.0], shoonya_2sGDI8CL5M2TXN, 5686442]
[reference, [193.0, 1947.0, 696.0, 36.0], shoonya_2sGDI8CL5M2TXN, 5686442]
[reference, [193.0, 1983.0, 696.0, 36.0], shoonya_2sGDI8CL5M2TXN, 5686442]
[reference, [193.0, 2019.0, 696.0, 36.0], shoonya_2sGDI8CL5M2TXN, 5686442]
