[1164, 755]
[paragraph, [238.0, 86.0, 278.0, 18.0], jk1ovlOkkg, 5692385]
[paragraph, [238.0, 104.0, 278.0, 18.0], jk1ovlOkkg, 5692385]
[paragraph, [238.0, 122.0, 278.0, 18.0], jk1ovlOkkg, 5692385]
[paragraph, [97.0, 161.0, 428.0, 18.0], XA_7jsauNF, 5692385]
[paragraph, [97.0, 179.0, 428.0, 18.0], XA_7jsauNF, 5692385]
[paragraph, [100.0, 199.0, 308.0, 18.0], ed7yDJ3Za3, 5692385]
[paragraph, [100.0, 236.0, 258.0, 18.0], 6nbSMuaxRZ, 5692385]
[paragraph, [65.0, 269.0, 617.0, 18.0], shoonya_0sBNPU6C0UX08K, 5692385]
[paragraph, [65.0, 287.0, 617.0, 18.0], shoonya_0sBNPU6C0UX08K, 5692385]
[paragraph, [65.0, 305.0, 617.0, 18.0], shoonya_0sBNPU6C0UX08K, 5692385]
[paragraph, [65.0, 323.0, 617.0, 18.0], shoonya_0sBNPU6C0UX08K, 5692385]
[paragraph, [65.0, 341.0, 617.0, 18.0], shoonya_0sBNPU6C0UX08K, 5692385]
[paragraph, [65.0, 359.0, 617.0, 18.0], shoonya_0sBNPU6C0UX08K, 5692385]
[paragraph, [65.0, 377.0, 617.0, 18.0], shoonya_0sBNPU6C0UX08K, 5692385]
[paragraph, [65.0, 395.0, 617.0, 18.0], shoonya_0sBNPU6C0UX08K, 5692385]
[paragraph, [65.0, 413.0, 617.0, 18.0], shoonya_0sBNPU6C0UX08K, 5692385]
[paragraph, [65.0, 431.0, 617.0, 18.0], shoonya_0sBNPU6C0UX08K, 5692385]
[paragraph, [65.0, 449.0, 617.0, 18.0], shoonya_0sBNPU6C0UX08K, 5692385]
[paragraph, [65.0, 467.0, 617.0, 18.0], shoonya_0sBNPU6C0UX08K, 5692385]
[paragraph, [65.0, 485.0, 617.0, 18.0], shoonya_0sBNPU6C0UX08K, 5692385]
[paragraph, [65.0, 503.0, 617.0, 18.0], shoonya_0sBNPU6C0UX08K, 5692385]
[paragraph, [65.0, 521.0, 617.0, 18.0], shoonya_0sBNPU6C0UX08K, 5692385]
[paragraph, [65.0, 539.0, 617.0, 18.0], shoonya_0sBNPU6C0UX08K, 5692385]
[paragraph, [65.0, 557.0, 617.0, 18.0], shoonya_0sBNPU6C0UX08K, 5692385]
[paragraph, [65.0, 575.0, 617.0, 18.0], shoonya_0sBNPU6C0UX08K, 5692385]
[paragraph, [65.0, 593.0, 617.0, 18.0], shoonya_0sBNPU6C0UX08K, 5692385]
[paragraph, [65.0, 611.0, 617.0, 18.0], shoonya_0sBNPU6C0UX08K, 5692385]
[paragraph, [65.0, 629.0, 617.0, 18.0], shoonya_0sBNPU6C0UX08K, 5692385]
[paragraph, [65.0, 647.0, 617.0, 18.0], shoonya_0sBNPU6C0UX08K, 5692385]
[paragraph, [65.0, 665.0, 617.0, 18.0], shoonya_0sBNPU6C0UX08K, 5692385]
[paragraph, [65.0, 683.0, 617.0, 18.0], shoonya_0sBNPU6C0UX08K, 5692385]
[paragraph, [65.0, 701.0, 617.0, 18.0], shoonya_0sBNPU6C0UX08K, 5692385]
[paragraph, [65.0, 719.0, 617.0, 18.0], shoonya_0sBNPU6C0UX08K, 5692385]
[paragraph, [65.0, 737.0, 617.0, 18.0], shoonya_0sBNPU6C0UX08K, 5692385]
[paragraph, [99.0, 766.0, 581.0, 18.0], shoonya_5s54BKPWH7SW42, 5692385]
[paragraph, [68.0, 800.0, 616.0, 18.0], shoonya_4sRZUO1RSIJN5R, 5692385]
[paragraph, [68.0, 818.0, 616.0, 18.0], shoonya_4sRZUO1RSIJN5R, 5692385]
[paragraph, [68.0, 836.0, 616.0, 18.0], shoonya_4sRZUO1RSIJN5R, 5692385]
[paragraph, [109.0, 869.0, 294.0, 18.0], shoonya_3sORQ1F5F4RVFR, 5692385]
[paragraph, [109.0, 887.0, 294.0, 18.0], shoonya_3sORQ1F5F4RVFR, 5692385]
[paragraph, [100.0, 905.0, 217.0, 18.0], shoonya_1s4I3HEDFM4US9, 5692385]
[paragraph, [107.0, 941.0, 382.0, 18.0], shoonya_6sZGMDSHMJK9MP, 5692385]
[paragraph, [107.0, 976.0, 311.0, 18.0], shoonya_7sYCNY2GYX8G6O, 5692385]
