[1275, 750]
[folio, [232.0, 78.0, 288.0, 18.0], DBsFCsXc4s, 5767170]
[folio, [232.0, 96.0, 288.0, 18.0], DBsFCsXc4s, 5767170]
[folio, [232.0, 114.0, 288.0, 18.0], DBsFCsXc4s, 5767170]
[paragraph, [79.0, 151.0, 603.0, 18.0], mL_B0_k2gE, 5767170]
[paragraph, [79.0, 169.0, 603.0, 18.0], mL_B0_k2gE, 5767170]
[paragraph, [79.0, 187.0, 603.0, 18.0], mL_B0_k2gE, 5767170]
[paragraph, [79.0, 205.0, 603.0, 18.0], mL_B0_k2gE, 5767170]
[paragraph, [79.0, 223.0, 603.0, 18.0], mL_B0_k2gE, 5767170]
[paragraph, [79.0, 241.0, 603.0, 18.0], mL_B0_k2gE, 5767170]
[paragraph, [79.0, 259.0, 603.0, 18.0], mL_B0_k2gE, 5767170]
[paragraph, [79.0, 277.0, 603.0, 18.0], mL_B0_k2gE, 5767170]
[paragraph, [79.0, 295.0, 603.0, 18.0], mL_B0_k2gE, 5767170]
[paragraph, [79.0, 313.0, 603.0, 18.0], mL_B0_k2gE, 5767170]
[paragraph, [79.0, 331.0, 603.0, 18.0], mL_B0_k2gE, 5767170]
[paragraph, [79.0, 349.0, 603.0, 18.0], mL_B0_k2gE, 5767170]
[paragraph, [79.0, 367.0, 603.0, 18.0], mL_B0_k2gE, 5767170]
[paragraph, [79.0, 385.0, 603.0, 18.0], mL_B0_k2gE, 5767170]
[section-title, [89.0, 426.0, 582.0, 30.0], ngpqad1MoK, 5767170]
[paragraph, [123.0, 498.0, 553.0, 18.0], cillovpK3A, 5767170]
[paragraph, [123.0, 516.0, 553.0, 18.0], cillovpK3A, 5767170]
[paragraph, [123.0, 534.0, 553.0, 18.0], cillovpK3A, 5767170]
[paragraph, [123.0, 552.0, 553.0, 18.0], cillovpK3A, 5767170]
[paragraph, [123.0, 570.0, 553.0, 18.0], cillovpK3A, 5767170]
[paragraph, [123.0, 588.0, 553.0, 18.0], cillovpK3A, 5767170]
[paragraph, [123.0, 606.0, 553.0, 18.0], cillovpK3A, 5767170]
[paragraph, [123.0, 624.0, 553.0, 18.0], cillovpK3A, 5767170]
[paragraph, [123.0, 642.0, 553.0, 18.0], cillovpK3A, 5767170]
[paragraph, [71.0, 660.0, 601.0, 18.0], a-qOgD18vX, 5767170]
[paragraph, [71.0, 678.0, 601.0, 18.0], a-qOgD18vX, 5767170]
[paragraph, [71.0, 696.0, 601.0, 18.0], a-qOgD18vX, 5767170]
[paragraph, [71.0, 714.0, 601.0, 18.0], a-qOgD18vX, 5767170]
[paragraph, [71.0, 732.0, 601.0, 18.0], a-qOgD18vX, 5767170]
[paragraph, [71.0, 750.0, 601.0, 18.0], a-qOgD18vX, 5767170]
[paragraph, [71.0, 768.0, 601.0, 18.0], a-qOgD18vX, 5767170]
[paragraph, [71.0, 786.0, 601.0, 18.0], a-qOgD18vX, 5767170]
[paragraph, [71.0, 804.0, 601.0, 18.0], a-qOgD18vX, 5767170]
[paragraph, [71.0, 822.0, 601.0, 18.0], a-qOgD18vX, 5767170]
[paragraph, [71.0, 840.0, 601.0, 18.0], a-qOgD18vX, 5767170]
[paragraph, [71.0, 858.0, 601.0, 18.0], a-qOgD18vX, 5767170]
[paragraph, [71.0, 876.0, 601.0, 18.0], a-qOgD18vX, 5767170]
[paragraph, [70.0, 908.0, 615.0, 18.0], shoonya_0s7XJAM3H3FMR2, 5767170]
[paragraph, [70.0, 926.0, 615.0, 18.0], shoonya_0s7XJAM3H3FMR2, 5767170]
[paragraph, [70.0, 944.0, 615.0, 18.0], shoonya_0s7XJAM3H3FMR2, 5767170]
[paragraph, [70.0, 962.0, 615.0, 18.0], shoonya_0s7XJAM3H3FMR2, 5767170]
[paragraph, [70.0, 980.0, 615.0, 18.0], shoonya_0s7XJAM3H3FMR2, 5767170]
[paragraph, [70.0, 998.0, 615.0, 18.0], shoonya_0s7XJAM3H3FMR2, 5767170]
[paragraph, [70.0, 1016.0, 615.0, 18.0], shoonya_0s7XJAM3H3FMR2, 5767170]
[paragraph, [70.0, 1034.0, 615.0, 18.0], shoonya_0s7XJAM3H3FMR2, 5767170]
[paragraph, [70.0, 1052.0, 615.0, 18.0], shoonya_0s7XJAM3H3FMR2, 5767170]
[paragraph, [70.0, 1070.0, 615.0, 18.0], shoonya_0s7XJAM3H3FMR2, 5767170]
[paragraph, [70.0, 1088.0, 615.0, 18.0], shoonya_0s7XJAM3H3FMR2, 5767170]
[paragraph, [70.0, 1106.0, 615.0, 18.0], shoonya_0s7XJAM3H3FMR2, 5767170]
[paragraph, [70.0, 1124.0, 615.0, 18.0], shoonya_0s7XJAM3H3FMR2, 5767170]
[paragraph, [70.0, 1142.0, 615.0, 18.0], shoonya_0s7XJAM3H3FMR2, 5767170]
[paragraph, [70.0, 1160.0, 615.0, 18.0], shoonya_0s7XJAM3H3FMR2, 5767170]
