[792, 612]
[figure-caption, [380.0, 34.0, 57.0, 18.0], -0CD_ltYEM, 5654417]
[chapter-title, [70.0, 86.0, 218.0, 30.0], shoonya_7sH693FGDJVDTT, 5654417]
[chapter-title, [70.0, 116.0, 218.0, 30.0], shoonya_7sH693FGDJVDTT, 5654417]
[figure-caption, [305.0, 163.0, 33.0, 18.0], Huua-wRNyX, 5654417]
[author, [67.0, 176.0, 99.0, 18.0], shoonya_6s1DLMHIDQJIB4, 5654417]
[author, [67.0, 194.0, 99.0, 18.0], shoonya_6s1DLMHIDQJIB4, 5654417]
[figure-caption, [411.0, 249.0, 34.0, 18.0], hxrr4vXRfY, 5654417]
[paragraph, [56.0, 275.0, 237.0, 18.0], shoonya_5s5SB9F7I9GLBC, 5654417]
[paragraph, [56.0, 293.0, 237.0, 18.0], shoonya_5s5SB9F7I9GLBC, 5654417]
[paragraph, [56.0, 311.0, 237.0, 18.0], shoonya_5s5SB9F7I9GLBC, 5654417]
[paragraph, [56.0, 329.0, 237.0, 18.0], shoonya_5s5SB9F7I9GLBC, 5654417]
[paragraph, [56.0, 347.0, 237.0, 18.0], shoonya_5s5SB9F7I9GLBC, 5654417]
[paragraph, [300.0, 276.0, 238.0, 18.0], shoonya_2s65TUZIUW45LE, 5654417]
[paragraph, [300.0, 294.0, 238.0, 18.0], shoonya_2s65TUZIUW45LE, 5654417]
[paragraph, [300.0, 312.0, 238.0, 18.0], shoonya_2s65TUZIUW45LE, 5654417]
[paragraph, [300.0, 330.0, 238.0, 18.0], shoonya_2s65TUZIUW45LE, 5654417]
[paragraph, [300.0, 348.0, 238.0, 18.0], shoonya_2s65TUZIUW45LE, 5654417]
[paragraph, [300.0, 366.0, 238.0, 18.0], shoonya_2s65TUZIUW45LE, 5654417]
[paragraph, [300.0, 384.0, 238.0, 18.0], shoonya_2s65TUZIUW45LE, 5654417]
[paragraph, [300.0, 402.0, 238.0, 18.0], shoonya_2s65TUZIUW45LE, 5654417]
[paragraph, [55.0, 374.0, 238.0, 18.0], shoonya_3sA702KD3WH0KY, 5654417]
[paragraph, [55.0, 392.0, 238.0, 18.0], shoonya_3sA702KD3WH0KY, 5654417]
[paragraph, [55.0, 410.0, 238.0, 18.0], shoonya_3sA702KD3WH0KY, 5654417]
[paragraph, [55.0, 428.0, 238.0, 18.0], shoonya_3sA702KD3WH0KY, 5654417]
[paragraph, [55.0, 446.0, 238.0, 18.0], shoonya_3sA702KD3WH0KY, 5654417]
[paragraph, [55.0, 464.0, 238.0, 18.0], shoonya_3sA702KD3WH0KY, 5654417]
[paragraph, [55.0, 482.0, 238.0, 18.0], shoonya_3sA702KD3WH0KY, 5654417]
[paragraph, [55.0, 500.0, 238.0, 18.0], shoonya_3sA702KD3WH0KY, 5654417]
[paragraph, [55.0, 518.0, 238.0, 18.0], shoonya_3sA702KD3WH0KY, 5654417]
[paragraph, [55.0, 536.0, 238.0, 18.0], shoonya_3sA702KD3WH0KY, 5654417]
[paragraph, [303.0, 426.0, 235.0, 18.0], shoonya_1s5JA1H42I4J3T, 5654417]
[paragraph, [303.0, 444.0, 235.0, 18.0], shoonya_1s5JA1H42I4J3T, 5654417]
[paragraph, [303.0, 462.0, 235.0, 18.0], shoonya_1s5JA1H42I4J3T, 5654417]
[paragraph, [303.0, 480.0, 235.0, 18.0], shoonya_1s5JA1H42I4J3T, 5654417]
[paragraph, [303.0, 498.0, 235.0, 18.0], shoonya_1s5JA1H42I4J3T, 5654417]
[paragraph, [303.0, 516.0, 235.0, 18.0], shoonya_1s5JA1H42I4J3T, 5654417]
[paragraph, [303.0, 534.0, 235.0, 18.0], shoonya_1s5JA1H42I4J3T, 5654417]
[paragraph, [303.0, 552.0, 235.0, 18.0], shoonya_1s5JA1H42I4J3T, 5654417]
[paragraph, [303.0, 570.0, 235.0, 18.0], shoonya_1s5JA1H42I4J3T, 5654417]
[paragraph, [303.0, 588.0, 235.0, 18.0], shoonya_1s5JA1H42I4J3T, 5654417]
[paragraph, [303.0, 606.0, 235.0, 18.0], shoonya_1s5JA1H42I4J3T, 5654417]
[paragraph, [303.0, 624.0, 235.0, 18.0], shoonya_1s5JA1H42I4J3T, 5654417]
[paragraph, [303.0, 642.0, 235.0, 18.0], shoonya_1s5JA1H42I4J3T, 5654417]
[paragraph, [303.0, 660.0, 235.0, 18.0], shoonya_1s5JA1H42I4J3T, 5654417]
[paragraph, [303.0, 678.0, 235.0, 18.0], shoonya_1s5JA1H42I4J3T, 5654417]
[paragraph, [58.0, 560.0, 233.0, 18.0], shoonya_0sTIKRAY3PDG5Z, 5654417]
[paragraph, [58.0, 578.0, 233.0, 18.0], shoonya_0sTIKRAY3PDG5Z, 5654417]
[paragraph, [58.0, 596.0, 233.0, 18.0], shoonya_0sTIKRAY3PDG5Z, 5654417]
[paragraph, [58.0, 614.0, 233.0, 18.0], shoonya_0sTIKRAY3PDG5Z, 5654417]
[paragraph, [58.0, 632.0, 233.0, 18.0], shoonya_0sTIKRAY3PDG5Z, 5654417]
[paragraph, [58.0, 650.0, 233.0, 18.0], shoonya_0sTIKRAY3PDG5Z, 5654417]
[paragraph, [58.0, 668.0, 233.0, 18.0], shoonya_0sTIKRAY3PDG5Z, 5654417]
[paragraph, [58.0, 686.0, 233.0, 18.0], shoonya_0sTIKRAY3PDG5Z, 5654417]
[folio, [58.0, 714.0, 403.0, 18.0], 2FOB0IyGcA, 5654417]
[folio, [477.0, 742.0, 62.0, 18.0], IcauViOWWx, 5654417]
