[3360, 2040]
[contact-info, [865.0, 130.0, 333.0, 52.5], shoonya_17sXFQVW6UYZ0E, 5697260]
[contact-info, [865.0, 182.5, 333.0, 52.5], shoonya_17sXFQVW6UYZ0E, 5697260]
[website-link, [913.0, 254.0, 245.0, 18.0], shoonya_22sMLN1867V0SN, 5697260]
[paragraph, [149.0, 405.0, 1771.0, 52.5], shoonya_13sPSAPN699RME, 5697260]
[paragraph, [150.0, 549.0, 1770.0, 52.5], shoonya_4sV9TD3ELYHN0L, 5697260]
[paragraph, [150.0, 601.5, 1770.0, 52.5], shoonya_4sV9TD3ELYHN0L, 5697260]
[paragraph, [148.0, 696.0, 1239.0, 52.5], shoonya_20sT6R8RG4XXO7, 5697260]
[ordered-list, [152.0, 824.0, 1768.0, 52.5], shoonya_2sJ8CESACB5T76, 5697260]
[ordered-list, [152.0, 876.5, 1768.0, 52.5], shoonya_2sJ8CESACB5T76, 5697260]
[ordered-list, [152.0, 929.0, 1768.0, 52.5], shoonya_2sJ8CESACB5T76, 5697260]
[ordered-list, [152.0, 981.5, 1768.0, 52.5], shoonya_2sJ8CESACB5T76, 5697260]
[ordered-list, [152.0, 1034.0, 1768.0, 52.5], shoonya_2sJ8CESACB5T76, 5697260]
[ordered-list, [152.0, 1086.5, 1768.0, 52.5], shoonya_2sJ8CESACB5T76, 5697260]
[ordered-list, [152.0, 1139.0, 1768.0, 52.5], shoonya_2sJ8CESACB5T76, 5697260]
[ordered-list, [152.0, 1191.5, 1768.0, 52.5], shoonya_2sJ8CESACB5T76, 5697260]
[ordered-list, [152.0, 1244.0, 1768.0, 52.5], shoonya_2sJ8CESACB5T76, 5697260]
[ordered-list, [152.0, 1296.5, 1768.0, 52.5], shoonya_2sJ8CESACB5T76, 5697260]
[ordered-list, [152.0, 1349.0, 1768.0, 52.5], shoonya_2sJ8CESACB5T76, 5697260]
[ordered-list, [152.0, 1401.5, 1768.0, 52.5], shoonya_2sJ8CESACB5T76, 5697260]
[ordered-list, [152.0, 1454.0, 1768.0, 52.5], shoonya_2sJ8CESACB5T76, 5697260]
[ordered-list, [152.0, 1506.5, 1768.0, 52.5], shoonya_2sJ8CESACB5T76, 5697260]
[ordered-list, [152.0, 1559.0, 1768.0, 52.5], shoonya_2sJ8CESACB5T76, 5697260]
[website-link, [809.0, 1696.0, 627.0, 18.0], -URmLTim6V, 5697260]
[website-link, [809.0, 1714.0, 627.0, 18.0], -URmLTim6V, 5697260]
[website-link, [809.0, 1732.0, 627.0, 18.0], -URmLTim6V, 5697260]
[contact-info, [1389.0, 1893.0, 421.0, 52.5], shoonya_16s4LUQAUQYVSU, 5697260]
[contact-info, [1389.0, 1945.5, 421.0, 52.5], shoonya_16s4LUQAUQYVSU, 5697260]
[contact-info, [1389.0, 1998.0, 421.0, 52.5], shoonya_16s4LUQAUQYVSU, 5697260]
[ordered-list, [158.0, 2133.0, 951.0, 52.5], shoonya_10sSO64QYSNJC7, 5697260]
[ordered-list, [158.0, 2185.5, 951.0, 52.5], shoonya_10sSO64QYSNJC7, 5697260]
[ordered-list, [151.0, 2259.0, 1764.0, 52.5], bp9nacP76R, 5697260]
[ordered-list, [151.0, 2311.5, 1764.0, 52.5], bp9nacP76R, 5697260]
[ordered-list, [151.0, 2364.0, 1764.0, 52.5], bp9nacP76R, 5697260]
[ordered-list, [151.0, 2416.5, 1764.0, 52.5], bp9nacP76R, 5697260]
[ordered-list, [151.0, 2469.0, 1764.0, 52.5], bp9nacP76R, 5697260]
[ordered-list, [151.0, 2521.5, 1764.0, 52.5], bp9nacP76R, 5697260]
[ordered-list, [151.0, 2574.0, 1764.0, 52.5], bp9nacP76R, 5697260]
[ordered-list, [151.0, 2626.5, 1764.0, 52.5], bp9nacP76R, 5697260]
[ordered-list, [151.0, 2679.0, 1764.0, 52.5], bp9nacP76R, 5697260]
[ordered-list, [151.0, 2731.5, 1764.0, 52.5], bp9nacP76R, 5697260]
[ordered-list, [151.0, 2784.0, 1764.0, 52.5], bp9nacP76R, 5697260]
[ordered-list, [151.0, 2836.5, 1764.0, 52.5], bp9nacP76R, 5697260]
[ordered-list, [151.0, 2889.0, 1764.0, 52.5], bp9nacP76R, 5697260]
[ordered-list, [151.0, 2941.5, 1764.0, 52.5], bp9nacP76R, 5697260]
[ordered-list, [151.0, 2994.0, 1764.0, 52.5], bp9nacP76R, 5697260]
[ordered-list, [151.0, 3046.5, 1764.0, 52.5], bp9nacP76R, 5697260]
[ordered-list, [151.0, 3099.0, 1764.0, 52.5], bp9nacP76R, 5697260]
[footnote, [145.0, 3230.0, 1238.0, 52.5], shoonya_15s1UQXKLDD5HT, 5697260]
