[1492, 1000]
[folio, [412.0, 155.0, 205.0, 18.0], shoonya_2sU69QU5PKCMA9, 5720779]
[section-title, [389.0, 275.0, 247.0, 30.0], 4sfHlYe203, 5720779]
[paragraph, [140.0, 326.0, 752.0, 18.0], shoonya_0s7PSWK366GOUL, 5720779]
[paragraph, [140.0, 344.0, 752.0, 18.0], shoonya_0s7PSWK366GOUL, 5720779]
[paragraph, [140.0, 362.0, 752.0, 18.0], shoonya_0s7PSWK366GOUL, 5720779]
[paragraph, [140.0, 380.0, 752.0, 18.0], shoonya_0s7PSWK366GOUL, 5720779]
[paragraph, [140.0, 398.0, 752.0, 18.0], shoonya_0s7PSWK366GOUL, 5720779]
[paragraph, [140.0, 416.0, 752.0, 18.0], shoonya_0s7PSWK366GOUL, 5720779]
[paragraph, [140.0, 434.0, 752.0, 18.0], shoonya_0s7PSWK366GOUL, 5720779]
[paragraph, [140.0, 452.0, 752.0, 18.0], shoonya_0s7PSWK366GOUL, 5720779]
[paragraph, [140.0, 470.0, 752.0, 18.0], shoonya_0s7PSWK366GOUL, 5720779]
[paragraph, [140.0, 488.0, 752.0, 18.0], shoonya_0s7PSWK366GOUL, 5720779]
[paragraph, [140.0, 506.0, 752.0, 18.0], shoonya_0s7PSWK366GOUL, 5720779]
[paragraph, [140.0, 524.0, 752.0, 18.0], shoonya_0s7PSWK366GOUL, 5720779]
[paragraph, [140.0, 542.0, 752.0, 18.0], shoonya_0s7PSWK366GOUL, 5720779]
[paragraph, [140.0, 560.0, 752.0, 18.0], shoonya_0s7PSWK366GOUL, 5720779]
[paragraph, [140.0, 578.0, 752.0, 18.0], shoonya_0s7PSWK366GOUL, 5720779]
[paragraph, [140.0, 596.0, 752.0, 18.0], shoonya_0s7PSWK366GOUL, 5720779]
[paragraph, [140.0, 614.0, 752.0, 18.0], shoonya_0s7PSWK366GOUL, 5720779]
[paragraph, [140.0, 632.0, 752.0, 18.0], shoonya_0s7PSWK366GOUL, 5720779]
[paragraph, [140.0, 650.0, 752.0, 18.0], shoonya_0s7PSWK366GOUL, 5720779]
[paragraph, [140.0, 668.0, 752.0, 18.0], shoonya_0s7PSWK366GOUL, 5720779]
[paragraph, [140.0, 686.0, 752.0, 18.0], shoonya_0s7PSWK366GOUL, 5720779]
[paragraph, [140.0, 704.0, 752.0, 18.0], shoonya_0s7PSWK366GOUL, 5720779]
[paragraph, [140.0, 722.0, 752.0, 18.0], shoonya_0s7PSWK366GOUL, 5720779]
[paragraph, [140.0, 740.0, 752.0, 18.0], shoonya_0s7PSWK366GOUL, 5720779]
[paragraph, [140.0, 758.0, 752.0, 18.0], shoonya_0s7PSWK366GOUL, 5720779]
[paragraph, [140.0, 776.0, 752.0, 18.0], shoonya_0s7PSWK366GOUL, 5720779]
[paragraph, [140.0, 794.0, 752.0, 18.0], shoonya_0s7PSWK366GOUL, 5720779]
[paragraph, [140.0, 812.0, 752.0, 18.0], shoonya_0s7PSWK366GOUL, 5720779]
[paragraph, [140.0, 830.0, 752.0, 18.0], shoonya_0s7PSWK366GOUL, 5720779]
[paragraph, [140.0, 848.0, 752.0, 18.0], shoonya_0s7PSWK366GOUL, 5720779]
[paragraph, [140.0, 866.0, 752.0, 18.0], shoonya_0s7PSWK366GOUL, 5720779]
[paragraph, [140.0, 884.0, 752.0, 18.0], shoonya_0s7PSWK366GOUL, 5720779]
[paragraph, [140.0, 902.0, 752.0, 18.0], shoonya_0s7PSWK366GOUL, 5720779]
[paragraph, [140.0, 920.0, 752.0, 18.0], shoonya_0s7PSWK366GOUL, 5720779]
[paragraph, [140.0, 938.0, 752.0, 18.0], shoonya_0s7PSWK366GOUL, 5720779]
[paragraph, [140.0, 956.0, 752.0, 18.0], shoonya_0s7PSWK366GOUL, 5720779]
[paragraph, [140.0, 974.0, 752.0, 18.0], shoonya_0s7PSWK366GOUL, 5720779]
[paragraph, [155.0, 998.0, 733.0, 18.0], g7wyEQ_EFn, 5720779]
[paragraph, [155.0, 1016.0, 733.0, 18.0], g7wyEQ_EFn, 5720779]
[paragraph, [155.0, 1034.0, 733.0, 18.0], g7wyEQ_EFn, 5720779]
[paragraph, [155.0, 1052.0, 733.0, 18.0], g7wyEQ_EFn, 5720779]
[paragraph, [155.0, 1070.0, 733.0, 18.0], g7wyEQ_EFn, 5720779]
[paragraph, [155.0, 1088.0, 733.0, 18.0], g7wyEQ_EFn, 5720779]
[paragraph, [155.0, 1106.0, 733.0, 18.0], g7wyEQ_EFn, 5720779]
[paragraph, [155.0, 1124.0, 733.0, 18.0], g7wyEQ_EFn, 5720779]
[paragraph, [155.0, 1142.0, 733.0, 18.0], g7wyEQ_EFn, 5720779]
[paragraph, [155.0, 1160.0, 733.0, 18.0], g7wyEQ_EFn, 5720779]
[paragraph, [155.0, 1178.0, 733.0, 18.0], g7wyEQ_EFn, 5720779]
[paragraph, [155.0, 1196.0, 733.0, 18.0], g7wyEQ_EFn, 5720779]
[paragraph, [155.0, 1214.0, 733.0, 18.0], g7wyEQ_EFn, 5720779]
[paragraph, [155.0, 1232.0, 733.0, 18.0], g7wyEQ_EFn, 5720779]
[paragraph, [155.0, 1250.0, 733.0, 18.0], g7wyEQ_EFn, 5720779]
[paragraph, [155.0, 1268.0, 733.0, 18.0], g7wyEQ_EFn, 5720779]
[paragraph, [155.0, 1286.0, 733.0, 18.0], g7wyEQ_EFn, 5720779]
