[1650, 1275]
[paragraph, [141.0, 144.0, 989.0, 36.0], shoonya_2sS4PC0RKJ0OMO, 6469444]
[paragraph, [141.0, 180.0, 989.0, 36.0], shoonya_2sS4PC0RKJ0OMO, 6469444]
[paragraph, [141.0, 216.0, 989.0, 36.0], shoonya_2sS4PC0RKJ0OMO, 6469444]
[paragraph, [141.0, 252.0, 989.0, 36.0], shoonya_2sS4PC0RKJ0OMO, 6469444]
[paragraph, [141.0, 288.0, 989.0, 36.0], shoonya_2sS4PC0RKJ0OMO, 6469444]
[paragraph, [141.0, 324.0, 989.0, 36.0], shoonya_2sS4PC0RKJ0OMO, 6469444]
[paragraph, [141.0, 360.0, 989.0, 36.0], shoonya_2sS4PC0RKJ0OMO, 6469444]
[paragraph, [141.0, 396.0, 989.0, 36.0], shoonya_2sS4PC0RKJ0OMO, 6469444]
[paragraph, [141.0, 432.0, 989.0, 36.0], shoonya_2sS4PC0RKJ0OMO, 6469444]
[paragraph, [141.0, 468.0, 989.0, 36.0], shoonya_2sS4PC0RKJ0OMO, 6469444]
[paragraph, [141.0, 504.0, 989.0, 36.0], shoonya_2sS4PC0RKJ0OMO, 6469444]
[paragraph, [143.0, 557.0, 990.0, 36.0], shoonya_1sYXYFXNSXPU6P, 6469444]
[paragraph, [143.0, 593.0, 990.0, 36.0], shoonya_1sYXYFXNSXPU6P, 6469444]
[paragraph, [143.0, 629.0, 990.0, 36.0], shoonya_1sYXYFXNSXPU6P, 6469444]
[paragraph, [143.0, 665.0, 990.0, 36.0], shoonya_1sYXYFXNSXPU6P, 6469444]
[paragraph, [143.0, 701.0, 990.0, 36.0], shoonya_1sYXYFXNSXPU6P, 6469444]
[paragraph, [143.0, 737.0, 990.0, 36.0], shoonya_1sYXYFXNSXPU6P, 6469444]
[paragraph, [143.0, 773.0, 990.0, 36.0], shoonya_1sYXYFXNSXPU6P, 6469444]
[paragraph, [143.0, 809.0, 990.0, 36.0], shoonya_1sYXYFXNSXPU6P, 6469444]
[paragraph, [143.0, 845.0, 990.0, 36.0], shoonya_1sYXYFXNSXPU6P, 6469444]
[paragraph, [140.0, 899.0, 994.0, 36.0], sRgKyFc8FN, 6469444]
[paragraph, [140.0, 935.0, 994.0, 36.0], sRgKyFc8FN, 6469444]
[paragraph, [140.0, 971.0, 994.0, 36.0], sRgKyFc8FN, 6469444]
[paragraph, [140.0, 1007.0, 994.0, 36.0], sRgKyFc8FN, 6469444]
[paragraph, [140.0, 1043.0, 994.0, 36.0], sRgKyFc8FN, 6469444]
[paragraph, [140.0, 1079.0, 994.0, 36.0], sRgKyFc8FN, 6469444]
[paragraph, [140.0, 1115.0, 994.0, 36.0], sRgKyFc8FN, 6469444]
[paragraph, [140.0, 1151.0, 994.0, 36.0], sRgKyFc8FN, 6469444]
[paragraph, [140.0, 1187.0, 994.0, 36.0], sRgKyFc8FN, 6469444]
[paragraph, [140.0, 1223.0, 994.0, 36.0], sRgKyFc8FN, 6469444]
[paragraph, [140.0, 1259.0, 994.0, 36.0], sRgKyFc8FN, 6469444]
[paragraph, [140.0, 1295.0, 994.0, 36.0], sRgKyFc8FN, 6469444]
[paragraph, [138.0, 1355.0, 991.0, 36.0], HtmHQOXAfX, 6469444]
[paragraph, [138.0, 1391.0, 991.0, 36.0], HtmHQOXAfX, 6469444]
[paragraph, [138.0, 1427.0, 991.0, 36.0], HtmHQOXAfX, 6469444]
[folio, [890.0, 1514.0, 234.0, 36.0], CuwXSR0KV9, 6469444]
