[1272, 861]
[paragraph, [49.0, 26.0, 773.0, 18.0], shoonya_2s0HLHVLP9U77C, 5751232]
[paragraph, [49.0, 44.0, 773.0, 18.0], shoonya_2s0HLHVLP9U77C, 5751232]
[paragraph, [49.0, 62.0, 773.0, 18.0], shoonya_2s0HLHVLP9U77C, 5751232]
[paragraph, [49.0, 80.0, 773.0, 18.0], shoonya_2s0HLHVLP9U77C, 5751232]
[paragraph, [49.0, 98.0, 773.0, 18.0], shoonya_2s0HLHVLP9U77C, 5751232]
[paragraph, [49.0, 116.0, 773.0, 18.0], shoonya_2s0HLHVLP9U77C, 5751232]
[paragraph, [49.0, 134.0, 773.0, 18.0], shoonya_2s0HLHVLP9U77C, 5751232]
[paragraph, [49.0, 152.0, 773.0, 18.0], shoonya_2s0HLHVLP9U77C, 5751232]
[paragraph, [49.0, 170.0, 773.0, 18.0], shoonya_2s0HLHVLP9U77C, 5751232]
[paragraph, [49.0, 188.0, 773.0, 18.0], shoonya_2s0HLHVLP9U77C, 5751232]
[paragraph, [49.0, 206.0, 773.0, 18.0], shoonya_2s0HLHVLP9U77C, 5751232]
[paragraph, [49.0, 224.0, 773.0, 18.0], shoonya_2s0HLHVLP9U77C, 5751232]
[paragraph, [49.0, 242.0, 773.0, 18.0], shoonya_2s0HLHVLP9U77C, 5751232]
[paragraph, [49.0, 260.0, 773.0, 18.0], shoonya_2s0HLHVLP9U77C, 5751232]
[paragraph, [49.0, 278.0, 773.0, 18.0], shoonya_2s0HLHVLP9U77C, 5751232]
[paragraph, [49.0, 296.0, 773.0, 18.0], shoonya_2s0HLHVLP9U77C, 5751232]
[paragraph, [49.0, 314.0, 773.0, 18.0], shoonya_2s0HLHVLP9U77C, 5751232]
[paragraph, [49.0, 332.0, 773.0, 18.0], shoonya_2s0HLHVLP9U77C, 5751232]
[paragraph, [49.0, 350.0, 773.0, 18.0], shoonya_2s0HLHVLP9U77C, 5751232]
[paragraph, [49.0, 368.0, 773.0, 18.0], shoonya_2s0HLHVLP9U77C, 5751232]
[paragraph, [49.0, 386.0, 773.0, 18.0], shoonya_2s0HLHVLP9U77C, 5751232]
[paragraph, [49.0, 404.0, 773.0, 18.0], shoonya_2s0HLHVLP9U77C, 5751232]
[paragraph, [49.0, 422.0, 773.0, 18.0], shoonya_2s0HLHVLP9U77C, 5751232]
[paragraph, [49.0, 440.0, 773.0, 18.0], shoonya_2s0HLHVLP9U77C, 5751232]
[paragraph, [49.0, 458.0, 773.0, 18.0], shoonya_2s0HLHVLP9U77C, 5751232]
[paragraph, [49.0, 476.0, 773.0, 18.0], shoonya_2s0HLHVLP9U77C, 5751232]
[paragraph, [49.0, 494.0, 773.0, 18.0], shoonya_2s0HLHVLP9U77C, 5751232]
[paragraph, [49.0, 512.0, 773.0, 18.0], shoonya_2s0HLHVLP9U77C, 5751232]
[paragraph, [49.0, 530.0, 773.0, 18.0], shoonya_2s0HLHVLP9U77C, 5751232]
[paragraph, [49.0, 548.0, 773.0, 18.0], shoonya_2s0HLHVLP9U77C, 5751232]
[paragraph, [49.0, 566.0, 773.0, 18.0], shoonya_2s0HLHVLP9U77C, 5751232]
[paragraph, [49.0, 584.0, 773.0, 18.0], shoonya_2s0HLHVLP9U77C, 5751232]
[paragraph, [35.0, 580.0, 786.0, 18.0], shoonya_0sARNEWB77SKYM, 5751232]
[paragraph, [35.0, 598.0, 786.0, 18.0], shoonya_0sARNEWB77SKYM, 5751232]
[paragraph, [35.0, 616.0, 786.0, 18.0], shoonya_0sARNEWB77SKYM, 5751232]
[paragraph, [35.0, 634.0, 786.0, 18.0], shoonya_0sARNEWB77SKYM, 5751232]
[paragraph, [35.0, 652.0, 786.0, 18.0], shoonya_0sARNEWB77SKYM, 5751232]
[paragraph, [35.0, 670.0, 786.0, 18.0], shoonya_0sARNEWB77SKYM, 5751232]
[paragraph, [35.0, 688.0, 786.0, 18.0], shoonya_0sARNEWB77SKYM, 5751232]
[paragraph, [35.0, 706.0, 786.0, 18.0], shoonya_0sARNEWB77SKYM, 5751232]
[paragraph, [35.0, 724.0, 786.0, 18.0], shoonya_0sARNEWB77SKYM, 5751232]
[paragraph, [35.0, 742.0, 786.0, 18.0], shoonya_0sARNEWB77SKYM, 5751232]
[paragraph, [35.0, 760.0, 786.0, 18.0], shoonya_0sARNEWB77SKYM, 5751232]
[paragraph, [35.0, 778.0, 786.0, 18.0], shoonya_0sARNEWB77SKYM, 5751232]
[paragraph, [35.0, 796.0, 786.0, 18.0], shoonya_0sARNEWB77SKYM, 5751232]
[paragraph, [35.0, 814.0, 786.0, 18.0], shoonya_0sARNEWB77SKYM, 5751232]
[paragraph, [35.0, 832.0, 786.0, 18.0], shoonya_0sARNEWB77SKYM, 5751232]
[paragraph, [35.0, 850.0, 786.0, 18.0], shoonya_0sARNEWB77SKYM, 5751232]
[paragraph, [35.0, 868.0, 786.0, 18.0], shoonya_0sARNEWB77SKYM, 5751232]
[paragraph, [35.0, 886.0, 786.0, 18.0], shoonya_0sARNEWB77SKYM, 5751232]
[paragraph, [35.0, 904.0, 786.0, 18.0], shoonya_0sARNEWB77SKYM, 5751232]
[paragraph, [35.0, 922.0, 786.0, 18.0], shoonya_0sARNEWB77SKYM, 5751232]
[paragraph, [35.0, 940.0, 786.0, 18.0], shoonya_0sARNEWB77SKYM, 5751232]
[paragraph, [35.0, 958.0, 786.0, 18.0], shoonya_0sARNEWB77SKYM, 5751232]
[paragraph, [35.0, 976.0, 786.0, 18.0], shoonya_0sARNEWB77SKYM, 5751232]
[paragraph, [35.0, 994.0, 786.0, 18.0], shoonya_0sARNEWB77SKYM, 5751232]
[paragraph, [35.0, 1012.0, 786.0, 18.0], shoonya_0sARNEWB77SKYM, 5751232]
[paragraph, [35.0, 1030.0, 786.0, 18.0], shoonya_0sARNEWB77SKYM, 5751232]
[paragraph, [35.0, 1048.0, 786.0, 18.0], shoonya_0sARNEWB77SKYM, 5751232]
[paragraph, [35.0, 1066.0, 786.0, 18.0], shoonya_0sARNEWB77SKYM, 5751232]
[paragraph, [35.0, 1084.0, 786.0, 18.0], shoonya_0sARNEWB77SKYM, 5751232]
[paragraph, [35.0, 1102.0, 786.0, 18.0], shoonya_0sARNEWB77SKYM, 5751232]
[paragraph, [32.0, 1122.0, 769.0, 18.0], shoonya_3sBGAD7VCTUPXV, 5751232]
[paragraph, [32.0, 1140.0, 769.0, 18.0], shoonya_3sBGAD7VCTUPXV, 5751232]
[paragraph, [32.0, 1158.0, 769.0, 18.0], shoonya_3sBGAD7VCTUPXV, 5751232]
[paragraph, [32.0, 1176.0, 769.0, 18.0], shoonya_3sBGAD7VCTUPXV, 5751232]
[paragraph, [32.0, 1194.0, 769.0, 18.0], shoonya_3sBGAD7VCTUPXV, 5751232]
