[2339, 1653]
[folio, [284.0, 206.0, 214.0, 36.0], KePAmb49X_, 5655274]
[paragraph, [282.0, 309.0, 1084.0, 36.0], shoonya_0sDPMWPYHWXLMC, 5655274]
[paragraph, [282.0, 345.0, 1084.0, 36.0], shoonya_0sDPMWPYHWXLMC, 5655274]
[paragraph, [282.0, 381.0, 1084.0, 36.0], shoonya_0sDPMWPYHWXLMC, 5655274]
[paragraph, [282.0, 417.0, 1084.0, 36.0], shoonya_0sDPMWPYHWXLMC, 5655274]
[paragraph, [282.0, 453.0, 1084.0, 36.0], shoonya_0sDPMWPYHWXLMC, 5655274]
[paragraph, [282.0, 489.0, 1084.0, 36.0], shoonya_0sDPMWPYHWXLMC, 5655274]
[paragraph, [282.0, 525.0, 1084.0, 36.0], shoonya_0sDPMWPYHWXLMC, 5655274]
[paragraph, [282.0, 561.0, 1084.0, 36.0], shoonya_0sDPMWPYHWXLMC, 5655274]
[paragraph, [282.0, 597.0, 1084.0, 36.0], shoonya_0sDPMWPYHWXLMC, 5655274]
[paragraph, [282.0, 633.0, 1084.0, 36.0], shoonya_0sDPMWPYHWXLMC, 5655274]
[paragraph, [282.0, 669.0, 1084.0, 36.0], shoonya_0sDPMWPYHWXLMC, 5655274]
[paragraph, [282.0, 705.0, 1084.0, 36.0], shoonya_0sDPMWPYHWXLMC, 5655274]
[paragraph, [282.0, 741.0, 1084.0, 36.0], shoonya_0sDPMWPYHWXLMC, 5655274]
[paragraph, [282.0, 777.0, 1084.0, 36.0], shoonya_0sDPMWPYHWXLMC, 5655274]
[paragraph, [282.0, 813.0, 1084.0, 36.0], shoonya_0sDPMWPYHWXLMC, 5655274]
[paragraph, [282.0, 849.0, 1084.0, 36.0], shoonya_0sDPMWPYHWXLMC, 5655274]
[paragraph, [282.0, 885.0, 1084.0, 36.0], shoonya_0sDPMWPYHWXLMC, 5655274]
[paragraph, [282.0, 921.0, 1084.0, 36.0], shoonya_0sDPMWPYHWXLMC, 5655274]
[paragraph, [282.0, 957.0, 1084.0, 36.0], shoonya_0sDPMWPYHWXLMC, 5655274]
[paragraph, [282.0, 993.0, 1084.0, 36.0], shoonya_0sDPMWPYHWXLMC, 5655274]
[paragraph, [282.0, 1029.0, 1084.0, 36.0], shoonya_0sDPMWPYHWXLMC, 5655274]
[paragraph, [282.0, 1065.0, 1084.0, 36.0], shoonya_0sDPMWPYHWXLMC, 5655274]
[paragraph, [282.0, 1101.0, 1084.0, 36.0], shoonya_0sDPMWPYHWXLMC, 5655274]
[paragraph, [282.0, 1137.0, 1084.0, 36.0], shoonya_0sDPMWPYHWXLMC, 5655274]
[paragraph, [282.0, 1173.0, 1084.0, 36.0], shoonya_0sDPMWPYHWXLMC, 5655274]
[paragraph, [282.0, 1209.0, 1084.0, 36.0], shoonya_0sDPMWPYHWXLMC, 5655274]
[paragraph, [282.0, 1245.0, 1084.0, 36.0], shoonya_0sDPMWPYHWXLMC, 5655274]
[paragraph, [282.0, 1281.0, 1084.0, 36.0], shoonya_0sDPMWPYHWXLMC, 5655274]
[paragraph, [282.0, 1317.0, 1084.0, 36.0], shoonya_0sDPMWPYHWXLMC, 5655274]
[paragraph, [282.0, 1353.0, 1084.0, 36.0], shoonya_0sDPMWPYHWXLMC, 5655274]
[paragraph, [282.0, 1389.0, 1084.0, 36.0], shoonya_0sDPMWPYHWXLMC, 5655274]
[paragraph, [612.0, 1469.0, 412.0, 36.0], eYHTXbCSt0, 5655274]
[paragraph, [612.0, 1505.0, 412.0, 36.0], eYHTXbCSt0, 5655274]
[paragraph, [612.0, 1541.0, 412.0, 36.0], eYHTXbCSt0, 5655274]
[paragraph, [612.0, 1577.0, 412.0, 36.0], eYHTXbCSt0, 5655274]
[paragraph, [612.0, 1613.0, 412.0, 36.0], eYHTXbCSt0, 5655274]
[paragraph, [612.0, 1649.0, 412.0, 36.0], eYHTXbCSt0, 5655274]
[paragraph, [612.0, 1685.0, 412.0, 36.0], eYHTXbCSt0, 5655274]
[paragraph, [612.0, 1721.0, 412.0, 36.0], eYHTXbCSt0, 5655274]
[paragraph, [751.0, 1800.0, 171.0, 36.0], ujvbaKZAI0, 5655274]
[paragraph, [683.0, 1876.0, 284.0, 36.0], a2ioGT7PCf, 5655274]
[paragraph, [786.0, 1967.0, 76.0, 36.0], UpWDcHRVmg, 5655274]
[paragraph, [681.0, 2049.0, 336.0, 36.0], cupMGyBXx6, 5655274]
[paragraph, [681.0, 2085.0, 336.0, 36.0], cupMGyBXx6, 5655274]
