[700, 484]
[section-title, [183.0, 81.0, 115.0, 30.0], bQRxitmCX_, 6464527]
[paragraph, [45.0, 133.0, 388.0, 18.0], EmA2tGQjFe, 6464527]
[paragraph, [45.0, 151.0, 388.0, 18.0], EmA2tGQjFe, 6464527]
[paragraph, [45.0, 169.0, 388.0, 18.0], EmA2tGQjFe, 6464527]
[paragraph, [45.0, 187.0, 388.0, 18.0], EmA2tGQjFe, 6464527]
[paragraph, [45.0, 205.0, 388.0, 18.0], EmA2tGQjFe, 6464527]
[paragraph, [45.0, 223.0, 388.0, 18.0], EmA2tGQjFe, 6464527]
[paragraph, [45.0, 241.0, 388.0, 18.0], EmA2tGQjFe, 6464527]
[paragraph, [45.0, 259.0, 388.0, 18.0], EmA2tGQjFe, 6464527]
[paragraph, [43.0, 293.0, 392.0, 18.0], Okrvecs2dq, 6464527]
[paragraph, [43.0, 311.0, 392.0, 18.0], Okrvecs2dq, 6464527]
[paragraph, [43.0, 329.0, 392.0, 18.0], Okrvecs2dq, 6464527]
[paragraph, [43.0, 347.0, 392.0, 18.0], Okrvecs2dq, 6464527]
[paragraph, [43.0, 365.0, 392.0, 18.0], Okrvecs2dq, 6464527]
[paragraph, [43.0, 383.0, 392.0, 18.0], Okrvecs2dq, 6464527]
[paragraph, [43.0, 401.0, 392.0, 18.0], Okrvecs2dq, 6464527]
[paragraph, [46.0, 423.0, 390.0, 18.0], _-0xCDRb1u, 6464527]
[paragraph, [46.0, 441.0, 390.0, 18.0], _-0xCDRb1u, 6464527]
[paragraph, [46.0, 459.0, 390.0, 18.0], _-0xCDRb1u, 6464527]
[paragraph, [46.0, 477.0, 390.0, 18.0], _-0xCDRb1u, 6464527]
[paragraph, [46.0, 495.0, 390.0, 18.0], _-0xCDRb1u, 6464527]
[paragraph, [46.0, 513.0, 390.0, 18.0], _-0xCDRb1u, 6464527]
[paragraph, [46.0, 531.0, 390.0, 18.0], _-0xCDRb1u, 6464527]
[paragraph, [46.0, 549.0, 390.0, 18.0], _-0xCDRb1u, 6464527]
[paragraph, [54.0, 581.0, 387.0, 18.0], CMOfLgyj6L, 6464527]
[paragraph, [54.0, 599.0, 387.0, 18.0], CMOfLgyj6L, 6464527]
[paragraph, [54.0, 617.0, 387.0, 18.0], CMOfLgyj6L, 6464527]
