[1818, 1374]
[folio, [618.0, 191.0, 130.0, 36.0], shoonya_0sFXEL5TK1HKJT, 5682321]
[paragraph, [106.0, 257.0, 571.0, 36.0], W8wD2nZqJ4, 5682321]
[paragraph, [106.0, 293.0, 571.0, 36.0], W8wD2nZqJ4, 5682321]
[paragraph, [106.0, 329.0, 571.0, 36.0], W8wD2nZqJ4, 5682321]
[paragraph, [106.0, 365.0, 571.0, 36.0], W8wD2nZqJ4, 5682321]
[paragraph, [106.0, 401.0, 571.0, 36.0], W8wD2nZqJ4, 5682321]
[paragraph, [106.0, 437.0, 571.0, 36.0], W8wD2nZqJ4, 5682321]
[paragraph, [106.0, 473.0, 571.0, 36.0], W8wD2nZqJ4, 5682321]
[paragraph, [106.0, 509.0, 571.0, 36.0], W8wD2nZqJ4, 5682321]
[paragraph, [106.0, 545.0, 571.0, 36.0], W8wD2nZqJ4, 5682321]
[paragraph, [106.0, 581.0, 571.0, 36.0], W8wD2nZqJ4, 5682321]
[paragraph, [106.0, 617.0, 571.0, 36.0], W8wD2nZqJ4, 5682321]
[paragraph, [106.0, 653.0, 571.0, 36.0], W8wD2nZqJ4, 5682321]
[paragraph, [106.0, 689.0, 571.0, 36.0], W8wD2nZqJ4, 5682321]
[paragraph, [106.0, 725.0, 571.0, 36.0], W8wD2nZqJ4, 5682321]
[paragraph, [106.0, 761.0, 571.0, 36.0], W8wD2nZqJ4, 5682321]
[paragraph, [106.0, 797.0, 571.0, 36.0], W8wD2nZqJ4, 5682321]
[paragraph, [106.0, 833.0, 571.0, 36.0], W8wD2nZqJ4, 5682321]
[paragraph, [106.0, 869.0, 571.0, 36.0], W8wD2nZqJ4, 5682321]
[paragraph, [106.0, 905.0, 571.0, 36.0], W8wD2nZqJ4, 5682321]
[paragraph, [106.0, 941.0, 571.0, 36.0], W8wD2nZqJ4, 5682321]
[paragraph, [106.0, 977.0, 571.0, 36.0], W8wD2nZqJ4, 5682321]
[paragraph, [106.0, 1013.0, 571.0, 36.0], W8wD2nZqJ4, 5682321]
[paragraph, [106.0, 1049.0, 571.0, 36.0], W8wD2nZqJ4, 5682321]
[paragraph, [106.0, 1085.0, 571.0, 36.0], W8wD2nZqJ4, 5682321]
[paragraph, [106.0, 1121.0, 571.0, 36.0], W8wD2nZqJ4, 5682321]
[paragraph, [106.0, 1157.0, 571.0, 36.0], W8wD2nZqJ4, 5682321]
[paragraph, [106.0, 1193.0, 571.0, 36.0], W8wD2nZqJ4, 5682321]
[paragraph, [106.0, 1229.0, 571.0, 36.0], W8wD2nZqJ4, 5682321]
[paragraph, [106.0, 1265.0, 571.0, 36.0], W8wD2nZqJ4, 5682321]
[paragraph, [106.0, 1301.0, 571.0, 36.0], W8wD2nZqJ4, 5682321]
[paragraph, [106.0, 1337.0, 571.0, 36.0], W8wD2nZqJ4, 5682321]
[paragraph, [106.0, 1373.0, 571.0, 36.0], W8wD2nZqJ4, 5682321]
[paragraph, [106.0, 1409.0, 571.0, 36.0], W8wD2nZqJ4, 5682321]
[paragraph, [106.0, 1445.0, 571.0, 36.0], W8wD2nZqJ4, 5682321]
[paragraph, [106.0, 1481.0, 571.0, 36.0], W8wD2nZqJ4, 5682321]
[paragraph, [106.0, 1517.0, 571.0, 36.0], W8wD2nZqJ4, 5682321]
[paragraph, [106.0, 1553.0, 571.0, 36.0], W8wD2nZqJ4, 5682321]
[paragraph, [697.0, 260.0, 565.0, 36.0], WQ2i4VHT0b, 5682321]
[paragraph, [697.0, 296.0, 565.0, 36.0], WQ2i4VHT0b, 5682321]
[paragraph, [693.0, 343.0, 573.0, 36.0], M9hghA0dK6, 5682321]
[paragraph, [693.0, 379.0, 573.0, 36.0], M9hghA0dK6, 5682321]
[paragraph, [695.0, 537.0, 568.0, 36.0], 9Rk6zufzYo, 5682321]
[paragraph, [695.0, 573.0, 568.0, 36.0], 9Rk6zufzYo, 5682321]
[paragraph, [695.0, 609.0, 568.0, 36.0], 9Rk6zufzYo, 5682321]
[paragraph, [695.0, 645.0, 568.0, 36.0], 9Rk6zufzYo, 5682321]
[paragraph, [695.0, 681.0, 568.0, 36.0], 9Rk6zufzYo, 5682321]
[paragraph, [695.0, 717.0, 568.0, 36.0], 9Rk6zufzYo, 5682321]
[paragraph, [695.0, 753.0, 568.0, 36.0], 9Rk6zufzYo, 5682321]
[paragraph, [695.0, 789.0, 568.0, 36.0], 9Rk6zufzYo, 5682321]
[paragraph, [695.0, 825.0, 568.0, 36.0], 9Rk6zufzYo, 5682321]
[paragraph, [733.0, 894.0, 283.0, 36.0], N_-bDdscF4, 5682321]
[paragraph, [697.0, 1016.0, 563.0, 36.0], PBkubC_2Bn, 5682321]
[paragraph, [697.0, 1134.0, 570.0, 36.0], CHh9i058yZ, 5682321]
[paragraph, [697.0, 1213.0, 570.0, 36.0], EuoFQnsoCt, 5682321]
[paragraph, [738.0, 1290.0, 475.0, 36.0], n5GGMF-9S8, 5682321]
[paragraph, [697.0, 1335.0, 573.0, 36.0], 4ZVECTKtWg, 5682321]
[paragraph, [699.0, 1411.0, 570.0, 36.0], I2v3XgX72y, 5682321]
[paragraph, [699.0, 1447.0, 570.0, 36.0], I2v3XgX72y, 5682321]
[paragraph, [699.0, 1491.0, 568.0, 36.0], 1d7b5rkCip, 5682321]
[paragraph, [699.0, 1527.0, 568.0, 36.0], 1d7b5rkCip, 5682321]
[paragraph, [700.0, 1574.0, 566.0, 36.0], wQcliPixS8, 5682321]
[paragraph, [700.0, 1610.0, 566.0, 36.0], wQcliPixS8, 5682321]
[paragraph, [700.0, 1646.0, 566.0, 36.0], wQcliPixS8, 5682321]
[paragraph, [109.0, 1617.0, 566.0, 36.0], BOImq6vAQI, 5682321]
[paragraph, [109.0, 1653.0, 566.0, 36.0], BOImq6vAQI, 5682321]
