[2200, 1700]
[paragraph, [235.0, 213.0, 1019.0, 36.0], shoonya_0s2GD7ZCCBAIOI, 5653031]
[paragraph, [235.0, 249.0, 1019.0, 36.0], shoonya_0s2GD7ZCCBAIOI, 5653031]
[paragraph, [235.0, 285.0, 1019.0, 36.0], shoonya_0s2GD7ZCCBAIOI, 5653031]
[paragraph, [235.0, 321.0, 1019.0, 36.0], shoonya_0s2GD7ZCCBAIOI, 5653031]
[paragraph, [235.0, 357.0, 1019.0, 36.0], shoonya_0s2GD7ZCCBAIOI, 5653031]
[paragraph, [223.0, 389.0, 1024.0, 36.0], shoonya_1s9H453DKKWGYP, 5653031]
[paragraph, [223.0, 425.0, 1024.0, 36.0], shoonya_1s9H453DKKWGYP, 5653031]
[paragraph, [223.0, 461.0, 1024.0, 36.0], shoonya_1s9H453DKKWGYP, 5653031]
[paragraph, [223.0, 497.0, 1024.0, 36.0], shoonya_1s9H453DKKWGYP, 5653031]
[paragraph, [223.0, 533.0, 1024.0, 36.0], shoonya_1s9H453DKKWGYP, 5653031]
[paragraph, [223.0, 569.0, 1024.0, 36.0], shoonya_1s9H453DKKWGYP, 5653031]
[paragraph, [223.0, 605.0, 1024.0, 36.0], shoonya_1s9H453DKKWGYP, 5653031]
[paragraph, [223.0, 641.0, 1024.0, 36.0], shoonya_1s9H453DKKWGYP, 5653031]
[paragraph, [223.0, 677.0, 1024.0, 36.0], shoonya_1s9H453DKKWGYP, 5653031]
[paragraph, [223.0, 713.0, 1024.0, 36.0], shoonya_1s9H453DKKWGYP, 5653031]
[paragraph, [223.0, 749.0, 1024.0, 36.0], shoonya_1s9H453DKKWGYP, 5653031]
[paragraph, [223.0, 785.0, 1024.0, 36.0], shoonya_1s9H453DKKWGYP, 5653031]
[paragraph, [223.0, 821.0, 1024.0, 36.0], shoonya_1s9H453DKKWGYP, 5653031]
[paragraph, [223.0, 857.0, 1024.0, 36.0], shoonya_1s9H453DKKWGYP, 5653031]
[paragraph, [223.0, 893.0, 1024.0, 36.0], shoonya_1s9H453DKKWGYP, 5653031]
[paragraph, [201.0, 952.0, 1041.0, 36.0], E0PvFsfc65, 5653031]
[paragraph, [201.0, 988.0, 1041.0, 36.0], E0PvFsfc65, 5653031]
[paragraph, [201.0, 1024.0, 1041.0, 36.0], E0PvFsfc65, 5653031]
[paragraph, [303.0, 1077.0, 688.0, 36.0], 9QF1sGXNTN, 5653031]
[paragraph, [295.0, 1137.0, 937.0, 36.0], rZrvYdBOeC, 5653031]
[paragraph, [203.0, 1192.0, 1030.0, 36.0], 3rh7Uevt1Z, 5653031]
[paragraph, [203.0, 1228.0, 1030.0, 36.0], 3rh7Uevt1Z, 5653031]
[paragraph, [203.0, 1264.0, 1030.0, 36.0], 3rh7Uevt1Z, 5653031]
[paragraph, [203.0, 1300.0, 1030.0, 36.0], 3rh7Uevt1Z, 5653031]
[paragraph, [203.0, 1336.0, 1030.0, 36.0], 3rh7Uevt1Z, 5653031]
[folio, [291.0, 1864.0, 108.0, 36.0], SL2F-Tn1UR, 5653031]
