[872, 605]
[section-title, [262.0, 33.0, 74.0, 30.0], iEh5wT1kx7, 6456624]
[folio, [38.0, 36.0, 85.0, 18.0], bUZ5xf1etm, 6456624]
[paragraph, [40.0, 69.0, 260.0, 18.0], 4h06ldgQ9O, 6456624]
[paragraph, [40.0, 87.0, 260.0, 18.0], 4h06ldgQ9O, 6456624]
[paragraph, [40.0, 105.0, 260.0, 18.0], 4h06ldgQ9O, 6456624]
[paragraph, [302.0, 71.0, 256.0, 18.0], bRoPsOAu2A, 6456624]
[paragraph, [302.0, 89.0, 256.0, 18.0], bRoPsOAu2A, 6456624]
[paragraph, [300.0, 111.0, 264.0, 18.0], Jp_cmaYPUS, 6456624]
[paragraph, [301.0, 126.0, 230.0, 18.0], _VpA3IJ_Rj, 6456624]
[paragraph, [52.0, 127.0, 162.0, 18.0], 8HOFoEBYEp, 6456624]
[paragraph, [39.0, 143.0, 259.0, 18.0], pV6iHAMcdk, 6456624]
[paragraph, [301.0, 149.0, 263.0, 18.0], pEGmBrteDF, 6456624]
[paragraph, [301.0, 167.0, 263.0, 18.0], pEGmBrteDF, 6456624]
[paragraph, [301.0, 185.0, 263.0, 18.0], pEGmBrteDF, 6456624]
[paragraph, [301.0, 203.0, 263.0, 18.0], pEGmBrteDF, 6456624]
[paragraph, [301.0, 221.0, 263.0, 18.0], pEGmBrteDF, 6456624]
[paragraph, [301.0, 239.0, 263.0, 18.0], pEGmBrteDF, 6456624]
[paragraph, [39.0, 161.0, 259.0, 18.0], _0XPnRauCp, 6456624]
[paragraph, [39.0, 179.0, 259.0, 18.0], _0XPnRauCp, 6456624]
[paragraph, [39.0, 198.0, 259.0, 18.0], ul39G3gOzR, 6456624]
[paragraph, [39.0, 216.0, 259.0, 18.0], ul39G3gOzR, 6456624]
[paragraph, [39.0, 234.0, 259.0, 18.0], ul39G3gOzR, 6456624]
[paragraph, [39.0, 252.0, 259.0, 18.0], ul39G3gOzR, 6456624]
[paragraph, [39.0, 270.0, 259.0, 18.0], ul39G3gOzR, 6456624]
[paragraph, [39.0, 288.0, 259.0, 18.0], ul39G3gOzR, 6456624]
[paragraph, [39.0, 306.0, 259.0, 18.0], ul39G3gOzR, 6456624]
[paragraph, [39.0, 324.0, 259.0, 18.0], ul39G3gOzR, 6456624]
[paragraph, [302.0, 255.0, 260.0, 18.0], rcpgjA0g6h, 6456624]
[paragraph, [302.0, 273.0, 260.0, 18.0], rcpgjA0g6h, 6456624]
[paragraph, [302.0, 291.0, 260.0, 18.0], rcpgjA0g6h, 6456624]
[paragraph, [302.0, 309.0, 260.0, 18.0], rcpgjA0g6h, 6456624]
[paragraph, [318.0, 330.0, 113.0, 18.0], shoonya_0sFLE9RFNC8EE5, 6456624]
[paragraph, [36.0, 351.0, 264.0, 18.0], NEXGhnvEXv, 6456624]
[paragraph, [36.0, 369.0, 264.0, 18.0], NEXGhnvEXv, 6456624]
[paragraph, [300.0, 351.0, 262.0, 18.0], W-Xaqv4LWE, 6456624]
[paragraph, [301.0, 370.0, 246.0, 18.0], JsLYbv7UlE, 6456624]
[paragraph, [301.0, 388.0, 246.0, 18.0], JsLYbv7UlE, 6456624]
[paragraph, [38.0, 401.0, 262.0, 18.0], SK3H2iNxtQ, 6456624]
[paragraph, [38.0, 419.0, 262.0, 18.0], SK3H2iNxtQ, 6456624]
