[2481, 1654]
[folio, [1188.0, 106.0, 117.0, 36.0], shoonya_3sZHVVCTWEAJWN, 5720919]
[paragraph, [166.0, 217.0, 1266.0, 36.0], shoonya_0sLI0DWPY99NE3, 5720919]
[paragraph, [166.0, 253.0, 1266.0, 36.0], shoonya_0sLI0DWPY99NE3, 5720919]
[paragraph, [175.0, 322.0, 1254.0, 36.0], 0nqS_iPZsg, 5720919]
[paragraph, [175.0, 358.0, 1254.0, 36.0], 0nqS_iPZsg, 5720919]
[paragraph, [175.0, 394.0, 1254.0, 36.0], 0nqS_iPZsg, 5720919]
[paragraph, [163.0, 436.0, 1271.0, 36.0], PQxjNV_s2G, 5720919]
[paragraph, [163.0, 472.0, 1271.0, 36.0], PQxjNV_s2G, 5720919]
[paragraph, [165.0, 535.0, 1265.0, 36.0], 0N7YEr0Ola, 5720919]
[paragraph, [165.0, 571.0, 1265.0, 36.0], 0N7YEr0Ola, 5720919]
[paragraph, [165.0, 607.0, 1265.0, 36.0], 0N7YEr0Ola, 5720919]
[paragraph, [231.0, 649.0, 851.0, 36.0], X0gX4SR9Vf, 5720919]
[paragraph, [155.0, 700.0, 1281.0, 36.0], 1-kDFO-kKt, 5720919]
[paragraph, [155.0, 736.0, 1281.0, 36.0], 1-kDFO-kKt, 5720919]
[paragraph, [159.0, 808.0, 1290.0, 36.0], gDPnmbscS9, 5720919]
[paragraph, [159.0, 844.0, 1290.0, 36.0], gDPnmbscS9, 5720919]
[paragraph, [159.0, 880.0, 1290.0, 36.0], gDPnmbscS9, 5720919]
[paragraph, [159.0, 916.0, 1290.0, 36.0], gDPnmbscS9, 5720919]
[paragraph, [163.0, 965.0, 1277.0, 36.0], w5P2Wkt9Xq, 5720919]
[paragraph, [163.0, 1001.0, 1277.0, 36.0], w5P2Wkt9Xq, 5720919]
[paragraph, [163.0, 1037.0, 1277.0, 36.0], w5P2Wkt9Xq, 5720919]
[paragraph, [163.0, 1073.0, 1277.0, 36.0], w5P2Wkt9Xq, 5720919]
[paragraph, [225.0, 1126.0, 688.0, 36.0], RFKUzx6xOR, 5720919]
[paragraph, [161.0, 1180.0, 1275.0, 36.0], PQl9RS4iGM, 5720919]
[paragraph, [161.0, 1216.0, 1275.0, 36.0], PQl9RS4iGM, 5720919]
[paragraph, [227.0, 1285.0, 1052.0, 36.0], WiX7TiCZMA, 5720919]
[paragraph, [167.0, 1335.0, 1263.0, 36.0], 3xeIashVF3, 5720919]
[paragraph, [167.0, 1371.0, 1263.0, 36.0], 3xeIashVF3, 5720919]
[paragraph, [167.0, 1407.0, 1263.0, 36.0], 3xeIashVF3, 5720919]
[paragraph, [223.0, 1447.0, 1085.0, 36.0], -2npBIRPfh, 5720919]
[paragraph, [223.0, 1501.0, 1027.0, 36.0], 8UnvP23WwS, 5720919]
[paragraph, [227.0, 1550.0, 628.0, 36.0], jWhrM-L3Tz, 5720919]
[paragraph, [150.0, 1602.0, 1290.0, 36.0], L08Ti_4dzJ, 5720919]
[paragraph, [150.0, 1638.0, 1290.0, 36.0], L08Ti_4dzJ, 5720919]
[paragraph, [150.0, 1674.0, 1290.0, 36.0], L08Ti_4dzJ, 5720919]
[paragraph, [150.0, 1710.0, 1290.0, 36.0], L08Ti_4dzJ, 5720919]
[paragraph, [150.0, 1746.0, 1290.0, 36.0], L08Ti_4dzJ, 5720919]
[paragraph, [150.0, 1782.0, 1290.0, 36.0], L08Ti_4dzJ, 5720919]
[paragraph, [150.0, 1818.0, 1290.0, 36.0], L08Ti_4dzJ, 5720919]
[paragraph, [219.0, 1873.0, 1153.0, 36.0], zG-hmYewM0, 5720919]
[paragraph, [227.0, 1926.0, 872.0, 36.0], xxCsJTHSiG, 5720919]
[paragraph, [227.0, 1962.0, 872.0, 36.0], xxCsJTHSiG, 5720919]
[paragraph, [234.0, 2033.0, 312.0, 36.0], shoonya_2s3Y4NW5C3LXF3, 5720919]
[paragraph, [169.0, 2084.0, 1263.0, 36.0], luafoozRrq, 5720919]
[paragraph, [169.0, 2120.0, 1263.0, 36.0], luafoozRrq, 5720919]
