[1755, 1240]
[chapter-title, [486.0, 198.0, 264.0, 58.5], 9QrznC-9Vm, 5704312]
[chapter-title, [243.0, 297.0, 747.0, 58.5], shoonya_3s1489EYOLKDY6, 5704312]
[paragraph, [180.0, 391.0, 878.0, 36.0], shoonya_0sDHA1XAGEV1KA, 5704312]
[paragraph, [180.0, 427.0, 878.0, 36.0], shoonya_0sDHA1XAGEV1KA, 5704312]
[paragraph, [180.0, 463.0, 878.0, 36.0], shoonya_0sDHA1XAGEV1KA, 5704312]
[paragraph, [180.0, 499.0, 878.0, 36.0], shoonya_0sDHA1XAGEV1KA, 5704312]
[paragraph, [180.0, 535.0, 878.0, 36.0], shoonya_0sDHA1XAGEV1KA, 5704312]
[paragraph, [180.0, 571.0, 878.0, 36.0], shoonya_0sDHA1XAGEV1KA, 5704312]
[paragraph, [180.0, 607.0, 878.0, 36.0], shoonya_0sDHA1XAGEV1KA, 5704312]
[paragraph, [180.0, 643.0, 878.0, 36.0], shoonya_0sDHA1XAGEV1KA, 5704312]
[paragraph, [180.0, 679.0, 878.0, 36.0], shoonya_0sDHA1XAGEV1KA, 5704312]
[paragraph, [180.0, 715.0, 878.0, 36.0], shoonya_0sDHA1XAGEV1KA, 5704312]
[paragraph, [180.0, 751.0, 878.0, 36.0], shoonya_0sDHA1XAGEV1KA, 5704312]
[paragraph, [180.0, 787.0, 878.0, 36.0], shoonya_0sDHA1XAGEV1KA, 5704312]
[section-title, [182.0, 865.0, 232.0, 49.5], shoonya_5sK5JPDXZLFQD4, 5704312]
[paragraph, [182.0, 944.0, 878.0, 36.0], shoonya_4sCRTHNSNQGOCH, 5704312]
[paragraph, [182.0, 980.0, 878.0, 36.0], shoonya_4sCRTHNSNQGOCH, 5704312]
[paragraph, [182.0, 1016.0, 878.0, 36.0], shoonya_4sCRTHNSNQGOCH, 5704312]
[paragraph, [182.0, 1052.0, 878.0, 36.0], shoonya_4sCRTHNSNQGOCH, 5704312]
[paragraph, [180.0, 1129.0, 879.0, 36.0], shoonya_1s9OPEP55U24J5, 5704312]
[paragraph, [180.0, 1165.0, 879.0, 36.0], shoonya_1s9OPEP55U24J5, 5704312]
[paragraph, [180.0, 1201.0, 879.0, 36.0], shoonya_1s9OPEP55U24J5, 5704312]
[paragraph, [180.0, 1237.0, 879.0, 36.0], shoonya_1s9OPEP55U24J5, 5704312]
[paragraph, [180.0, 1273.0, 879.0, 36.0], shoonya_1s9OPEP55U24J5, 5704312]
[paragraph, [180.0, 1309.0, 879.0, 36.0], shoonya_1s9OPEP55U24J5, 5704312]
[paragraph, [180.0, 1345.0, 879.0, 36.0], shoonya_1s9OPEP55U24J5, 5704312]
[paragraph, [180.0, 1381.0, 879.0, 36.0], shoonya_1s9OPEP55U24J5, 5704312]
[paragraph, [180.0, 1417.0, 879.0, 36.0], shoonya_1s9OPEP55U24J5, 5704312]
[paragraph, [180.0, 1453.0, 879.0, 36.0], shoonya_1s9OPEP55U24J5, 5704312]
