[567, 454]
[paragraph, [34.0, 31.0, 187.0, 18.0], shoonya_0sKN6SB13XTQ04, 6460311]
[paragraph, [34.0, 49.0, 187.0, 18.0], shoonya_0sKN6SB13XTQ04, 6460311]
[paragraph, [228.0, 32.0, 74.0, 18.0], AvwykJwNN3, 6460311]
[paragraph, [226.0, 54.0, 192.0, 18.0], EQnNjtuyEg, 6460311]
[paragraph, [226.0, 72.0, 192.0, 18.0], EQnNjtuyEg, 6460311]
[paragraph, [35.0, 75.0, 190.0, 18.0], uImuMexqwf, 6460311]
[paragraph, [35.0, 93.0, 190.0, 18.0], uImuMexqwf, 6460311]
[paragraph, [35.0, 111.0, 190.0, 18.0], uImuMexqwf, 6460311]
[paragraph, [35.0, 129.0, 190.0, 18.0], uImuMexqwf, 6460311]
[paragraph, [35.0, 147.0, 190.0, 18.0], uImuMexqwf, 6460311]
[paragraph, [35.0, 165.0, 190.0, 18.0], uImuMexqwf, 6460311]
[paragraph, [35.0, 183.0, 190.0, 18.0], uImuMexqwf, 6460311]
[paragraph, [35.0, 201.0, 190.0, 18.0], uImuMexqwf, 6460311]
[paragraph, [35.0, 219.0, 190.0, 18.0], uImuMexqwf, 6460311]
[paragraph, [35.0, 237.0, 190.0, 18.0], uImuMexqwf, 6460311]
[paragraph, [35.0, 255.0, 190.0, 18.0], uImuMexqwf, 6460311]
[paragraph, [228.0, 91.0, 189.0, 18.0], RyTam2Gi4L, 6460311]
[paragraph, [228.0, 109.0, 189.0, 18.0], RyTam2Gi4L, 6460311]
[paragraph, [228.0, 127.0, 189.0, 18.0], RyTam2Gi4L, 6460311]
[paragraph, [228.0, 145.0, 189.0, 18.0], RyTam2Gi4L, 6460311]
[paragraph, [228.0, 163.0, 189.0, 18.0], RyTam2Gi4L, 6460311]
[paragraph, [228.0, 181.0, 189.0, 18.0], RyTam2Gi4L, 6460311]
[paragraph, [228.0, 199.0, 189.0, 18.0], RyTam2Gi4L, 6460311]
[paragraph, [228.0, 217.0, 189.0, 18.0], RyTam2Gi4L, 6460311]
[paragraph, [228.0, 235.0, 189.0, 18.0], RyTam2Gi4L, 6460311]
[paragraph, [225.0, 258.0, 192.0, 18.0], YNV9cyq5df, 6460311]
[paragraph, [225.0, 276.0, 192.0, 18.0], YNV9cyq5df, 6460311]
[paragraph, [34.0, 274.0, 190.0, 18.0], WgSHHKyZkH, 6460311]
[paragraph, [34.0, 292.0, 190.0, 18.0], WgSHHKyZkH, 6460311]
[paragraph, [34.0, 310.0, 190.0, 18.0], WgSHHKyZkH, 6460311]
[paragraph, [34.0, 328.0, 190.0, 18.0], WgSHHKyZkH, 6460311]
[paragraph, [34.0, 346.0, 190.0, 18.0], WgSHHKyZkH, 6460311]
[paragraph, [34.0, 364.0, 190.0, 18.0], WgSHHKyZkH, 6460311]
[paragraph, [226.0, 310.0, 192.0, 18.0], 6D_YojEet8, 6460311]
[paragraph, [226.0, 328.0, 192.0, 18.0], 6D_YojEet8, 6460311]
[paragraph, [226.0, 346.0, 192.0, 18.0], 6D_YojEet8, 6460311]
[paragraph, [226.0, 364.0, 192.0, 18.0], 6D_YojEet8, 6460311]
