[3508, 2481]
[ordered-list, [230.0, 95.0, 2032.0, 52.5], ozDVC8Zm32, 6490672]
[ordered-list, [230.0, 147.5, 2032.0, 52.5], ozDVC8Zm32, 6490672]
[ordered-list, [230.0, 200.0, 2032.0, 52.5], ozDVC8Zm32, 6490672]
[ordered-list, [230.0, 252.5, 2032.0, 52.5], ozDVC8Zm32, 6490672]
[paragraph, [183.0, 422.0, 2086.0, 52.5], jXNOArCuDS, 6490672]
[paragraph, [183.0, 474.5, 2086.0, 52.5], jXNOArCuDS, 6490672]
[paragraph, [183.0, 527.0, 2086.0, 52.5], jXNOArCuDS, 6490672]
[paragraph, [189.0, 724.0, 2089.0, 52.5], udFUxCwbP4, 6490672]
[paragraph, [189.0, 776.5, 2089.0, 52.5], udFUxCwbP4, 6490672]
[paragraph, [189.0, 829.0, 2089.0, 52.5], udFUxCwbP4, 6490672]
[paragraph, [189.0, 881.5, 2089.0, 52.5], udFUxCwbP4, 6490672]
[paragraph, [189.0, 934.0, 2089.0, 52.5], udFUxCwbP4, 6490672]
[paragraph, [189.0, 986.5, 2089.0, 52.5], udFUxCwbP4, 6490672]
[paragraph, [189.0, 1039.0, 2089.0, 52.5], udFUxCwbP4, 6490672]
[paragraph, [189.0, 1091.5, 2089.0, 52.5], udFUxCwbP4, 6490672]
[paragraph, [189.0, 1144.0, 2089.0, 52.5], udFUxCwbP4, 6490672]
[paragraph, [180.0, 1262.0, 2107.0, 52.5], xvSRpSNsQ_, 6490672]
[paragraph, [180.0, 1314.5, 2107.0, 52.5], xvSRpSNsQ_, 6490672]
[paragraph, [180.0, 1367.0, 2107.0, 52.5], xvSRpSNsQ_, 6490672]
[paragraph, [180.0, 1419.5, 2107.0, 52.5], xvSRpSNsQ_, 6490672]
[paragraph, [180.0, 1472.0, 2107.0, 52.5], xvSRpSNsQ_, 6490672]
[paragraph, [180.0, 1524.5, 2107.0, 52.5], xvSRpSNsQ_, 6490672]
[paragraph, [180.0, 1577.0, 2107.0, 52.5], xvSRpSNsQ_, 6490672]
[paragraph, [180.0, 1629.5, 2107.0, 52.5], xvSRpSNsQ_, 6490672]
[paragraph, [180.0, 1682.0, 2107.0, 52.5], xvSRpSNsQ_, 6490672]
[paragraph, [180.0, 1734.5, 2107.0, 52.5], xvSRpSNsQ_, 6490672]
[paragraph, [180.0, 1787.0, 2107.0, 52.5], xvSRpSNsQ_, 6490672]
[paragraph, [180.0, 1839.5, 2107.0, 52.5], xvSRpSNsQ_, 6490672]
[paragraph, [180.0, 1892.0, 2107.0, 52.5], xvSRpSNsQ_, 6490672]
[paragraph, [180.0, 1944.5, 2107.0, 52.5], xvSRpSNsQ_, 6490672]
[paragraph, [180.0, 1997.0, 2107.0, 52.5], xvSRpSNsQ_, 6490672]
[paragraph, [180.0, 2049.5, 2107.0, 52.5], xvSRpSNsQ_, 6490672]
[paragraph, [180.0, 2102.0, 2107.0, 52.5], xvSRpSNsQ_, 6490672]
[paragraph, [180.0, 2154.5, 2107.0, 52.5], xvSRpSNsQ_, 6490672]
[contact-info, [189.0, 2282.0, 512.0, 52.5], uqYhwzv_5x, 6490672]
[contact-info, [189.0, 2334.5, 512.0, 52.5], uqYhwzv_5x, 6490672]
