[1823, 1375]
[folio, [625.0, 103.0, 117.0, 36.0], shoonya_6sRZ7CC4EWRVKC, 5683566]
[folio, [999.0, 105.0, 279.0, 36.0], shoonya_5s1E4VU1AL2WKS, 5683566]
[paragraph, [110.0, 167.0, 578.0, 36.0], shoonya_0s3FTC25TPPM74, 5683566]
[paragraph, [110.0, 203.0, 578.0, 36.0], shoonya_0s3FTC25TPPM74, 5683566]
[paragraph, [110.0, 239.0, 578.0, 36.0], shoonya_0s3FTC25TPPM74, 5683566]
[paragraph, [702.0, 170.0, 562.0, 36.0], shoonya_9s5GS1B4DOPT0O, 5683566]
[paragraph, [702.0, 206.0, 562.0, 36.0], shoonya_9s5GS1B4DOPT0O, 5683566]
[paragraph, [702.0, 242.0, 562.0, 36.0], shoonya_9s5GS1B4DOPT0O, 5683566]
[paragraph, [702.0, 278.0, 562.0, 36.0], shoonya_9s5GS1B4DOPT0O, 5683566]
[paragraph, [702.0, 314.0, 562.0, 36.0], shoonya_9s5GS1B4DOPT0O, 5683566]
[paragraph, [702.0, 350.0, 562.0, 36.0], shoonya_9s5GS1B4DOPT0O, 5683566]
[paragraph, [702.0, 386.0, 562.0, 36.0], shoonya_9s5GS1B4DOPT0O, 5683566]
[paragraph, [702.0, 422.0, 562.0, 36.0], shoonya_9s5GS1B4DOPT0O, 5683566]
[paragraph, [702.0, 458.0, 562.0, 36.0], shoonya_9s5GS1B4DOPT0O, 5683566]
[paragraph, [702.0, 494.0, 562.0, 36.0], shoonya_9s5GS1B4DOPT0O, 5683566]
[paragraph, [702.0, 530.0, 562.0, 36.0], shoonya_9s5GS1B4DOPT0O, 5683566]
[paragraph, [702.0, 566.0, 562.0, 36.0], shoonya_9s5GS1B4DOPT0O, 5683566]
[paragraph, [702.0, 602.0, 562.0, 36.0], shoonya_9s5GS1B4DOPT0O, 5683566]
[paragraph, [702.0, 638.0, 562.0, 36.0], shoonya_9s5GS1B4DOPT0O, 5683566]
[paragraph, [702.0, 674.0, 562.0, 36.0], shoonya_9s5GS1B4DOPT0O, 5683566]
[paragraph, [702.0, 710.0, 562.0, 36.0], shoonya_9s5GS1B4DOPT0O, 5683566]
[paragraph, [702.0, 746.0, 562.0, 36.0], shoonya_9s5GS1B4DOPT0O, 5683566]
[paragraph, [702.0, 782.0, 562.0, 36.0], shoonya_9s5GS1B4DOPT0O, 5683566]
[paragraph, [702.0, 818.0, 562.0, 36.0], shoonya_9s5GS1B4DOPT0O, 5683566]
[paragraph, [702.0, 854.0, 562.0, 36.0], shoonya_9s5GS1B4DOPT0O, 5683566]
[paragraph, [113.0, 307.0, 574.0, 36.0], shoonya_1sG8D2X6UIOX8I, 5683566]
[paragraph, [113.0, 343.0, 574.0, 36.0], shoonya_1sG8D2X6UIOX8I, 5683566]
[paragraph, [113.0, 379.0, 574.0, 36.0], shoonya_1sG8D2X6UIOX8I, 5683566]
[paragraph, [113.0, 415.0, 574.0, 36.0], shoonya_1sG8D2X6UIOX8I, 5683566]
[paragraph, [113.0, 451.0, 574.0, 36.0], shoonya_1sG8D2X6UIOX8I, 5683566]
[paragraph, [113.0, 487.0, 574.0, 36.0], shoonya_1sG8D2X6UIOX8I, 5683566]
[paragraph, [113.0, 523.0, 574.0, 36.0], shoonya_1sG8D2X6UIOX8I, 5683566]
[paragraph, [113.0, 559.0, 574.0, 36.0], shoonya_1sG8D2X6UIOX8I, 5683566]
[paragraph, [113.0, 595.0, 574.0, 36.0], shoonya_1sG8D2X6UIOX8I, 5683566]
[paragraph, [113.0, 631.0, 574.0, 36.0], shoonya_1sG8D2X6UIOX8I, 5683566]
[paragraph, [113.0, 667.0, 574.0, 36.0], shoonya_1sG8D2X6UIOX8I, 5683566]
[paragraph, [113.0, 703.0, 574.0, 36.0], shoonya_1sG8D2X6UIOX8I, 5683566]
[paragraph, [116.0, 779.0, 573.0, 36.0], shoonya_4sYI6TPP89Y263, 5683566]
[paragraph, [116.0, 815.0, 573.0, 36.0], shoonya_4sYI6TPP89Y263, 5683566]
[paragraph, [116.0, 851.0, 573.0, 36.0], shoonya_4sYI6TPP89Y263, 5683566]
[paragraph, [116.0, 887.0, 573.0, 36.0], shoonya_4sYI6TPP89Y263, 5683566]
[paragraph, [116.0, 923.0, 573.0, 36.0], shoonya_4sYI6TPP89Y263, 5683566]
[paragraph, [702.0, 903.0, 569.0, 36.0], TZaY9B0S7_, 5683566]
[paragraph, [702.0, 939.0, 569.0, 36.0], TZaY9B0S7_, 5683566]
[paragraph, [702.0, 975.0, 569.0, 36.0], TZaY9B0S7_, 5683566]
[paragraph, [702.0, 1011.0, 569.0, 36.0], TZaY9B0S7_, 5683566]
[paragraph, [702.0, 1047.0, 569.0, 36.0], TZaY9B0S7_, 5683566]
[paragraph, [702.0, 1083.0, 569.0, 36.0], TZaY9B0S7_, 5683566]
[paragraph, [702.0, 1119.0, 569.0, 36.0], TZaY9B0S7_, 5683566]
[paragraph, [702.0, 1155.0, 569.0, 36.0], TZaY9B0S7_, 5683566]
[paragraph, [702.0, 1191.0, 569.0, 36.0], TZaY9B0S7_, 5683566]
[paragraph, [702.0, 1227.0, 569.0, 36.0], TZaY9B0S7_, 5683566]
[paragraph, [702.0, 1263.0, 569.0, 36.0], TZaY9B0S7_, 5683566]
[paragraph, [702.0, 1299.0, 569.0, 36.0], TZaY9B0S7_, 5683566]
