[975, 573]
[paragraph, [19.0, 68.0, 523.0, 18.0], shoonya_0sCFVTN869BLA5, 5776256]
[paragraph, [19.0, 86.0, 523.0, 18.0], shoonya_0sCFVTN869BLA5, 5776256]
[paragraph, [19.0, 104.0, 523.0, 18.0], shoonya_0sCFVTN869BLA5, 5776256]
[paragraph, [19.0, 122.0, 523.0, 18.0], shoonya_0sCFVTN869BLA5, 5776256]
[paragraph, [19.0, 140.0, 523.0, 18.0], shoonya_0sCFVTN869BLA5, 5776256]
[paragraph, [19.0, 158.0, 523.0, 18.0], shoonya_0sCFVTN869BLA5, 5776256]
[paragraph, [19.0, 176.0, 523.0, 18.0], shoonya_0sCFVTN869BLA5, 5776256]
[paragraph, [19.0, 194.0, 523.0, 18.0], shoonya_0sCFVTN869BLA5, 5776256]
[paragraph, [19.0, 212.0, 523.0, 18.0], shoonya_0sCFVTN869BLA5, 5776256]
[paragraph, [19.0, 230.0, 523.0, 18.0], shoonya_0sCFVTN869BLA5, 5776256]
[paragraph, [19.0, 248.0, 523.0, 18.0], shoonya_0sCFVTN869BLA5, 5776256]
[paragraph, [22.0, 265.0, 518.0, 18.0], shoonya_2sU4QMXRV8LI4D, 5776256]
[paragraph, [22.0, 283.0, 518.0, 18.0], shoonya_2sU4QMXRV8LI4D, 5776256]
[paragraph, [22.0, 301.0, 518.0, 18.0], shoonya_2sU4QMXRV8LI4D, 5776256]
[paragraph, [22.0, 319.0, 518.0, 18.0], shoonya_2sU4QMXRV8LI4D, 5776256]
[paragraph, [21.0, 341.0, 518.0, 18.0], shoonya_1s33BBISC0MKCP, 5776256]
[paragraph, [21.0, 359.0, 518.0, 18.0], shoonya_1s33BBISC0MKCP, 5776256]
[paragraph, [21.0, 377.0, 518.0, 18.0], shoonya_1s33BBISC0MKCP, 5776256]
[paragraph, [21.0, 395.0, 518.0, 18.0], shoonya_1s33BBISC0MKCP, 5776256]
[paragraph, [21.0, 413.0, 518.0, 18.0], shoonya_1s33BBISC0MKCP, 5776256]
[paragraph, [21.0, 431.0, 518.0, 18.0], shoonya_1s33BBISC0MKCP, 5776256]
[paragraph, [21.0, 449.0, 518.0, 18.0], shoonya_1s33BBISC0MKCP, 5776256]
[paragraph, [21.0, 467.0, 518.0, 18.0], shoonya_1s33BBISC0MKCP, 5776256]
[paragraph, [21.0, 485.0, 518.0, 18.0], shoonya_1s33BBISC0MKCP, 5776256]
[paragraph, [21.0, 503.0, 518.0, 18.0], shoonya_1s33BBISC0MKCP, 5776256]
[paragraph, [21.0, 521.0, 518.0, 18.0], shoonya_1s33BBISC0MKCP, 5776256]
[paragraph, [21.0, 539.0, 518.0, 18.0], shoonya_1s33BBISC0MKCP, 5776256]
[paragraph, [21.0, 557.0, 518.0, 18.0], shoonya_1s33BBISC0MKCP, 5776256]
[paragraph, [21.0, 575.0, 518.0, 18.0], shoonya_1s33BBISC0MKCP, 5776256]
[paragraph, [21.0, 593.0, 518.0, 18.0], shoonya_1s33BBISC0MKCP, 5776256]
[paragraph, [21.0, 611.0, 518.0, 18.0], shoonya_1s33BBISC0MKCP, 5776256]
[paragraph, [21.0, 629.0, 518.0, 18.0], shoonya_1s33BBISC0MKCP, 5776256]
[paragraph, [21.0, 647.0, 518.0, 18.0], shoonya_1s33BBISC0MKCP, 5776256]
[paragraph, [21.0, 665.0, 518.0, 18.0], shoonya_1s33BBISC0MKCP, 5776256]
[paragraph, [21.0, 683.0, 518.0, 18.0], shoonya_1s33BBISC0MKCP, 5776256]
[paragraph, [21.0, 701.0, 518.0, 18.0], shoonya_1s33BBISC0MKCP, 5776256]
[paragraph, [21.0, 719.0, 518.0, 18.0], shoonya_1s33BBISC0MKCP, 5776256]
[paragraph, [21.0, 737.0, 518.0, 18.0], shoonya_1s33BBISC0MKCP, 5776256]
[paragraph, [21.0, 755.0, 518.0, 18.0], shoonya_1s33BBISC0MKCP, 5776256]
[paragraph, [21.0, 773.0, 518.0, 18.0], shoonya_1s33BBISC0MKCP, 5776256]
[paragraph, [21.0, 791.0, 518.0, 18.0], shoonya_1s33BBISC0MKCP, 5776256]
[paragraph, [21.0, 809.0, 518.0, 18.0], shoonya_1s33BBISC0MKCP, 5776256]
[paragraph, [21.0, 827.0, 518.0, 18.0], shoonya_1s33BBISC0MKCP, 5776256]
[paragraph, [21.0, 845.0, 518.0, 18.0], shoonya_1s33BBISC0MKCP, 5776256]
[paragraph, [21.0, 863.0, 518.0, 18.0], shoonya_1s33BBISC0MKCP, 5776256]
[paragraph, [21.0, 881.0, 518.0, 18.0], shoonya_1s33BBISC0MKCP, 5776256]
