[1300, 900]
[folio, [405.0, 42.0, 121.0, 18.0], 6rt3jKbp51, 5731813]
[section-title, [354.0, 109.0, 220.0, 30.0], shoonya_9sWWZ1A4EZ9KOF, 5731813]
[paragraph, [121.0, 169.0, 697.0, 18.0], shoonya_0s7BGJ70KX3GQ5, 5731813]
[paragraph, [121.0, 187.0, 697.0, 18.0], shoonya_0s7BGJ70KX3GQ5, 5731813]
[paragraph, [121.0, 205.0, 697.0, 18.0], shoonya_0s7BGJ70KX3GQ5, 5731813]
[paragraph, [121.0, 223.0, 697.0, 18.0], shoonya_0s7BGJ70KX3GQ5, 5731813]
[paragraph, [121.0, 241.0, 697.0, 18.0], shoonya_0s7BGJ70KX3GQ5, 5731813]
[paragraph, [121.0, 259.0, 697.0, 18.0], shoonya_0s7BGJ70KX3GQ5, 5731813]
[paragraph, [121.0, 277.0, 697.0, 18.0], shoonya_0s7BGJ70KX3GQ5, 5731813]
[paragraph, [118.0, 306.0, 696.0, 18.0], ofDN_rBnQk, 5731813]
[paragraph, [118.0, 324.0, 696.0, 18.0], ofDN_rBnQk, 5731813]
[paragraph, [118.0, 342.0, 696.0, 18.0], ofDN_rBnQk, 5731813]
[paragraph, [118.0, 360.0, 696.0, 18.0], ofDN_rBnQk, 5731813]
[paragraph, [118.0, 378.0, 696.0, 18.0], ofDN_rBnQk, 5731813]
[paragraph, [118.0, 396.0, 696.0, 18.0], ofDN_rBnQk, 5731813]
[paragraph, [118.0, 414.0, 696.0, 18.0], ofDN_rBnQk, 5731813]
[paragraph, [118.0, 432.0, 696.0, 18.0], ofDN_rBnQk, 5731813]
[paragraph, [118.0, 450.0, 696.0, 18.0], ofDN_rBnQk, 5731813]
[paragraph, [118.0, 468.0, 696.0, 18.0], ofDN_rBnQk, 5731813]
[paragraph, [117.0, 492.0, 699.0, 18.0], tWVGslAweh, 5731813]
[paragraph, [117.0, 510.0, 699.0, 18.0], tWVGslAweh, 5731813]
[paragraph, [117.0, 528.0, 699.0, 18.0], tWVGslAweh, 5731813]
[paragraph, [117.0, 546.0, 699.0, 18.0], tWVGslAweh, 5731813]
[paragraph, [117.0, 564.0, 699.0, 18.0], tWVGslAweh, 5731813]
[paragraph, [117.0, 582.0, 699.0, 18.0], tWVGslAweh, 5731813]
[paragraph, [117.0, 600.0, 699.0, 18.0], tWVGslAweh, 5731813]
[paragraph, [120.0, 633.0, 690.0, 18.0], 41zO8oQjYX, 5731813]
[paragraph, [120.0, 651.0, 690.0, 18.0], 41zO8oQjYX, 5731813]
[paragraph, [120.0, 669.0, 690.0, 18.0], 41zO8oQjYX, 5731813]
[paragraph, [120.0, 687.0, 690.0, 18.0], 41zO8oQjYX, 5731813]
[paragraph, [120.0, 705.0, 690.0, 18.0], 41zO8oQjYX, 5731813]
[paragraph, [121.0, 726.0, 689.0, 18.0], 4cKX180xm5, 5731813]
[paragraph, [121.0, 744.0, 689.0, 18.0], 4cKX180xm5, 5731813]
[paragraph, [121.0, 762.0, 689.0, 18.0], 4cKX180xm5, 5731813]
[paragraph, [121.0, 780.0, 689.0, 18.0], 4cKX180xm5, 5731813]
[paragraph, [130.0, 818.0, 684.0, 18.0], Q8q7jqCekx, 5731813]
[paragraph, [130.0, 836.0, 684.0, 18.0], Q8q7jqCekx, 5731813]
[paragraph, [130.0, 854.0, 684.0, 18.0], Q8q7jqCekx, 5731813]
[paragraph, [130.0, 872.0, 684.0, 18.0], Q8q7jqCekx, 5731813]
[paragraph, [130.0, 890.0, 684.0, 18.0], Q8q7jqCekx, 5731813]
[paragraph, [130.0, 908.0, 684.0, 18.0], Q8q7jqCekx, 5731813]
[paragraph, [130.0, 926.0, 684.0, 18.0], Q8q7jqCekx, 5731813]
[paragraph, [130.0, 944.0, 684.0, 18.0], Q8q7jqCekx, 5731813]
[paragraph, [130.0, 962.0, 684.0, 18.0], Q8q7jqCekx, 5731813]
[paragraph, [130.0, 980.0, 684.0, 18.0], Q8q7jqCekx, 5731813]
[paragraph, [127.0, 1007.0, 688.0, 18.0], 4dlIH3Qmfy, 5731813]
[paragraph, [127.0, 1025.0, 688.0, 18.0], 4dlIH3Qmfy, 5731813]
[paragraph, [127.0, 1043.0, 688.0, 18.0], 4dlIH3Qmfy, 5731813]
[paragraph, [127.0, 1061.0, 688.0, 18.0], 4dlIH3Qmfy, 5731813]
[paragraph, [127.0, 1079.0, 688.0, 18.0], 4dlIH3Qmfy, 5731813]
[paragraph, [126.0, 1102.0, 688.0, 18.0], MogcH8qaiP, 5731813]
[paragraph, [126.0, 1120.0, 688.0, 18.0], MogcH8qaiP, 5731813]
[paragraph, [129.0, 1150.0, 687.0, 18.0], empy9DaZRh, 5731813]
[paragraph, [129.0, 1168.0, 687.0, 18.0], empy9DaZRh, 5731813]
[paragraph, [129.0, 1186.0, 687.0, 18.0], empy9DaZRh, 5731813]
[paragraph, [129.0, 1204.0, 687.0, 18.0], empy9DaZRh, 5731813]
