[842, 596]
[headline, [169.0, 94.0, 250.0, 25.5], DjkXbV5qSk, 5770829]
[headline, [169.0, 119.5, 250.0, 25.5], DjkXbV5qSk, 5770829]
[headline, [169.0, 145.0, 250.0, 25.5], DjkXbV5qSk, 5770829]
[headline, [169.0, 170.5, 250.0, 25.5], DjkXbV5qSk, 5770829]
[folio, [208.0, 220.0, 178.0, 18.0], 2FoTe-qE9h, 5770829]
[sub-headline, [76.0, 290.0, 444.0, 25.5], XOSQtSK6qI, 5770829]
[paragraph, [85.0, 349.0, 425.0, 18.0], shoonya_0sSSJ7TP506LU4, 5770829]
[paragraph, [85.0, 367.0, 425.0, 18.0], shoonya_0sSSJ7TP506LU4, 5770829]
[paragraph, [85.0, 385.0, 425.0, 18.0], shoonya_0sSSJ7TP506LU4, 5770829]
[paragraph, [85.0, 403.0, 425.0, 18.0], shoonya_0sSSJ7TP506LU4, 5770829]
[paragraph, [85.0, 421.0, 425.0, 18.0], shoonya_0sSSJ7TP506LU4, 5770829]
[paragraph, [85.0, 439.0, 425.0, 18.0], shoonya_0sSSJ7TP506LU4, 5770829]
[paragraph, [85.0, 457.0, 425.0, 18.0], shoonya_0sSSJ7TP506LU4, 5770829]
[paragraph, [85.0, 475.0, 425.0, 18.0], shoonya_0sSSJ7TP506LU4, 5770829]
[paragraph, [85.0, 493.0, 425.0, 18.0], shoonya_0sSSJ7TP506LU4, 5770829]
[paragraph, [85.0, 511.0, 425.0, 18.0], shoonya_0sSSJ7TP506LU4, 5770829]
[paragraph, [85.0, 529.0, 425.0, 18.0], shoonya_0sSSJ7TP506LU4, 5770829]
[paragraph, [85.0, 547.0, 425.0, 18.0], shoonya_0sSSJ7TP506LU4, 5770829]
[paragraph, [85.0, 565.0, 425.0, 18.0], shoonya_0sSSJ7TP506LU4, 5770829]
[paragraph, [85.0, 583.0, 425.0, 18.0], shoonya_0sSSJ7TP506LU4, 5770829]
[paragraph, [85.0, 601.0, 425.0, 18.0], shoonya_0sSSJ7TP506LU4, 5770829]
[paragraph, [85.0, 619.0, 425.0, 18.0], shoonya_0sSSJ7TP506LU4, 5770829]
[paragraph, [85.0, 637.0, 425.0, 18.0], shoonya_0sSSJ7TP506LU4, 5770829]
[paragraph, [85.0, 655.0, 425.0, 18.0], shoonya_0sSSJ7TP506LU4, 5770829]
[paragraph, [85.0, 673.0, 425.0, 18.0], shoonya_0sSSJ7TP506LU4, 5770829]
[paragraph, [85.0, 691.0, 425.0, 18.0], shoonya_0sSSJ7TP506LU4, 5770829]
[paragraph, [85.0, 709.0, 425.0, 18.0], shoonya_0sSSJ7TP506LU4, 5770829]
[paragraph, [85.0, 727.0, 425.0, 18.0], shoonya_0sSSJ7TP506LU4, 5770829]
