[792, 576]
[section-title, [232.0, 58.0, 303.0, 30.0], kImiOMw0Z6, 5656225]
[section-title, [232.0, 88.0, 303.0, 30.0], kImiOMw0Z6, 5656225]
[section-title, [232.0, 118.0, 303.0, 30.0], kImiOMw0Z6, 5656225]
[folio, [243.0, 199.0, 270.0, 18.0], shoonya_2sJC4AN5U97ASO, 5656225]
[folio, [243.0, 217.0, 270.0, 18.0], shoonya_2sJC4AN5U97ASO, 5656225]
[folio, [243.0, 235.0, 270.0, 18.0], shoonya_2sJC4AN5U97ASO, 5656225]
[folio, [243.0, 253.0, 270.0, 18.0], shoonya_2sJC4AN5U97ASO, 5656225]
[folio, [243.0, 271.0, 270.0, 18.0], shoonya_2sJC4AN5U97ASO, 5656225]
[folio, [243.0, 289.0, 270.0, 18.0], shoonya_2sJC4AN5U97ASO, 5656225]
[folio, [243.0, 307.0, 270.0, 18.0], shoonya_2sJC4AN5U97ASO, 5656225]
[folio, [243.0, 325.0, 270.0, 18.0], shoonya_2sJC4AN5U97ASO, 5656225]
[website-link, [14.0, 729.0, 124.0, 18.0], LieT72T1Eg, 5656225]
[contact-info, [17.0, 752.0, 188.0, 18.0], 9JzOYQ-00F, 5656225]
