[590, 396]
[chapter-title, [67.0, 95.0, 108.0, 30.0], EG2J11CW5L, 6513294]
[paragraph, [68.0, 143.0, 295.0, 18.0], shoonya_1sWPUQNB7PFOH9, 6513294]
[paragraph, [68.0, 161.0, 295.0, 18.0], shoonya_1sWPUQNB7PFOH9, 6513294]
[paragraph, [68.0, 179.0, 295.0, 18.0], shoonya_1sWPUQNB7PFOH9, 6513294]
[paragraph, [68.0, 197.0, 295.0, 18.0], shoonya_1sWPUQNB7PFOH9, 6513294]
[paragraph, [68.0, 215.0, 295.0, 18.0], shoonya_1sWPUQNB7PFOH9, 6513294]
[paragraph, [67.0, 238.0, 296.0, 18.0], shoonya_3sNNW3V2UYOGXC, 6513294]
[paragraph, [67.0, 256.0, 296.0, 18.0], shoonya_3sNNW3V2UYOGXC, 6513294]
[paragraph, [67.0, 274.0, 296.0, 18.0], shoonya_3sNNW3V2UYOGXC, 6513294]
[paragraph, [67.0, 292.0, 296.0, 18.0], shoonya_3sNNW3V2UYOGXC, 6513294]
[paragraph, [67.0, 310.0, 296.0, 18.0], shoonya_3sNNW3V2UYOGXC, 6513294]
[paragraph, [69.0, 330.0, 294.0, 18.0], shoonya_2s4Y4M18PTMS05, 6513294]
[paragraph, [69.0, 348.0, 294.0, 18.0], shoonya_2s4Y4M18PTMS05, 6513294]
[paragraph, [69.0, 366.0, 294.0, 18.0], shoonya_2s4Y4M18PTMS05, 6513294]
[paragraph, [69.0, 384.0, 294.0, 18.0], shoonya_2s4Y4M18PTMS05, 6513294]
[paragraph, [69.0, 402.0, 294.0, 18.0], shoonya_2s4Y4M18PTMS05, 6513294]
[paragraph, [69.0, 420.0, 294.0, 18.0], shoonya_2s4Y4M18PTMS05, 6513294]
[paragraph, [66.0, 441.0, 297.0, 18.0], shoonya_0s0711V4RV588E, 6513294]
[paragraph, [66.0, 459.0, 297.0, 18.0], shoonya_0s0711V4RV588E, 6513294]
[paragraph, [66.0, 477.0, 297.0, 18.0], shoonya_0s0711V4RV588E, 6513294]
[paragraph, [66.0, 495.0, 297.0, 18.0], shoonya_0s0711V4RV588E, 6513294]
