[1763, 1275]
[headline, [91.0, 94.0, 1041.0, 37.5], 9kuxHcfFUx, 5712925]
[headline, [91.0, 131.5, 1041.0, 37.5], 9kuxHcfFUx, 5712925]
[headline, [91.0, 169.0, 1041.0, 37.5], 9kuxHcfFUx, 5712925]
[headline, [91.0, 206.5, 1041.0, 37.5], 9kuxHcfFUx, 5712925]
[headline, [91.0, 244.0, 1041.0, 37.5], 9kuxHcfFUx, 5712925]
[headline, [91.0, 281.5, 1041.0, 37.5], 9kuxHcfFUx, 5712925]
[headline, [91.0, 319.0, 1041.0, 37.5], 9kuxHcfFUx, 5712925]
[headline, [91.0, 356.5, 1041.0, 37.5], 9kuxHcfFUx, 5712925]
[headline, [91.0, 394.0, 1041.0, 37.5], 9kuxHcfFUx, 5712925]
[headline, [91.0, 431.5, 1041.0, 37.5], 9kuxHcfFUx, 5712925]
[headline, [91.0, 469.0, 1041.0, 37.5], 9kuxHcfFUx, 5712925]
[headline, [91.0, 506.5, 1041.0, 37.5], 9kuxHcfFUx, 5712925]
[headline, [91.0, 544.0, 1041.0, 37.5], 9kuxHcfFUx, 5712925]
[headline, [91.0, 581.5, 1041.0, 37.5], 9kuxHcfFUx, 5712925]
[paragraph, [30.0, 662.0, 1159.0, 36.0], F_092i87TU, 5712925]
[paragraph, [30.0, 698.0, 1159.0, 36.0], F_092i87TU, 5712925]
[paragraph, [30.0, 734.0, 1159.0, 36.0], F_092i87TU, 5712925]
[paragraph, [30.0, 770.0, 1159.0, 36.0], F_092i87TU, 5712925]
[paragraph, [30.0, 806.0, 1159.0, 36.0], F_092i87TU, 5712925]
[paragraph, [30.0, 842.0, 1159.0, 36.0], F_092i87TU, 5712925]
[paragraph, [30.0, 878.0, 1159.0, 36.0], F_092i87TU, 5712925]
[paragraph, [30.0, 914.0, 1159.0, 36.0], F_092i87TU, 5712925]
[paragraph, [30.0, 950.0, 1159.0, 36.0], F_092i87TU, 5712925]
[paragraph, [30.0, 986.0, 1159.0, 36.0], F_092i87TU, 5712925]
[paragraph, [30.0, 1022.0, 1159.0, 36.0], F_092i87TU, 5712925]
[paragraph, [30.0, 1058.0, 1159.0, 36.0], F_092i87TU, 5712925]
[section-title, [68.0, 1101.0, 1110.0, 49.5], bf_nBCOC5h, 5712925]
[section-title, [68.0, 1150.5, 1110.0, 49.5], bf_nBCOC5h, 5712925]
[sub-section-title, [371.0, 1233.0, 471.0, 36.0], 6-v2Egvv1r, 5712925]
[sub-section-title, [371.0, 1269.0, 471.0, 36.0], 6-v2Egvv1r, 5712925]
[folio, [84.0, 1257.0, 285.0, 36.0], KJBmtXFDyv, 5712925]
[folio, [84.0, 1293.0, 285.0, 36.0], KJBmtXFDyv, 5712925]
[folio, [84.0, 1329.0, 285.0, 36.0], KJBmtXFDyv, 5712925]
[folio, [84.0, 1365.0, 285.0, 36.0], KJBmtXFDyv, 5712925]
[folio, [84.0, 1401.0, 285.0, 36.0], KJBmtXFDyv, 5712925]
[folio, [829.0, 1262.0, 305.0, 36.0], uOhGDYSHss, 5712925]
[folio, [829.0, 1298.0, 305.0, 36.0], uOhGDYSHss, 5712925]
[folio, [829.0, 1334.0, 305.0, 36.0], uOhGDYSHss, 5712925]
[folio, [829.0, 1370.0, 305.0, 36.0], uOhGDYSHss, 5712925]
[folio, [829.0, 1406.0, 305.0, 36.0], uOhGDYSHss, 5712925]
[contact-info, [45.0, 1468.0, 1152.0, 36.0], 9NqCSAdqhj, 5712925]
[contact-info, [45.0, 1504.0, 1152.0, 36.0], 9NqCSAdqhj, 5712925]
