[2339, 1656]
[headline, [594.0, 189.0, 468.0, 67.5], shoonya_0sZDF7YE8OIN30, 5753006]
[paragraph, [186.0, 329.0, 1119.0, 36.0], cp4cMPN8Zn, 5753006]
[paragraph, [186.0, 365.0, 1119.0, 36.0], cp4cMPN8Zn, 5753006]
[paragraph, [186.0, 401.0, 1119.0, 36.0], cp4cMPN8Zn, 5753006]
[paragraph, [186.0, 437.0, 1119.0, 36.0], cp4cMPN8Zn, 5753006]
[paragraph, [186.0, 473.0, 1119.0, 36.0], cp4cMPN8Zn, 5753006]
[paragraph, [186.0, 509.0, 1119.0, 36.0], cp4cMPN8Zn, 5753006]
[paragraph, [186.0, 545.0, 1119.0, 36.0], cp4cMPN8Zn, 5753006]
[paragraph, [186.0, 581.0, 1119.0, 36.0], cp4cMPN8Zn, 5753006]
[paragraph, [186.0, 617.0, 1119.0, 36.0], cp4cMPN8Zn, 5753006]
[paragraph, [186.0, 653.0, 1119.0, 36.0], cp4cMPN8Zn, 5753006]
[paragraph, [186.0, 689.0, 1119.0, 36.0], cp4cMPN8Zn, 5753006]
[paragraph, [184.0, 916.0, 1055.0, 36.0], xhwXMKE0uS, 5753006]
[paragraph, [184.0, 952.0, 1055.0, 36.0], xhwXMKE0uS, 5753006]
[paragraph, [184.0, 988.0, 1055.0, 36.0], xhwXMKE0uS, 5753006]
[paragraph, [184.0, 1024.0, 1055.0, 36.0], xhwXMKE0uS, 5753006]
[paragraph, [184.0, 1060.0, 1055.0, 36.0], xhwXMKE0uS, 5753006]
[paragraph, [184.0, 1096.0, 1055.0, 36.0], xhwXMKE0uS, 5753006]
[paragraph, [184.0, 1132.0, 1055.0, 36.0], xhwXMKE0uS, 5753006]
[paragraph, [184.0, 1168.0, 1055.0, 36.0], xhwXMKE0uS, 5753006]
[paragraph, [184.0, 1204.0, 1055.0, 36.0], xhwXMKE0uS, 5753006]
[paragraph, [184.0, 1240.0, 1055.0, 36.0], xhwXMKE0uS, 5753006]
[paragraph, [184.0, 1276.0, 1055.0, 36.0], xhwXMKE0uS, 5753006]
[paragraph, [184.0, 1312.0, 1055.0, 36.0], xhwXMKE0uS, 5753006]
[paragraph, [182.0, 1515.0, 1003.0, 36.0], eK7Oq2BgaQ, 5753006]
[paragraph, [182.0, 1551.0, 1003.0, 36.0], eK7Oq2BgaQ, 5753006]
[paragraph, [182.0, 1587.0, 1003.0, 36.0], eK7Oq2BgaQ, 5753006]
[paragraph, [182.0, 1623.0, 1003.0, 36.0], eK7Oq2BgaQ, 5753006]
[paragraph, [182.0, 1659.0, 1003.0, 36.0], eK7Oq2BgaQ, 5753006]
[paragraph, [182.0, 1695.0, 1003.0, 36.0], eK7Oq2BgaQ, 5753006]
[paragraph, [182.0, 1731.0, 1003.0, 36.0], eK7Oq2BgaQ, 5753006]
[paragraph, [182.0, 1767.0, 1003.0, 36.0], eK7Oq2BgaQ, 5753006]
[paragraph, [182.0, 1803.0, 1003.0, 36.0], eK7Oq2BgaQ, 5753006]
[paragraph, [182.0, 1839.0, 1003.0, 36.0], eK7Oq2BgaQ, 5753006]
[paragraph, [182.0, 1875.0, 1003.0, 36.0], eK7Oq2BgaQ, 5753006]
[paragraph, [182.0, 1911.0, 1003.0, 36.0], eK7Oq2BgaQ, 5753006]
[folio, [93.0, 2171.0, 175.0, 36.0], WJrFRG3WO7, 5753006]
[dateline, [279.0, 2171.0, 298.0, 64.5], zCEFt4CqSK, 5753006]
