[2282, 2238]
[headline, [0.0, 40.0, 2090.0, 67.5], shoonya_12sW3UWGNK95CE, 6473910]
[paragraph, [223.0, 637.0, 780.0, 36.0], uP12F3T2et, 6473910]
[paragraph, [223.0, 673.0, 780.0, 36.0], uP12F3T2et, 6473910]
[paragraph, [1183.0, 641.0, 795.0, 36.0], shoonya_9sDLPAU3Q9TJGK, 6473910]
[paragraph, [1183.0, 677.0, 795.0, 36.0], shoonya_9sDLPAU3Q9TJGK, 6473910]
[paragraph, [1183.0, 713.0, 795.0, 36.0], shoonya_9sDLPAU3Q9TJGK, 6473910]
[paragraph, [1183.0, 749.0, 795.0, 36.0], shoonya_9sDLPAU3Q9TJGK, 6473910]
[paragraph, [1180.0, 903.0, 853.0, 36.0], 2e62-4N6cI, 6473910]
[paragraph, [1180.0, 939.0, 853.0, 36.0], 2e62-4N6cI, 6473910]
[paragraph, [1180.0, 975.0, 853.0, 36.0], 2e62-4N6cI, 6473910]
[paragraph, [1180.0, 1011.0, 853.0, 36.0], 2e62-4N6cI, 6473910]
[paragraph, [221.0, 1152.0, 1205.0, 36.0], rX80ofInCD, 6473910]
[paragraph, [221.0, 1188.0, 1205.0, 36.0], rX80ofInCD, 6473910]
[paragraph, [221.0, 1224.0, 1205.0, 36.0], rX80ofInCD, 6473910]
[paragraph, [209.0, 1288.0, 1211.0, 36.0], BalBEUAtV0, 6473910]
[paragraph, [209.0, 1324.0, 1211.0, 36.0], BalBEUAtV0, 6473910]
[paragraph, [209.0, 1360.0, 1211.0, 36.0], BalBEUAtV0, 6473910]
[paragraph, [209.0, 1396.0, 1211.0, 36.0], BalBEUAtV0, 6473910]
[paragraph, [209.0, 1432.0, 1211.0, 36.0], BalBEUAtV0, 6473910]
[paragraph, [1258.0, 1817.0, 760.0, 36.0], G6Z9J9RzKe, 6473910]
[paragraph, [1258.0, 1853.0, 760.0, 36.0], G6Z9J9RzKe, 6473910]
[paragraph, [1258.0, 1889.0, 760.0, 36.0], G6Z9J9RzKe, 6473910]
[paragraph, [1258.0, 1925.0, 760.0, 36.0], G6Z9J9RzKe, 6473910]
[paragraph, [1258.0, 1961.0, 760.0, 36.0], G6Z9J9RzKe, 6473910]
[paragraph, [1258.0, 1997.0, 760.0, 36.0], G6Z9J9RzKe, 6473910]
[paragraph, [386.0, 1926.0, 690.0, 36.0], z4ovPpBL-H, 6473910]
[paragraph, [386.0, 1962.0, 690.0, 36.0], z4ovPpBL-H, 6473910]
[paragraph, [386.0, 1998.0, 690.0, 36.0], z4ovPpBL-H, 6473910]
[paragraph, [386.0, 2034.0, 690.0, 36.0], z4ovPpBL-H, 6473910]
