[1350, 900]
[folio, [546.0, 188.0, 162.0, 18.0], YDfS84ptta, 5760058]
[folio, [546.0, 206.0, 162.0, 18.0], YDfS84ptta, 5760058]
[paragraph, [179.0, 237.0, 554.0, 18.0], shoonya_4sL79Z0747FOYR, 5760058]
[paragraph, [179.0, 255.0, 554.0, 18.0], shoonya_4sL79Z0747FOYR, 5760058]
[paragraph, [179.0, 273.0, 554.0, 18.0], shoonya_4sL79Z0747FOYR, 5760058]
[paragraph, [179.0, 291.0, 554.0, 18.0], shoonya_4sL79Z0747FOYR, 5760058]
[paragraph, [179.0, 309.0, 554.0, 18.0], shoonya_4sL79Z0747FOYR, 5760058]
[paragraph, [179.0, 327.0, 554.0, 18.0], shoonya_4sL79Z0747FOYR, 5760058]
[paragraph, [179.0, 345.0, 554.0, 18.0], shoonya_4sL79Z0747FOYR, 5760058]
[paragraph, [179.0, 363.0, 554.0, 18.0], shoonya_4sL79Z0747FOYR, 5760058]
[paragraph, [179.0, 381.0, 554.0, 18.0], shoonya_4sL79Z0747FOYR, 5760058]
[paragraph, [179.0, 399.0, 554.0, 18.0], shoonya_4sL79Z0747FOYR, 5760058]
[paragraph, [177.0, 423.0, 556.0, 18.0], shoonya_3sKD8L9XWIP131, 5760058]
[paragraph, [177.0, 441.0, 556.0, 18.0], shoonya_3sKD8L9XWIP131, 5760058]
[paragraph, [177.0, 459.0, 556.0, 18.0], shoonya_3sKD8L9XWIP131, 5760058]
[paragraph, [177.0, 477.0, 556.0, 18.0], shoonya_3sKD8L9XWIP131, 5760058]
[paragraph, [177.0, 495.0, 556.0, 18.0], shoonya_3sKD8L9XWIP131, 5760058]
[paragraph, [177.0, 513.0, 556.0, 18.0], shoonya_3sKD8L9XWIP131, 5760058]
[paragraph, [178.0, 548.0, 559.0, 18.0], shoonya_0s0R84NJFMNVK2, 5760058]
[paragraph, [178.0, 566.0, 559.0, 18.0], shoonya_0s0R84NJFMNVK2, 5760058]
[paragraph, [178.0, 584.0, 559.0, 18.0], shoonya_0s0R84NJFMNVK2, 5760058]
[paragraph, [178.0, 602.0, 559.0, 18.0], shoonya_0s0R84NJFMNVK2, 5760058]
[paragraph, [178.0, 620.0, 559.0, 18.0], shoonya_0s0R84NJFMNVK2, 5760058]
[paragraph, [178.0, 638.0, 559.0, 18.0], shoonya_0s0R84NJFMNVK2, 5760058]
[paragraph, [178.0, 656.0, 559.0, 18.0], shoonya_0s0R84NJFMNVK2, 5760058]
[paragraph, [178.0, 674.0, 559.0, 18.0], shoonya_0s0R84NJFMNVK2, 5760058]
[paragraph, [178.0, 692.0, 559.0, 18.0], shoonya_0s0R84NJFMNVK2, 5760058]
[paragraph, [178.0, 710.0, 559.0, 18.0], shoonya_0s0R84NJFMNVK2, 5760058]
[paragraph, [178.0, 728.0, 559.0, 18.0], shoonya_0s0R84NJFMNVK2, 5760058]
[paragraph, [182.0, 760.0, 557.0, 18.0], shoonya_1s42PI6NV6KHQ5, 5760058]
[paragraph, [182.0, 778.0, 557.0, 18.0], shoonya_1s42PI6NV6KHQ5, 5760058]
[paragraph, [182.0, 796.0, 557.0, 18.0], shoonya_1s42PI6NV6KHQ5, 5760058]
[paragraph, [182.0, 814.0, 557.0, 18.0], shoonya_1s42PI6NV6KHQ5, 5760058]
[paragraph, [182.0, 832.0, 557.0, 18.0], shoonya_1s42PI6NV6KHQ5, 5760058]
[paragraph, [182.0, 850.0, 557.0, 18.0], shoonya_1s42PI6NV6KHQ5, 5760058]
[paragraph, [182.0, 868.0, 557.0, 18.0], shoonya_1s42PI6NV6KHQ5, 5760058]
[paragraph, [182.0, 886.0, 557.0, 18.0], shoonya_1s42PI6NV6KHQ5, 5760058]
[paragraph, [182.0, 904.0, 557.0, 18.0], shoonya_1s42PI6NV6KHQ5, 5760058]
[paragraph, [182.0, 922.0, 557.0, 18.0], shoonya_1s42PI6NV6KHQ5, 5760058]
[paragraph, [182.0, 940.0, 557.0, 18.0], shoonya_1s42PI6NV6KHQ5, 5760058]
[paragraph, [182.0, 958.0, 557.0, 18.0], shoonya_1s42PI6NV6KHQ5, 5760058]
[paragraph, [182.0, 976.0, 557.0, 18.0], shoonya_1s42PI6NV6KHQ5, 5760058]
[paragraph, [185.0, 1009.0, 557.0, 18.0], 60pxUZwiIH, 5760058]
[paragraph, [185.0, 1027.0, 557.0, 18.0], 60pxUZwiIH, 5760058]
[paragraph, [185.0, 1045.0, 557.0, 18.0], 60pxUZwiIH, 5760058]
[paragraph, [185.0, 1063.0, 557.0, 18.0], 60pxUZwiIH, 5760058]
[paragraph, [185.0, 1081.0, 557.0, 18.0], 60pxUZwiIH, 5760058]
[paragraph, [185.0, 1099.0, 557.0, 18.0], 60pxUZwiIH, 5760058]
[paragraph, [185.0, 1117.0, 557.0, 18.0], 60pxUZwiIH, 5760058]
[paragraph, [185.0, 1135.0, 557.0, 18.0], 60pxUZwiIH, 5760058]
