[792, 612]
[paragraph, [113.0, 71.0, 420.0, 18.0], shoonya_0sZOBMMGDCNCRF, 5743902]
[paragraph, [113.0, 89.0, 420.0, 18.0], shoonya_0sZOBMMGDCNCRF, 5743902]
[paragraph, [113.0, 107.0, 420.0, 18.0], shoonya_0sZOBMMGDCNCRF, 5743902]
[paragraph, [113.0, 125.0, 420.0, 18.0], shoonya_0sZOBMMGDCNCRF, 5743902]
[paragraph, [113.0, 143.0, 420.0, 18.0], shoonya_0sZOBMMGDCNCRF, 5743902]
[paragraph, [113.0, 161.0, 420.0, 18.0], shoonya_0sZOBMMGDCNCRF, 5743902]
[paragraph, [114.0, 190.0, 422.0, 18.0], wLqYQjNZG7, 5743902]
[paragraph, [114.0, 208.0, 422.0, 18.0], wLqYQjNZG7, 5743902]
[paragraph, [114.0, 226.0, 422.0, 18.0], wLqYQjNZG7, 5743902]
[paragraph, [114.0, 244.0, 422.0, 18.0], wLqYQjNZG7, 5743902]
[paragraph, [114.0, 262.0, 422.0, 18.0], wLqYQjNZG7, 5743902]
[paragraph, [114.0, 280.0, 422.0, 18.0], wLqYQjNZG7, 5743902]
[paragraph, [114.0, 298.0, 422.0, 18.0], wLqYQjNZG7, 5743902]
[paragraph, [114.0, 316.0, 422.0, 18.0], wLqYQjNZG7, 5743902]
[paragraph, [110.0, 358.0, 433.0, 18.0], SuaRb4zQKA, 5743902]
[paragraph, [110.0, 376.0, 433.0, 18.0], SuaRb4zQKA, 5743902]
[paragraph, [110.0, 394.0, 433.0, 18.0], SuaRb4zQKA, 5743902]
[paragraph, [110.0, 412.0, 433.0, 18.0], SuaRb4zQKA, 5743902]
[paragraph, [110.0, 430.0, 433.0, 18.0], SuaRb4zQKA, 5743902]
[paragraph, [110.0, 448.0, 433.0, 18.0], SuaRb4zQKA, 5743902]
[paragraph, [110.0, 466.0, 433.0, 18.0], SuaRb4zQKA, 5743902]
[paragraph, [110.0, 484.0, 433.0, 18.0], SuaRb4zQKA, 5743902]
[paragraph, [110.0, 502.0, 433.0, 18.0], SuaRb4zQKA, 5743902]
[paragraph, [110.0, 520.0, 433.0, 18.0], SuaRb4zQKA, 5743902]
[paragraph, [110.0, 538.0, 433.0, 18.0], SuaRb4zQKA, 5743902]
[paragraph, [110.0, 556.0, 433.0, 18.0], SuaRb4zQKA, 5743902]
[paragraph, [110.0, 574.0, 433.0, 18.0], SuaRb4zQKA, 5743902]
[paragraph, [110.0, 592.0, 433.0, 18.0], SuaRb4zQKA, 5743902]
[paragraph, [110.0, 610.0, 433.0, 18.0], SuaRb4zQKA, 5743902]
[paragraph, [110.0, 628.0, 433.0, 18.0], SuaRb4zQKA, 5743902]
[paragraph, [108.0, 673.0, 422.0, 18.0], H8u9VHjf5E, 5743902]
[paragraph, [108.0, 691.0, 422.0, 18.0], H8u9VHjf5E, 5743902]
