[688, 400]
[folio, [159.0, 32.0, 85.0, 18.0], shoonya_0s3HS09IPS7B49, 5749211]
[paragraph, [12.0, 65.0, 381.0, 18.0], KQuvK3hwut, 5749211]
[paragraph, [12.0, 83.0, 381.0, 18.0], KQuvK3hwut, 5749211]
[paragraph, [12.0, 101.0, 381.0, 18.0], KQuvK3hwut, 5749211]
[paragraph, [12.0, 119.0, 381.0, 18.0], KQuvK3hwut, 5749211]
[paragraph, [12.0, 137.0, 381.0, 18.0], KQuvK3hwut, 5749211]
[paragraph, [12.0, 155.0, 381.0, 18.0], KQuvK3hwut, 5749211]
[paragraph, [12.0, 173.0, 381.0, 18.0], KQuvK3hwut, 5749211]
[paragraph, [12.0, 191.0, 381.0, 18.0], KQuvK3hwut, 5749211]
[paragraph, [12.0, 209.0, 381.0, 18.0], KQuvK3hwut, 5749211]
[paragraph, [12.0, 227.0, 381.0, 18.0], KQuvK3hwut, 5749211]
[paragraph, [12.0, 245.0, 381.0, 18.0], KQuvK3hwut, 5749211]
[paragraph, [12.0, 263.0, 381.0, 18.0], KQuvK3hwut, 5749211]
[paragraph, [12.0, 281.0, 381.0, 18.0], KQuvK3hwut, 5749211]
[paragraph, [12.0, 299.0, 381.0, 18.0], KQuvK3hwut, 5749211]
[paragraph, [12.0, 317.0, 381.0, 18.0], KQuvK3hwut, 5749211]
[paragraph, [12.0, 335.0, 381.0, 18.0], KQuvK3hwut, 5749211]
[paragraph, [12.0, 353.0, 381.0, 18.0], KQuvK3hwut, 5749211]
[paragraph, [12.0, 371.0, 381.0, 18.0], KQuvK3hwut, 5749211]
[paragraph, [12.0, 389.0, 381.0, 18.0], KQuvK3hwut, 5749211]
[paragraph, [12.0, 407.0, 381.0, 18.0], KQuvK3hwut, 5749211]
[paragraph, [12.0, 425.0, 381.0, 18.0], KQuvK3hwut, 5749211]
[paragraph, [12.0, 443.0, 381.0, 18.0], KQuvK3hwut, 5749211]
[paragraph, [12.0, 461.0, 381.0, 18.0], KQuvK3hwut, 5749211]
[paragraph, [12.0, 479.0, 381.0, 18.0], KQuvK3hwut, 5749211]
[paragraph, [12.0, 497.0, 381.0, 18.0], KQuvK3hwut, 5749211]
[paragraph, [12.0, 515.0, 381.0, 18.0], KQuvK3hwut, 5749211]
[paragraph, [12.0, 533.0, 381.0, 18.0], KQuvK3hwut, 5749211]
[paragraph, [12.0, 551.0, 381.0, 18.0], KQuvK3hwut, 5749211]
[paragraph, [12.0, 569.0, 381.0, 18.0], KQuvK3hwut, 5749211]
[paragraph, [12.0, 587.0, 381.0, 18.0], KQuvK3hwut, 5749211]
[paragraph, [12.0, 605.0, 381.0, 18.0], KQuvK3hwut, 5749211]
[paragraph, [12.0, 623.0, 381.0, 18.0], KQuvK3hwut, 5749211]
[paragraph, [12.0, 641.0, 381.0, 18.0], KQuvK3hwut, 5749211]
