[2084, 1289]
[ordered-list, [129.0, 274.0, 1028.0, 36.0], shoonya_0sHXX7IK98R6AA, 5660274]
[ordered-list, [129.0, 310.0, 1028.0, 36.0], shoonya_0sHXX7IK98R6AA, 5660274]
[ordered-list, [129.0, 346.0, 1028.0, 36.0], shoonya_0sHXX7IK98R6AA, 5660274]
[ordered-list, [129.0, 382.0, 1028.0, 36.0], shoonya_0sHXX7IK98R6AA, 5660274]
[ordered-list, [129.0, 418.0, 1028.0, 36.0], shoonya_0sHXX7IK98R6AA, 5660274]
[ordered-list, [129.0, 454.0, 1028.0, 36.0], shoonya_0sHXX7IK98R6AA, 5660274]
[ordered-list, [129.0, 490.0, 1028.0, 36.0], shoonya_0sHXX7IK98R6AA, 5660274]
[ordered-list, [129.0, 526.0, 1028.0, 36.0], shoonya_0sHXX7IK98R6AA, 5660274]
[ordered-list, [129.0, 562.0, 1028.0, 36.0], shoonya_0sHXX7IK98R6AA, 5660274]
[ordered-list, [129.0, 598.0, 1028.0, 36.0], shoonya_0sHXX7IK98R6AA, 5660274]
[ordered-list, [129.0, 634.0, 1028.0, 36.0], shoonya_0sHXX7IK98R6AA, 5660274]
[ordered-list, [129.0, 670.0, 1028.0, 36.0], shoonya_0sHXX7IK98R6AA, 5660274]
[ordered-list, [129.0, 706.0, 1028.0, 36.0], shoonya_0sHXX7IK98R6AA, 5660274]
[ordered-list, [129.0, 742.0, 1028.0, 36.0], shoonya_0sHXX7IK98R6AA, 5660274]
[ordered-list, [129.0, 778.0, 1028.0, 36.0], shoonya_0sHXX7IK98R6AA, 5660274]
[ordered-list, [129.0, 814.0, 1028.0, 36.0], shoonya_0sHXX7IK98R6AA, 5660274]
[ordered-list, [129.0, 850.0, 1028.0, 36.0], shoonya_0sHXX7IK98R6AA, 5660274]
[ordered-list, [129.0, 886.0, 1028.0, 36.0], shoonya_0sHXX7IK98R6AA, 5660274]
[ordered-list, [129.0, 922.0, 1028.0, 36.0], shoonya_0sHXX7IK98R6AA, 5660274]
[ordered-list, [129.0, 958.0, 1028.0, 36.0], shoonya_0sHXX7IK98R6AA, 5660274]
[ordered-list, [129.0, 994.0, 1028.0, 36.0], shoonya_0sHXX7IK98R6AA, 5660274]
[ordered-list, [129.0, 1030.0, 1028.0, 36.0], shoonya_0sHXX7IK98R6AA, 5660274]
[ordered-list, [129.0, 1066.0, 1028.0, 36.0], shoonya_0sHXX7IK98R6AA, 5660274]
[ordered-list, [129.0, 1102.0, 1028.0, 36.0], shoonya_0sHXX7IK98R6AA, 5660274]
[ordered-list, [129.0, 1138.0, 1028.0, 36.0], shoonya_0sHXX7IK98R6AA, 5660274]
[ordered-list, [129.0, 1174.0, 1028.0, 36.0], shoonya_0sHXX7IK98R6AA, 5660274]
[ordered-list, [129.0, 1210.0, 1028.0, 36.0], shoonya_0sHXX7IK98R6AA, 5660274]
[ordered-list, [129.0, 1246.0, 1028.0, 36.0], shoonya_0sHXX7IK98R6AA, 5660274]
[ordered-list, [129.0, 1282.0, 1028.0, 36.0], shoonya_0sHXX7IK98R6AA, 5660274]
[ordered-list, [129.0, 1318.0, 1028.0, 36.0], shoonya_0sHXX7IK98R6AA, 5660274]
[ordered-list, [129.0, 1354.0, 1028.0, 36.0], shoonya_0sHXX7IK98R6AA, 5660274]
[ordered-list, [129.0, 1390.0, 1028.0, 36.0], shoonya_0sHXX7IK98R6AA, 5660274]
[ordered-list, [129.0, 1426.0, 1028.0, 36.0], shoonya_0sHXX7IK98R6AA, 5660274]
[ordered-list, [129.0, 1462.0, 1028.0, 36.0], shoonya_0sHXX7IK98R6AA, 5660274]
[ordered-list, [129.0, 1498.0, 1028.0, 36.0], shoonya_0sHXX7IK98R6AA, 5660274]
[ordered-list, [129.0, 1534.0, 1028.0, 36.0], shoonya_0sHXX7IK98R6AA, 5660274]
[ordered-list, [129.0, 1570.0, 1028.0, 36.0], shoonya_0sHXX7IK98R6AA, 5660274]
[ordered-list, [129.0, 1606.0, 1028.0, 36.0], shoonya_0sHXX7IK98R6AA, 5660274]
[ordered-list, [129.0, 1642.0, 1028.0, 36.0], shoonya_0sHXX7IK98R6AA, 5660274]
[ordered-list, [129.0, 1678.0, 1028.0, 36.0], shoonya_0sHXX7IK98R6AA, 5660274]
[ordered-list, [129.0, 1714.0, 1028.0, 36.0], shoonya_0sHXX7IK98R6AA, 5660274]
[ordered-list, [129.0, 1750.0, 1028.0, 36.0], shoonya_0sHXX7IK98R6AA, 5660274]
[ordered-list, [129.0, 1786.0, 1028.0, 36.0], shoonya_0sHXX7IK98R6AA, 5660274]
[ordered-list, [129.0, 1822.0, 1028.0, 36.0], shoonya_0sHXX7IK98R6AA, 5660274]
[folio, [633.0, 1938.0, 655.0, 36.0], shoonya_2sAELWIS9OE9OF, 5660274]
[folio, [633.0, 1974.0, 655.0, 36.0], shoonya_2sAELWIS9OE9OF, 5660274]
