[2339, 1653]
[paragraph, [324.0, 162.0, 1136.0, 36.0], shoonya_3sX6SZ6CQ0R03S, 5734074]
[paragraph, [324.0, 198.0, 1136.0, 36.0], shoonya_3sX6SZ6CQ0R03S, 5734074]
[paragraph, [324.0, 234.0, 1136.0, 36.0], shoonya_3sX6SZ6CQ0R03S, 5734074]
[paragraph, [325.0, 280.0, 1137.0, 36.0], shoonya_1s98B5Q6BS7OJ1, 5734074]
[paragraph, [325.0, 316.0, 1137.0, 36.0], shoonya_1s98B5Q6BS7OJ1, 5734074]
[paragraph, [325.0, 352.0, 1137.0, 36.0], shoonya_1s98B5Q6BS7OJ1, 5734074]
[paragraph, [325.0, 388.0, 1137.0, 36.0], shoonya_1s98B5Q6BS7OJ1, 5734074]
[paragraph, [325.0, 424.0, 1137.0, 36.0], shoonya_1s98B5Q6BS7OJ1, 5734074]
[paragraph, [325.0, 460.0, 1137.0, 36.0], shoonya_1s98B5Q6BS7OJ1, 5734074]
[paragraph, [325.0, 496.0, 1137.0, 36.0], shoonya_1s98B5Q6BS7OJ1, 5734074]
[paragraph, [325.0, 532.0, 1137.0, 36.0], shoonya_1s98B5Q6BS7OJ1, 5734074]
[paragraph, [325.0, 568.0, 1137.0, 36.0], shoonya_1s98B5Q6BS7OJ1, 5734074]
[paragraph, [325.0, 604.0, 1137.0, 36.0], shoonya_1s98B5Q6BS7OJ1, 5734074]
[paragraph, [325.0, 640.0, 1137.0, 36.0], shoonya_1s98B5Q6BS7OJ1, 5734074]
[paragraph, [325.0, 676.0, 1137.0, 36.0], shoonya_1s98B5Q6BS7OJ1, 5734074]
[paragraph, [325.0, 712.0, 1137.0, 36.0], shoonya_1s98B5Q6BS7OJ1, 5734074]
[paragraph, [327.0, 779.0, 1138.0, 36.0], shoonya_2sH95UJ49TFZ4N, 5734074]
[paragraph, [327.0, 815.0, 1138.0, 36.0], shoonya_2sH95UJ49TFZ4N, 5734074]
[paragraph, [327.0, 851.0, 1138.0, 36.0], shoonya_2sH95UJ49TFZ4N, 5734074]
[paragraph, [327.0, 887.0, 1138.0, 36.0], shoonya_2sH95UJ49TFZ4N, 5734074]
[paragraph, [327.0, 923.0, 1138.0, 36.0], shoonya_2sH95UJ49TFZ4N, 5734074]
[paragraph, [327.0, 959.0, 1138.0, 36.0], shoonya_2sH95UJ49TFZ4N, 5734074]
[paragraph, [327.0, 995.0, 1138.0, 36.0], shoonya_2sH95UJ49TFZ4N, 5734074]
[paragraph, [327.0, 1031.0, 1138.0, 36.0], shoonya_2sH95UJ49TFZ4N, 5734074]
[paragraph, [327.0, 1067.0, 1138.0, 36.0], shoonya_2sH95UJ49TFZ4N, 5734074]
[paragraph, [327.0, 1103.0, 1138.0, 36.0], shoonya_2sH95UJ49TFZ4N, 5734074]
[paragraph, [327.0, 1139.0, 1138.0, 36.0], shoonya_2sH95UJ49TFZ4N, 5734074]
[paragraph, [327.0, 1175.0, 1138.0, 36.0], shoonya_2sH95UJ49TFZ4N, 5734074]
[paragraph, [327.0, 1211.0, 1138.0, 36.0], shoonya_2sH95UJ49TFZ4N, 5734074]
[paragraph, [327.0, 1247.0, 1138.0, 36.0], shoonya_2sH95UJ49TFZ4N, 5734074]
[paragraph, [327.0, 1283.0, 1138.0, 36.0], shoonya_2sH95UJ49TFZ4N, 5734074]
[paragraph, [324.0, 1434.0, 1136.0, 36.0], shoonya_0sBTZ93ZANTFA8, 5734074]
[paragraph, [324.0, 1470.0, 1136.0, 36.0], shoonya_0sBTZ93ZANTFA8, 5734074]
[paragraph, [324.0, 1506.0, 1136.0, 36.0], shoonya_0sBTZ93ZANTFA8, 5734074]
[paragraph, [324.0, 1542.0, 1136.0, 36.0], shoonya_0sBTZ93ZANTFA8, 5734074]
[paragraph, [324.0, 1578.0, 1136.0, 36.0], shoonya_0sBTZ93ZANTFA8, 5734074]
[paragraph, [324.0, 1614.0, 1136.0, 36.0], shoonya_0sBTZ93ZANTFA8, 5734074]
[paragraph, [324.0, 1650.0, 1136.0, 36.0], shoonya_0sBTZ93ZANTFA8, 5734074]
[paragraph, [324.0, 1686.0, 1136.0, 36.0], shoonya_0sBTZ93ZANTFA8, 5734074]
[paragraph, [324.0, 1722.0, 1136.0, 36.0], shoonya_0sBTZ93ZANTFA8, 5734074]
[paragraph, [324.0, 1758.0, 1136.0, 36.0], shoonya_0sBTZ93ZANTFA8, 5734074]
[paragraph, [324.0, 1794.0, 1136.0, 36.0], shoonya_0sBTZ93ZANTFA8, 5734074]
[paragraph, [324.0, 1830.0, 1136.0, 36.0], shoonya_0sBTZ93ZANTFA8, 5734074]
[paragraph, [324.0, 1866.0, 1136.0, 36.0], shoonya_0sBTZ93ZANTFA8, 5734074]
[paragraph, [324.0, 1902.0, 1136.0, 36.0], shoonya_0sBTZ93ZANTFA8, 5734074]
[paragraph, [324.0, 1938.0, 1136.0, 36.0], shoonya_0sBTZ93ZANTFA8, 5734074]
[paragraph, [324.0, 1974.0, 1136.0, 36.0], shoonya_0sBTZ93ZANTFA8, 5734074]
[paragraph, [324.0, 2010.0, 1136.0, 36.0], shoonya_0sBTZ93ZANTFA8, 5734074]
[paragraph, [324.0, 2046.0, 1136.0, 36.0], shoonya_0sBTZ93ZANTFA8, 5734074]
[folio, [1168.0, 2159.0, 196.0, 36.0], FcIYwtRn1J, 5734074]
