[1795, 1184]
[paragraph, [180.0, 156.0, 871.0, 36.0], shoonya_1sF4LWP9OE4YJN, 5749706]
[paragraph, [180.0, 192.0, 871.0, 36.0], shoonya_1sF4LWP9OE4YJN, 5749706]
[paragraph, [180.0, 228.0, 871.0, 36.0], shoonya_1sF4LWP9OE4YJN, 5749706]
[paragraph, [181.0, 300.0, 872.0, 36.0], shoonya_0sBXE4SII6JDYJ, 5749706]
[paragraph, [181.0, 336.0, 872.0, 36.0], shoonya_0sBXE4SII6JDYJ, 5749706]
[paragraph, [181.0, 372.0, 872.0, 36.0], shoonya_0sBXE4SII6JDYJ, 5749706]
[paragraph, [181.0, 408.0, 872.0, 36.0], shoonya_0sBXE4SII6JDYJ, 5749706]
[paragraph, [181.0, 444.0, 872.0, 36.0], shoonya_0sBXE4SII6JDYJ, 5749706]
[paragraph, [181.0, 480.0, 872.0, 36.0], shoonya_0sBXE4SII6JDYJ, 5749706]
[paragraph, [181.0, 516.0, 872.0, 36.0], shoonya_0sBXE4SII6JDYJ, 5749706]
[paragraph, [181.0, 552.0, 872.0, 36.0], shoonya_0sBXE4SII6JDYJ, 5749706]
[paragraph, [181.0, 588.0, 872.0, 36.0], shoonya_0sBXE4SII6JDYJ, 5749706]
[paragraph, [181.0, 624.0, 872.0, 36.0], shoonya_0sBXE4SII6JDYJ, 5749706]
[paragraph, [181.0, 660.0, 872.0, 36.0], shoonya_0sBXE4SII6JDYJ, 5749706]
[paragraph, [181.0, 696.0, 872.0, 36.0], shoonya_0sBXE4SII6JDYJ, 5749706]
[paragraph, [181.0, 732.0, 872.0, 36.0], shoonya_0sBXE4SII6JDYJ, 5749706]
[paragraph, [181.0, 768.0, 872.0, 36.0], shoonya_0sBXE4SII6JDYJ, 5749706]
[paragraph, [181.0, 804.0, 872.0, 36.0], shoonya_0sBXE4SII6JDYJ, 5749706]
[paragraph, [181.0, 840.0, 872.0, 36.0], shoonya_0sBXE4SII6JDYJ, 5749706]
[paragraph, [181.0, 876.0, 872.0, 36.0], shoonya_0sBXE4SII6JDYJ, 5749706]
[paragraph, [181.0, 912.0, 872.0, 36.0], shoonya_0sBXE4SII6JDYJ, 5749706]
