[2806, 1983]
[paragraph, [222.0, 230.0, 1545.0, 46.5], shoonya_0sTR62UJJ45TWO, 5683337]
[paragraph, [222.0, 276.5, 1545.0, 46.5], shoonya_0sTR62UJJ45TWO, 5683337]
[paragraph, [222.0, 323.0, 1545.0, 46.5], shoonya_0sTR62UJJ45TWO, 5683337]
[paragraph, [222.0, 369.5, 1545.0, 46.5], shoonya_0sTR62UJJ45TWO, 5683337]
[paragraph, [222.0, 416.0, 1545.0, 46.5], shoonya_0sTR62UJJ45TWO, 5683337]
[paragraph, [222.0, 462.5, 1545.0, 46.5], shoonya_0sTR62UJJ45TWO, 5683337]
[paragraph, [222.0, 509.0, 1545.0, 46.5], shoonya_0sTR62UJJ45TWO, 5683337]
[paragraph, [203.0, 673.0, 1562.0, 46.5], Ct35H2dvlz, 5683337]
[paragraph, [203.0, 719.5, 1562.0, 46.5], Ct35H2dvlz, 5683337]
[paragraph, [203.0, 766.0, 1562.0, 46.5], Ct35H2dvlz, 5683337]
[paragraph, [203.0, 812.5, 1562.0, 46.5], Ct35H2dvlz, 5683337]
[paragraph, [203.0, 859.0, 1562.0, 46.5], Ct35H2dvlz, 5683337]
[paragraph, [203.0, 905.5, 1562.0, 46.5], Ct35H2dvlz, 5683337]
[paragraph, [203.0, 952.0, 1562.0, 46.5], Ct35H2dvlz, 5683337]
[paragraph, [203.0, 998.5, 1562.0, 46.5], Ct35H2dvlz, 5683337]
[paragraph, [203.0, 1045.0, 1562.0, 46.5], Ct35H2dvlz, 5683337]
[paragraph, [203.0, 1091.5, 1562.0, 46.5], Ct35H2dvlz, 5683337]
[paragraph, [203.0, 1138.0, 1562.0, 46.5], Ct35H2dvlz, 5683337]
[paragraph, [203.0, 1184.5, 1562.0, 46.5], Ct35H2dvlz, 5683337]
[paragraph, [203.0, 1231.0, 1562.0, 46.5], Ct35H2dvlz, 5683337]
[paragraph, [203.0, 1277.5, 1562.0, 46.5], Ct35H2dvlz, 5683337]
[paragraph, [203.0, 1324.0, 1562.0, 46.5], Ct35H2dvlz, 5683337]
[paragraph, [203.0, 1370.5, 1562.0, 46.5], Ct35H2dvlz, 5683337]
[paragraph, [212.0, 1550.0, 1544.0, 46.5], 1pr85eFDQ4, 5683337]
[paragraph, [212.0, 1596.5, 1544.0, 46.5], 1pr85eFDQ4, 5683337]
[paragraph, [212.0, 1643.0, 1544.0, 46.5], 1pr85eFDQ4, 5683337]
[paragraph, [212.0, 1689.5, 1544.0, 46.5], 1pr85eFDQ4, 5683337]
[paragraph, [212.0, 1736.0, 1544.0, 46.5], 1pr85eFDQ4, 5683337]
[paragraph, [222.0, 1914.0, 1534.0, 46.5], wpc7t4_uJQ, 5683337]
[paragraph, [222.0, 1960.5, 1534.0, 46.5], wpc7t4_uJQ, 5683337]
[paragraph, [222.0, 2007.0, 1534.0, 46.5], wpc7t4_uJQ, 5683337]
[paragraph, [222.0, 2053.5, 1534.0, 46.5], wpc7t4_uJQ, 5683337]
[paragraph, [222.0, 2100.0, 1534.0, 46.5], wpc7t4_uJQ, 5683337]
[paragraph, [222.0, 2146.5, 1534.0, 46.5], wpc7t4_uJQ, 5683337]
[paragraph, [222.0, 2193.0, 1534.0, 46.5], wpc7t4_uJQ, 5683337]
[paragraph, [220.0, 2365.0, 1529.0, 46.5], Q9q6jFdlky, 5683337]
[paragraph, [220.0, 2411.5, 1529.0, 46.5], Q9q6jFdlky, 5683337]
[paragraph, [220.0, 2458.0, 1529.0, 46.5], Q9q6jFdlky, 5683337]
[paragraph, [220.0, 2504.5, 1529.0, 46.5], Q9q6jFdlky, 5683337]
