[3509, 2482]
[folio, [868.0, 229.0, 487.0, 52.5], EBmxIPtynP, 5691879]
[paragraph, [211.0, 353.0, 1775.0, 52.5], shoonya_3sOEGJFPU01GLI, 5691879]
[paragraph, [211.0, 405.5, 1775.0, 52.5], shoonya_3sOEGJFPU01GLI, 5691879]
[paragraph, [211.0, 458.0, 1775.0, 52.5], shoonya_3sOEGJFPU01GLI, 5691879]
[paragraph, [211.0, 510.5, 1775.0, 52.5], shoonya_3sOEGJFPU01GLI, 5691879]
[paragraph, [211.0, 563.0, 1775.0, 52.5], shoonya_3sOEGJFPU01GLI, 5691879]
[paragraph, [211.0, 615.5, 1775.0, 52.5], shoonya_3sOEGJFPU01GLI, 5691879]
[paragraph, [211.0, 668.0, 1775.0, 52.5], shoonya_3sOEGJFPU01GLI, 5691879]
[paragraph, [288.0, 751.0, 1596.0, 52.5], shoonya_5sFNGSG9NF8BQ4, 5691879]
[paragraph, [232.0, 874.0, 1737.0, 52.5], shoonya_1sKHGD37Q1KDLK, 5691879]
[paragraph, [232.0, 926.5, 1737.0, 52.5], shoonya_1sKHGD37Q1KDLK, 5691879]
[paragraph, [232.0, 979.0, 1737.0, 52.5], shoonya_1sKHGD37Q1KDLK, 5691879]
[paragraph, [232.0, 1031.5, 1737.0, 52.5], shoonya_1sKHGD37Q1KDLK, 5691879]
[paragraph, [232.0, 1084.0, 1737.0, 52.5], shoonya_1sKHGD37Q1KDLK, 5691879]
[paragraph, [232.0, 1136.5, 1737.0, 52.5], shoonya_1sKHGD37Q1KDLK, 5691879]
[paragraph, [232.0, 1189.0, 1737.0, 52.5], shoonya_1sKHGD37Q1KDLK, 5691879]
[paragraph, [232.0, 1241.5, 1737.0, 52.5], shoonya_1sKHGD37Q1KDLK, 5691879]
[paragraph, [232.0, 1294.0, 1737.0, 52.5], shoonya_1sKHGD37Q1KDLK, 5691879]
[paragraph, [232.0, 1346.5, 1737.0, 52.5], shoonya_1sKHGD37Q1KDLK, 5691879]
[paragraph, [232.0, 1399.0, 1737.0, 52.5], shoonya_1sKHGD37Q1KDLK, 5691879]
[paragraph, [232.0, 1451.5, 1737.0, 52.5], shoonya_1sKHGD37Q1KDLK, 5691879]
[paragraph, [232.0, 1504.0, 1737.0, 52.5], shoonya_1sKHGD37Q1KDLK, 5691879]
[paragraph, [232.0, 1556.5, 1737.0, 52.5], shoonya_1sKHGD37Q1KDLK, 5691879]
[paragraph, [232.0, 1609.0, 1737.0, 52.5], shoonya_1sKHGD37Q1KDLK, 5691879]
[paragraph, [232.0, 1661.5, 1737.0, 52.5], shoonya_1sKHGD37Q1KDLK, 5691879]
[paragraph, [232.0, 1714.0, 1737.0, 52.5], shoonya_1sKHGD37Q1KDLK, 5691879]
[paragraph, [320.0, 1827.0, 641.0, 52.5], shoonya_2sPQDMEZCQJIDS, 5691879]
[paragraph, [234.0, 1907.0, 1725.0, 52.5], shoonya_0sH97SBWTW7JKM, 5691879]
[paragraph, [234.0, 1959.5, 1725.0, 52.5], shoonya_0sH97SBWTW7JKM, 5691879]
[paragraph, [234.0, 2012.0, 1725.0, 52.5], shoonya_0sH97SBWTW7JKM, 5691879]
[paragraph, [234.0, 2064.5, 1725.0, 52.5], shoonya_0sH97SBWTW7JKM, 5691879]
[paragraph, [234.0, 2117.0, 1725.0, 52.5], shoonya_0sH97SBWTW7JKM, 5691879]
[paragraph, [234.0, 2169.5, 1725.0, 52.5], shoonya_0sH97SBWTW7JKM, 5691879]
[paragraph, [234.0, 2222.0, 1725.0, 52.5], shoonya_0sH97SBWTW7JKM, 5691879]
[paragraph, [234.0, 2274.5, 1725.0, 52.5], shoonya_0sH97SBWTW7JKM, 5691879]
[paragraph, [234.0, 2327.0, 1725.0, 52.5], shoonya_0sH97SBWTW7JKM, 5691879]
[paragraph, [234.0, 2379.5, 1725.0, 52.5], shoonya_0sH97SBWTW7JKM, 5691879]
[paragraph, [234.0, 2432.0, 1725.0, 52.5], shoonya_0sH97SBWTW7JKM, 5691879]
[paragraph, [234.0, 2484.5, 1725.0, 52.5], shoonya_0sH97SBWTW7JKM, 5691879]
[paragraph, [234.0, 2537.0, 1725.0, 52.5], shoonya_0sH97SBWTW7JKM, 5691879]
[paragraph, [229.0, 2606.0, 1739.0, 52.5], -0jP2a5KuB, 5691879]
[paragraph, [229.0, 2658.5, 1739.0, 52.5], -0jP2a5KuB, 5691879]
[paragraph, [229.0, 2711.0, 1739.0, 52.5], -0jP2a5KuB, 5691879]
[paragraph, [229.0, 2763.5, 1739.0, 52.5], -0jP2a5KuB, 5691879]
[paragraph, [229.0, 2816.0, 1739.0, 52.5], -0jP2a5KuB, 5691879]
[paragraph, [229.0, 2868.5, 1739.0, 52.5], -0jP2a5KuB, 5691879]
[paragraph, [229.0, 2921.0, 1739.0, 52.5], -0jP2a5KuB, 5691879]
[paragraph, [229.0, 2973.5, 1739.0, 52.5], -0jP2a5KuB, 5691879]
[paragraph, [229.0, 3026.0, 1739.0, 52.5], -0jP2a5KuB, 5691879]
[paragraph, [229.0, 3078.5, 1739.0, 52.5], -0jP2a5KuB, 5691879]
[paragraph, [229.0, 3131.0, 1739.0, 52.5], -0jP2a5KuB, 5691879]
[paragraph, [288.0, 3229.0, 1684.0, 52.5], apVep5xqJC, 5691879]
