[2339, 1653]
[paragraph, [240.0, 191.0, 1171.0, 36.0], shoonya_3sGL3EX3KNMKYG, 5754251]
[paragraph, [240.0, 227.0, 1171.0, 36.0], shoonya_3sGL3EX3KNMKYG, 5754251]
[paragraph, [240.0, 263.0, 1171.0, 36.0], shoonya_3sGL3EX3KNMKYG, 5754251]
[paragraph, [240.0, 299.0, 1171.0, 36.0], shoonya_3sGL3EX3KNMKYG, 5754251]
[paragraph, [234.0, 400.0, 1178.0, 36.0], shoonya_0sB33BYC2J57IL, 5754251]
[paragraph, [234.0, 436.0, 1178.0, 36.0], shoonya_0sB33BYC2J57IL, 5754251]
[paragraph, [234.0, 472.0, 1178.0, 36.0], shoonya_0sB33BYC2J57IL, 5754251]
[paragraph, [234.0, 508.0, 1178.0, 36.0], shoonya_0sB33BYC2J57IL, 5754251]
[paragraph, [234.0, 544.0, 1178.0, 36.0], shoonya_0sB33BYC2J57IL, 5754251]
[paragraph, [234.0, 580.0, 1178.0, 36.0], shoonya_0sB33BYC2J57IL, 5754251]
[paragraph, [234.0, 616.0, 1178.0, 36.0], shoonya_0sB33BYC2J57IL, 5754251]
[paragraph, [234.0, 652.0, 1178.0, 36.0], shoonya_0sB33BYC2J57IL, 5754251]
[paragraph, [234.0, 688.0, 1178.0, 36.0], shoonya_0sB33BYC2J57IL, 5754251]
[paragraph, [234.0, 724.0, 1178.0, 36.0], shoonya_0sB33BYC2J57IL, 5754251]
[paragraph, [234.0, 760.0, 1178.0, 36.0], shoonya_0sB33BYC2J57IL, 5754251]
[paragraph, [234.0, 796.0, 1178.0, 36.0], shoonya_0sB33BYC2J57IL, 5754251]
[paragraph, [234.0, 832.0, 1178.0, 36.0], shoonya_0sB33BYC2J57IL, 5754251]
[paragraph, [234.0, 868.0, 1178.0, 36.0], shoonya_0sB33BYC2J57IL, 5754251]
[paragraph, [234.0, 904.0, 1178.0, 36.0], shoonya_0sB33BYC2J57IL, 5754251]
[paragraph, [234.0, 940.0, 1178.0, 36.0], shoonya_0sB33BYC2J57IL, 5754251]
[paragraph, [234.0, 976.0, 1178.0, 36.0], shoonya_0sB33BYC2J57IL, 5754251]
[paragraph, [234.0, 1012.0, 1178.0, 36.0], shoonya_0sB33BYC2J57IL, 5754251]
[paragraph, [234.0, 1048.0, 1178.0, 36.0], shoonya_0sB33BYC2J57IL, 5754251]
[paragraph, [234.0, 1084.0, 1178.0, 36.0], shoonya_0sB33BYC2J57IL, 5754251]
[paragraph, [234.0, 1120.0, 1178.0, 36.0], shoonya_0sB33BYC2J57IL, 5754251]
[paragraph, [234.0, 1156.0, 1178.0, 36.0], shoonya_0sB33BYC2J57IL, 5754251]
[paragraph, [234.0, 1192.0, 1178.0, 36.0], shoonya_0sB33BYC2J57IL, 5754251]
[paragraph, [234.0, 1228.0, 1178.0, 36.0], shoonya_0sB33BYC2J57IL, 5754251]
[paragraph, [236.0, 1343.0, 1175.0, 36.0], shoonya_1s71754R8RMCC7, 5754251]
[paragraph, [236.0, 1379.0, 1175.0, 36.0], shoonya_1s71754R8RMCC7, 5754251]
[paragraph, [236.0, 1415.0, 1175.0, 36.0], shoonya_1s71754R8RMCC7, 5754251]
[paragraph, [236.0, 1451.0, 1175.0, 36.0], shoonya_1s71754R8RMCC7, 5754251]
[paragraph, [236.0, 1487.0, 1175.0, 36.0], shoonya_1s71754R8RMCC7, 5754251]
[paragraph, [236.0, 1523.0, 1175.0, 36.0], shoonya_1s71754R8RMCC7, 5754251]
[paragraph, [236.0, 1559.0, 1175.0, 36.0], shoonya_1s71754R8RMCC7, 5754251]
[paragraph, [236.0, 1595.0, 1175.0, 36.0], shoonya_1s71754R8RMCC7, 5754251]
[paragraph, [236.0, 1631.0, 1175.0, 36.0], shoonya_1s71754R8RMCC7, 5754251]
[paragraph, [236.0, 1667.0, 1175.0, 36.0], shoonya_1s71754R8RMCC7, 5754251]
[paragraph, [236.0, 1703.0, 1175.0, 36.0], shoonya_1s71754R8RMCC7, 5754251]
[paragraph, [236.0, 1739.0, 1175.0, 36.0], shoonya_1s71754R8RMCC7, 5754251]
[paragraph, [236.0, 1775.0, 1175.0, 36.0], shoonya_1s71754R8RMCC7, 5754251]
[paragraph, [236.0, 1811.0, 1175.0, 36.0], shoonya_1s71754R8RMCC7, 5754251]
[paragraph, [236.0, 1847.0, 1175.0, 36.0], shoonya_1s71754R8RMCC7, 5754251]
[paragraph, [236.0, 1883.0, 1175.0, 36.0], shoonya_1s71754R8RMCC7, 5754251]
[paragraph, [236.0, 1919.0, 1175.0, 36.0], shoonya_1s71754R8RMCC7, 5754251]
[ordered-list, [242.0, 2039.0, 483.0, 36.0], shoonya_2sGNF847INEWZ0, 5754251]
[ordered-list, [242.0, 2075.0, 483.0, 36.0], shoonya_2sGNF847INEWZ0, 5754251]
