[1650, 1050]
[paragraph, [120.0, 99.0, 835.0, 36.0], shoonya_3sEH7PH3ZOAEVC, 5732815]
[paragraph, [120.0, 135.0, 835.0, 36.0], shoonya_3sEH7PH3ZOAEVC, 5732815]
[paragraph, [120.0, 171.0, 835.0, 36.0], shoonya_3sEH7PH3ZOAEVC, 5732815]
[paragraph, [120.0, 207.0, 835.0, 36.0], shoonya_3sEH7PH3ZOAEVC, 5732815]
[paragraph, [120.0, 243.0, 835.0, 36.0], shoonya_3sEH7PH3ZOAEVC, 5732815]
[paragraph, [120.0, 279.0, 835.0, 36.0], shoonya_3sEH7PH3ZOAEVC, 5732815]
[paragraph, [123.0, 475.0, 835.0, 36.0], shoonya_0sHZXZ1XR2XCTX, 5732815]
[paragraph, [123.0, 511.0, 835.0, 36.0], shoonya_0sHZXZ1XR2XCTX, 5732815]
[paragraph, [123.0, 547.0, 835.0, 36.0], shoonya_0sHZXZ1XR2XCTX, 5732815]
[paragraph, [123.0, 583.0, 835.0, 36.0], shoonya_0sHZXZ1XR2XCTX, 5732815]
[paragraph, [123.0, 619.0, 835.0, 36.0], shoonya_0sHZXZ1XR2XCTX, 5732815]
[paragraph, [123.0, 655.0, 835.0, 36.0], shoonya_0sHZXZ1XR2XCTX, 5732815]
[paragraph, [123.0, 691.0, 835.0, 36.0], shoonya_0sHZXZ1XR2XCTX, 5732815]
[paragraph, [123.0, 727.0, 835.0, 36.0], shoonya_0sHZXZ1XR2XCTX, 5732815]
[paragraph, [123.0, 763.0, 835.0, 36.0], shoonya_0sHZXZ1XR2XCTX, 5732815]
[paragraph, [123.0, 799.0, 835.0, 36.0], shoonya_0sHZXZ1XR2XCTX, 5732815]
[paragraph, [123.0, 835.0, 835.0, 36.0], shoonya_0sHZXZ1XR2XCTX, 5732815]
[paragraph, [123.0, 871.0, 835.0, 36.0], shoonya_0sHZXZ1XR2XCTX, 5732815]
[paragraph, [123.0, 907.0, 835.0, 36.0], shoonya_0sHZXZ1XR2XCTX, 5732815]
[paragraph, [123.0, 943.0, 835.0, 36.0], shoonya_0sHZXZ1XR2XCTX, 5732815]
[paragraph, [123.0, 979.0, 835.0, 36.0], shoonya_0sHZXZ1XR2XCTX, 5732815]
[paragraph, [123.0, 1015.0, 835.0, 36.0], shoonya_0sHZXZ1XR2XCTX, 5732815]
[paragraph, [123.0, 1051.0, 835.0, 36.0], shoonya_0sHZXZ1XR2XCTX, 5732815]
[paragraph, [123.0, 1087.0, 835.0, 36.0], shoonya_0sHZXZ1XR2XCTX, 5732815]
[paragraph, [123.0, 1123.0, 835.0, 36.0], shoonya_0sHZXZ1XR2XCTX, 5732815]
[paragraph, [123.0, 1159.0, 835.0, 36.0], shoonya_0sHZXZ1XR2XCTX, 5732815]
[section-title, [129.0, 1310.0, 263.0, 49.5], shoonya_6sZIUUJL0QWQNZ, 5732815]
[paragraph, [123.0, 1365.0, 837.0, 36.0], shoonya_7s0HY4239XANOK, 5732815]
[paragraph, [123.0, 1401.0, 837.0, 36.0], shoonya_7s0HY4239XANOK, 5732815]
[folio, [496.0, 1496.0, 146.0, 36.0], shoonya_4sH0V6RKO6JJ6Q, 5732815]
